"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"IEEE-ASME TRANSACTIONS ON MECHATRONICS","IEEE-ASME T MECH","1083-4435","1941-014X","ENGINEERING, MECHANICAL","SCIE","19,571","6.1","Q1","1.53"," 9/180 ","6.2","Q1","5.1","1"," 9/180 ","Q1","95.28","0.022","4.793","1.472","95.3","Q1",
"IMMUNOLOGICAL REVIEWS","IMMUNOL REV","0105-2896","1600-065X","IMMUNOLOGY","SCIE","18,599","7.5","Q1","0.9"," 24/181 ","10.7","Q1","7.3","1.9"," 51/181 ","Q2","72.10","0.014","3.031","3.637","87.0","Q1",
"SCHIZOPHRENIA BULLETIN","SCHIZOPHRENIA BULL","0586-7614","1745-1701","PSYCHIATRY","SCIE, SSCI","17,757","5.3","Q1","1.45"," 28/276 ","6.7","Q1","5","1"," 31/276 ","Q1","88.95","0.016","3.397","2.417","90.0","Q1",
"SIGNAL PROCESSING","SIGNAL PROCESS","0165-1684","1872-7557","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","15,976","3.4","Q2","0.93"," 122/352 ","3.8","Q2","3.1","0.7"," 112/354 ","Q2","68.50","0.016","3.44","0.953","65.5","Q2",
"JOURNAL OF HAND SURGERY-AMERICAN VOLUME","J HAND SURG-AM","0363-5023","1531-6564","ORTHOPEDICS","SCIE","15,965","2.1","Q2","0.88"," 45/136 ","2.5","Q2","1.9","0.6"," 44/136 ","Q2","68.01","0.007","1.546","0.745","67.3","Q2",
"JOURNAL OF HAND SURGERY-AMERICAN VOLUME","J HAND SURG-AM","0363-5023","1531-6564","SURGERY","SCIE","15,965","2.1","Q2","0.88"," 98/290 ","2.5","Q2","1.9","0.6"," 89/290 ","Q2","69.48","0.007","1.546","0.745","66.4","Q2",
"URBAN FORESTRY & URBAN GREENING","URBAN FOR URBAN GREE","1618-8667","1610-8167","ENVIRONMENTAL STUDIES","SSCI","15,848","6","Q1","1.76"," 25/182 ","6.4","Q1","5.3","1.2"," 18/184 ","Q1","90.49","0.014","2.971","1.112","86.5","Q2",
"URBAN FORESTRY & URBAN GREENING","URBAN FOR URBAN GREE","1618-8667","1610-8167","FORESTRY","SCIE","15,848","6","Q1","1.76"," 2/89 ","6.4","Q1","5.3","1.2"," 3/89 ","Q1","97.19","0.014","2.971","1.112","98.3","Q1",
"URBAN FORESTRY & URBAN GREENING","URBAN FOR URBAN GREE","1618-8667","1610-8167","URBAN STUDIES","SSCI","15,848","6","Q1","1.76"," 5/77 ","6.4","Q1","5.3","1.2"," 5/77 ","Q1","94.16","0.014","2.971","1.112","94.2","Q2",
"Royal Society Open Science","ROY SOC OPEN SCI","2054-5703","2054-5703","MULTIDISCIPLINARY SCIENCES","SCIE","15,809","2.9","Q1","0.9"," 31/134 ","3","Q2","2.8","0.6"," 31/135 ","Q1","77.41","0.025","5.554","0.864","77.2","Q2",
"MARINE BIOLOGY","MAR BIOL","0025-3162","1432-1793","MARINE & FRESHWATER BIOLOGY","SCIE","15,803","2.1","Q2","0.8"," 36/119 ","2.3","Q2","2","0.6"," 28/119 ","Q1","76.89","0.005","1.001","0.654","70.2","Q1",
"ACS Applied Bio Materials","ACS APPL BIO MATER","2576-6422","2576-6422","MATERIALS SCIENCE, BIOMATERIALS","ESCI","13,933","4.6","Q2","0.64"," 20/53 ","4.4","Q2","4.5","1"," 33/53 ","Q2","38.68","0.017","3.803","0.693","63.2","Q3",
"ACS Applied Bio Materials","ACS APPL BIO MATER","2576-6422","2576-6422","NANOSCIENCE & NANOTECHNOLOGY","ESCI","13,933","4.6","Q2","0.64"," 59/140 ","4.4","Q2","4.5","1"," 66/140 ","Q2","53.21","0.017","3.803","0.693","58.2","Q2",
"Journal of Applied Meteorology and Climatology","J APPL METEOROL CLIM","1558-8424","1558-8432","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","13,467","2.6","Q3","0.62"," 62/110 ","3","Q3","2.4","0.5"," 63/110 ","Q3","43.18","0.005","1.095","0.955","44.1","Q2",
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","13,325","12.8","Q1","1.43"," 12/313 ","13.7","Q1","12.7","3"," 36/313 ","Q1","88.66","0.013","2.732","4.033","96.3","Q1",
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","CELL BIOLOGY","SCIE","13,325","12.8","Q1","1.43"," 19/205 ","13.7","Q1","12.7","3"," 32/205 ","Q1","84.63","0.013","2.732","4.033","91.0","Q1",
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","13,325","12.8","Q1","1.43"," 5/189 ","13.7","Q1","12.7","3"," 25/189 ","Q1","87.04","0.013","2.732","4.033","97.6","Q1",
"RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES","RETINA-J RET VIT DIS","0275-004X","1539-2864","OPHTHALMOLOGY","SCIE","12,344","2.3","Q2","1.28"," 32/95 ","2.7","Q2","2.1","0.6"," 15/95 ","Q1","84.74","0.01","2.27","0.806","66.8","Q2",
"PROTEOMICS","PROTEOMICS","1615-9853","1615-9861","BIOCHEMICAL RESEARCH METHODS","SCIE","11,678","3.4","Q2","0.66"," 26/85 ","3.9","Q2","3.1","0.8"," 42/85 ","Q2","51.18","0.006","1.33","1.031","70.0","Q1",
"PROTEOMICS","PROTEOMICS","1615-9853","1615-9861","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","11,678","3.4","Q2","0.66"," 138/313 ","3.9","Q2","3.1","0.8"," 158/313 ","Q2","49.68","0.006","1.33","1.031","56.1","Q2",
"NEUROLOGICAL SCIENCES","NEUROL SCI","1590-1874","1590-3478","CLINICAL NEUROLOGY","SCIE","11,450","2.7","Q2","0.73"," 110/277 ","2.7","Q3","2.6","0.5"," 131/278 ","Q2","53.06","0.014","3.151","0.707","60.5","Q3",
"NEUROLOGICAL SCIENCES","NEUROL SCI","1590-1874","1590-3478","NEUROSCIENCES","SCIE","11,450","2.7","Q3","0.73"," 158/310 ","2.7","Q3","2.6","0.5"," 168/310 ","Q2","45.97","0.014","3.151","0.707","49.2","Q3",
"Applied Physics Reviews","APPL PHYS REV","1931-9401","1931-9401","PHYSICS, APPLIED","SCIE","10,761","11.9","Q1","1.54"," 15/179 ","16.5","Q1","11.7","2.2"," 19/179 ","Q1","89.66","0.017","3.726","4.303","91.9","Q1",
"ADVANCED ENGINEERING INFORMATICS","ADV ENG INFORM","1474-0346","1873-5320","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","10,404","8","Q1","2.05"," 22/197 ","8.2","Q1","6.3","1.5"," 17/198 ","Q1","91.67","0.01","2.164","1.339","89.1","Q1",
"ADVANCED ENGINEERING INFORMATICS","ADV ENG INFORM","1474-0346","1873-5320","ENGINEERING, MULTIDISCIPLINARY","SCIE","10,404","8","Q1","2.05"," 4/179 ","8.2","Q1","6.3","1.5"," 9/180 ","Q1","95.28","0.01","2.164","1.339","98.0","Q1",
"BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","B ENVIRON CONTAM TOX","0007-4861","1432-0800","ENVIRONMENTAL SCIENCES","SCIE","9,731","2.7","Q3","0.59"," 192/358 ","2.6","Q3","2.6","0.6"," 190/359 ","Q3","47.21","0.005","1.083","0.435","46.5","Q3",
"BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","B ENVIRON CONTAM TOX","0007-4861","1432-0800","TOXICOLOGY","SCIE","9,731","2.7","Q3","0.59"," 56/106 ","2.6","Q3","2.6","0.6"," 70/106 ","Q3","34.43","0.005","1.083","0.435","47.6","Q4",
"BMC Neurology","BMC NEUROL","N/A","1471-2377","CLINICAL NEUROLOGY","SCIE","9,658","2.2","Q3","0.72"," 155/277 ","2.5","Q3","2.1","0.4"," 133/278 ","Q2","52.34","0.012","2.563","0.712","44.2","Q3",
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH","ENVIRON GEOCHEM HLTH","0269-4042","1573-2983","ENGINEERING, ENVIRONMENTAL","SCIE","9,097","3.2","Q3","0.78"," 46/81 ","4","Q3","3","1.2"," 28/81 ","Q2","66.05","0.007","1.626","0.614","43.8","Q3",
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH","ENVIRON GEOCHEM HLTH","0269-4042","1573-2983","ENVIRONMENTAL SCIENCES","SCIE","9,097","3.2","Q2","0.78"," 166/358 ","4","Q2","3","1.2"," 131/359 ","Q2","63.65","0.007","1.626","0.614","53.8","Q3",
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH","ENVIRON GEOCHEM HLTH","0269-4042","1573-2983","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","9,097","3.2","Q2","0.78"," 104/403 ","4","Q1","3","1.2"," 153/403 ","Q2","62.16","0.007","1.626","0.614","74.3","Q3",
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH","ENVIRON GEOCHEM HLTH","0269-4042","1573-2983","WATER RESOURCES","SCIE","9,097","3.2","Q2","0.78"," 36/127 ","4","Q1","3","1.2"," 39/127 ","Q2","69.69","0.007","1.626","0.614","72.0","Q2",
"IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS","IEEE T COMPUT AID D","0278-0070","1937-4151","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","SCIE","8,761","2.7","Q2","0.66"," 27/59 ","2.9","Q2","2.3","1"," 28/59 ","Q2","53.39","0.007","1.612","0.576","55.1","Q3",
"IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS","IEEE T COMPUT AID D","0278-0070","1937-4151","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","8,761","2.7","Q2","0.66"," 76/169 ","2.9","Q2","2.3","1"," 82/169 ","Q2","51.78","0.007","1.612","0.576","55.3","Q3",
"IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS","IEEE T COMPUT AID D","0278-0070","1937-4151","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","8,761","2.7","Q2","0.66"," 154/352 ","2.9","Q2","2.3","1"," 152/354 ","Q2","57.20","0.007","1.612","0.576","56.4","Q2",
"Structural Control & Health Monitoring","STRUCT CONTROL HLTH","1545-2255","1545-2263","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","8,594","4.6","Q1","1.08"," 15/91 ","5.5","Q1","4.2","1"," 16/91 ","Q1","82.97","0.009","2.053","1.156","84.1","Q1",
"Structural Control & Health Monitoring","STRUCT CONTROL HLTH","1545-2255","1545-2263","ENGINEERING, CIVIL","SCIE","8,594","4.6","Q1","1.08"," 22/181 ","5.5","Q1","4.2","1"," 27/181 ","Q1","85.36","0.009","2.053","1.156","88.1","Q1",
"Structural Control & Health Monitoring","STRUCT CONTROL HLTH","1545-2255","1545-2263","INSTRUMENTS & INSTRUMENTATION","SCIE","8,594","4.6","Q1","1.08"," 14/76 ","5.5","Q1","4.2","1"," 13/76 ","Q1","83.55","0.009","2.053","1.156","82.2","Q1",
"AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY","AM J GERIAT PSYCHIAT","1064-7481","1545-7214","GERIATRICS & GERONTOLOGY","SCIE","8,439","4.4","Q1","1.62"," 16/74 ","5","Q1","4.2","1.2"," 5/74 ","Q1","93.92","0.008","1.699","1.657","79.1","Q1",
"AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY","AM J GERIAT PSYCHIAT","1064-7481","1545-7214","GERONTOLOGY","SSCI","8,439","4.4","Q1","1.62"," 6/47 ","5","Q1","4.2","1.2"," 2/48 ","Q1","96.88","0.008","1.699","1.657","88.3","Q1",
"AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY","AM J GERIAT PSYCHIAT","1064-7481","1545-7214","PSYCHIATRY","SCIE, SSCI","8,439","4.4","Q1","1.62"," 48/276 ","5","Q1","4.2","1.2"," 20/276 ","Q1","92.93","0.008","1.699","1.657","82.8","Q1",
"JOURNAL OF VIROLOGICAL METHODS","J VIROL METHODS","0166-0934","1879-0984","BIOCHEMICAL RESEARCH METHODS","SCIE","7,977","2.2","Q3","0.67"," 55/85 ","2","Q3","2.2","0.4"," 41/85 ","Q2","52.35","0.003","0.718","0.401","35.9","Q3",
"JOURNAL OF VIROLOGICAL METHODS","J VIROL METHODS","0166-0934","1879-0984","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","7,977","2.2","Q3","0.67"," 119/174 ","2","Q4","2.2","0.4"," 82/174 ","Q2","53.16","0.003","0.718","0.401","31.9","Q4",
"JOURNAL OF VIROLOGICAL METHODS","J VIROL METHODS","0166-0934","1879-0984","VIROLOGY","SCIE","7,977","2.2","Q3","0.67"," 29/41 ","2","Q3","2.2","0.4"," 22/41 ","Q2","47.56","0.003","0.718","0.401","30.5","Q4",
"JOURNAL OF THE AMERICAN DENTAL ASSOCIATION","J AM DENT ASSOC","0002-8177","1943-4723","DENTISTRY, ORAL SURGERY & MEDICINE","SCIE","7,813","3.1","Q1","1.49"," 23/157 ","3.4","Q1","2.9","0.9"," 17/157 ","Q1","89.49","0.003","0.755","0.899","85.7","Q1",
"MAGNETIC RESONANCE IMAGING","MAGN RESON IMAGING","0730-725X","1873-5894","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","7,803","2.1","Q2","0.69"," 96/204 ","2.3","Q2","2","0.5"," 89/204 ","Q2","56.62","0.006","1.292","0.677","53.2","Q2",
"CORAL REEFS","CORAL REEFS","0722-4028","1432-0975","MARINE & FRESHWATER BIOLOGY","SCIE","7,631","2.7","Q1","1.12"," 18/119 ","3.3","Q1","2.5","0.6"," 11/119 ","Q1","91.18","0.005","1.128","0.955","85.3","Q1",
"JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME","J MANUF SCI E-T ASME","1087-1357","1528-8935","ENGINEERING, MANUFACTURING","SCIE","7,102","2.4","Q3","0.74"," 39/68 ","3","Q3","2.3","1.2"," 22/68 ","Q2","68.38","0.004","0.905","0.573","43.4","Q2",
"JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME","J MANUF SCI E-T ASME","1087-1357","1528-8935","ENGINEERING, MECHANICAL","SCIE","7,102","2.4","Q2","0.74"," 68/180 ","3","Q2","2.3","1.2"," 53/180 ","Q2","70.83","0.004","0.905","0.573","62.5","Q2",
"CURRENT OPINION IN PHARMACOLOGY","CURR OPIN PHARMACOL","1471-4892","1471-4973","PHARMACOLOGY & PHARMACY","SCIE","6,924","4","Q1","1.28"," 82/354 ","4.1","Q2","4","1.2"," 44/354 ","Q1","87.71","0.005","1.047","1.058","77.0","Q1",
"TROPICAL MEDICINE & INTERNATIONAL HEALTH","TROP MED INT HEALTH","1360-2276","1365-3156","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","6,879","2.6","Q2","0.68"," 145/403 ","2.8","Q2","2.5","0.3"," 192/403 ","Q2","52.48","0.005","1.143","0.964","64.1","Q2",
"TROPICAL MEDICINE & INTERNATIONAL HEALTH","TROP MED INT HEALTH","1360-2276","1365-3156","TROPICAL MEDICINE","SCIE","6,879","2.6","Q2","0.68"," 8/28 ","2.8","Q1","2.5","0.3"," 14/28 ","Q2","51.79","0.005","1.143","0.964","73.2","Q1",
"CHINESE PHYSICS LETTERS","CHINESE PHYS LETT","0256-307X","1741-3540","PHYSICS, MULTIDISCIPLINARY","SCIE","6,785","3.5","Q1","0.92"," 25/110 ","2.1","Q2","3.1","1"," 23/110 ","Q1","79.55","0.006","1.263","0.55","77.7","Q2",
"RESEARCH IN NURSING & HEALTH","RES NURS HEALTH","0160-6891","1098-240X","NURSING","SCIE, SSCI","6,575","2.1","Q2","0.99"," 52/191 ","2.4","Q2","2.1","0.2"," 49/191 ","Q2","74.61","0.002","0.393","0.719","73.0","Q1",
"Neurocritical Care","NEUROCRIT CARE","1541-6933","1556-0961","CLINICAL NEUROLOGY","SCIE","6,439","3.1","Q2","0.81"," 90/277 ","3.2","Q2","2.8","1"," 108/278 ","Q2","61.33","0.008","1.691","1.013","67.7","Q2",
"Neurocritical Care","NEUROCRIT CARE","1541-6933","1556-0961","CRITICAL CARE MEDICINE","SCIE","6,439","3.1","Q2","0.81"," 16/54 ","3.2","Q2","2.8","1"," 19/55 ","Q2","66.36","0.008","1.691","1.013","71.3","Q2",
"Nuclear Engineering and Technology","NUCL ENG TECHNOL","1738-5733","1738-5733","NUCLEAR SCIENCE & TECHNOLOGY","SCIE","6,226","2.6","Q1","1.36"," 7/40 ","2.6","Q1","2.3","0.9"," 3/40 ","Q1","93.75","0.007","1.544","0.524","83.8","Q1",
"Chemical Biology & Drug Design","CHEM BIOL DRUG DES","1747-0277","1747-0285","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","5,697","3.2","Q2","0.58"," 155/313 ","2.9","Q3","3.1","0.5"," 190/313 ","Q3","39.46","0.004","0.773","0.505","50.6","Q3",
"Chemical Biology & Drug Design","CHEM BIOL DRUG DES","1747-0277","1747-0285","CHEMISTRY, MEDICINAL","SCIE","5,697","3.2","Q3","0.58"," 39/72 ","2.9","Q3","3.1","0.5"," 48/72 ","Q3","34.03","0.004","0.773","0.505","46.5","Q3",
