"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"Religion State & Society","RELIG STATE SOC","0963-7494","1465-3974","RELIGION","ESCI","406","1.3"," N/A ","1.8","N/A","1.2","0.3","2.33"," 10/339 ","Q1","N/A","N/A","97.20","0.001","0.191","0.895","Q1",
"CHAOS SOLITONS & FRACTALS","CHAOS SOLITON FRACT","0960-0779","1873-2887","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","32,102","5.3"," 7/135 ","5.4","Q1","4.6","1.5","2.27"," 5/135 ","Q1","Q1","95.2","96.67","0.032","7.038","0.97","Q1",
"CHAOS SOLITONS & FRACTALS","CHAOS SOLITON FRACT","0960-0779","1873-2887","PHYSICS, MATHEMATICAL","SCIE","32,102","5.3"," 2/60 ","5.4","Q1","4.6","1.5","2.27"," 1/60 ","Q1","Q1","97.5","99.17","0.032","7.038","0.97","Q2",
"CHAOS SOLITONS & FRACTALS","CHAOS SOLITON FRACT","0960-0779","1873-2887","PHYSICS, MULTIDISCIPLINARY","SCIE","32,102","5.3"," 17/110 ","5.4","Q1","4.6","1.5","2.27"," 7/110 ","Q1","Q1","85.0","94.09","0.032","7.038","0.97","Q2",
"MECHANICAL SYSTEMS AND SIGNAL PROCESSING","MECH SYST SIGNAL PR","0888-3270","1096-1216","ENGINEERING, MECHANICAL","SCIE","53,144","7.9"," 5/180 ","8","Q1","6.8","1.5","2.23"," 5/180 ","Q1","Q1","97.5","97.50","0.058","12.673","1.57","Q1",
"NEW ASTRONOMY REVIEWS","NEW ASTRON REV","1387-6473","1872-9630","ASTRONOMY & ASTROPHYSICS","SCIE","1,410","11.7"," 5/84 ","9.7","Q1","11.6","6","2.16"," 5/84 ","Q1","Q1","94.6","94.64","0.002","0.386","4.018","Q1",
"STROKE","STROKE","0039-2499","1524-4628","CLINICAL NEUROLOGY","SCIE","72,261","7.8"," 13/277 ","8.2","Q1","7.3","2.2","2.14"," 12/278 ","Q1","Q1","95.5","95.86","0.058","12.604","2.819","Q1",
"STROKE","STROKE","0039-2499","1524-4628","PERIPHERAL VASCULAR DISEASE","SCIE","72,261","7.8"," 4/96 ","8.2","Q1","7.3","2.2","2.14"," 4/96 ","Q1","Q1","96.4","96.35","0.058","12.604","2.819","Q1",
"Environmental Science and Ecotechnology","ENVIRON SCI ECOTECH","2666-4984","2666-4984","ENVIRONMENTAL SCIENCES","SCIE","1,837","14"," 9/358 ","13.2","Q1","13.7","3.2","2.09"," 12/359 ","Q1","Q1","97.6","96.80","0.002","0.533","2.452","Q1",
"Environmental Science and Ecotechnology","ENVIRON SCI ECOTECH","2666-4984","2666-4984","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","1,837","14"," 5/91 ","13.2","Q1","13.7","3.2","2.09"," 5/91 ","Q1","Q1","95.1","95.05","0.002","0.533","2.452","Q1",
"AGRICULTURAL SYSTEMS","AGR SYST","0308-521X","1873-2267","AGRICULTURE, MULTIDISCIPLINARY","SCIE","12,430","6.1"," 5/89 ","6.4","Q1","5.7","1","2.05"," 2/89 ","Q1","Q1","94.9","98.31","0.01","2.129","1.202","Q1",
"ENERGY CONVERSION AND MANAGEMENT","ENERG CONVERS MANAGE","0196-8904","1879-2227","ENERGY & FUELS","SCIE","103,106","9.9"," 20/170 ","9.8","Q1","8.7","2.4","1.97"," 13/173 ","Q1","Q1","88.5","92.77","0.084","18.38","1.67","Q1",
"ENERGY CONVERSION AND MANAGEMENT","ENERG CONVERS MANAGE","0196-8904","1879-2227","MECHANICS","SCIE","103,106","9.9"," 3/170 ","9.8","Q1","8.7","2.4","1.97"," 4/170 ","Q1","Q1","98.5","97.94","0.084","18.38","1.67","Q1",
"ENERGY CONVERSION AND MANAGEMENT","ENERG CONVERS MANAGE","0196-8904","1879-2227","THERMODYNAMICS","SCIE","103,106","9.9"," 2/76 ","9.8","Q1","8.7","2.4","1.97"," 2/76 ","Q1","Q1","98.0","98.03","0.084","18.38","1.67","Q1",
"Heritage Science","HERIT SCI","2050-7445","2050-7445","CHEMISTRY, ANALYTICAL","SCIE","2,630","2.6"," 53/106 ","2.9","Q2","2","0.7","1.95"," 4/106 ","Q1","Q2","50.5","96.70","0.003","0.624","0.536","Q2",
"Heritage Science","HERIT SCI","2050-7445","2050-7445","HUMANITIES, MULTIDISCIPLINARY","AHCI","2,630","2.6"," N/A ","2.9","N/A","2","0.7","1.95"," 26/406 ","Q1","N/A","N/A","93.72","0.003","0.624","0.536","Q1",
"Heritage Science","HERIT SCI","2050-7445","2050-7445","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","2,630","2.6"," 247/438 ","2.9","Q3","2","0.7","1.95"," 35/438 ","Q1","Q3","43.7","92.12","0.003","0.624","0.536","Q3",
"Heritage Science","HERIT SCI","2050-7445","2050-7445","SPECTROSCOPY","SCIE","2,630","2.6"," 14/44 ","2.9","Q2","2","0.7","1.95"," 3/44 ","Q1","Q2","69.3","94.32","0.003","0.624","0.536","Q2",
"PHARMACOLOGY & THERAPEUTICS","PHARMACOL THERAPEUT","0163-7258","1879-016X","PHARMACOLOGY & PHARMACY","SCIE","23,307","12"," 8/354 ","12.5","Q1","11.9","1.9","1.93"," 16/354 ","Q1","Q1","97.9","95.62","0.02","4.431","2.919","Q1",
"ITL-International Journal of Applied Linguistics","ITL-INT J APPL LING","0019-0829","1783-1490","LANGUAGE & LINGUISTICS","ESCI","223","2.1"," N/A ","N/A","N/A","2.1","0.4","1.93"," 20/393 ","Q1","N/A","N/A","95.04","0","0.095","N/A","N/A",
"ITL-International Journal of Applied Linguistics","ITL-INT J APPL LING","0019-0829","1783-1490","LINGUISTICS","ESCI","223","2.1"," 40/297 ","N/A","N/A","2.1","0.4","1.93"," 23/297 ","Q1","Q1","86.7","92.42","0","0.095","N/A","N/A",
"npj Quantum Information","NPJ QUANTUM INFORM","N/A","2056-6387","PHYSICS, APPLIED","SCIE","6,015","6.6"," 26/179 ","8","Q1","6.4","1.5","1.76"," 16/179 ","Q1","Q1","85.8","91.34","0.015","3.264","3.07","Q1",
"npj Quantum Information","NPJ QUANTUM INFORM","N/A","2056-6387","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL","SCIE","6,015","6.6"," 2/40 ","8","Q1","6.4","1.5","1.76"," 1/40 ","Q1","Q1","96.3","98.75","0.015","3.264","3.07","Q1",
"npj Quantum Information","NPJ QUANTUM INFORM","N/A","2056-6387","PHYSICS, CONDENSED MATTER","SCIE","6,015","6.6"," 15/79 ","8","Q1","6.4","1.5","1.76"," 8/79 ","Q1","Q1","81.6","90.51","0.015","3.264","3.07","Q1",
"npj Quantum Information","NPJ QUANTUM INFORM","N/A","2056-6387","QUANTUM SCIENCE & TECHNOLOGY","SCIE","6,015","6.6"," 3/26 ","8","Q1","6.4","1.5","1.76"," 2/26 ","Q1","Q1","90.4","94.23","0.015","3.264","3.07","Q1",
"COMPUTERS & MATHEMATICS WITH APPLICATIONS","COMPUT MATH APPL","0898-1221","1873-7668","MATHEMATICS, APPLIED","SCIE","18,545","2.9"," 20/331 ","2.6","Q1","2.6","0.6","1.69"," 19/331 ","Q1","Q1","94.1","94.41","0.014","2.996","0.791","Q2",
"Defence Technology","DEF TECHNOL","2096-3459","2214-9147","ENGINEERING, MULTIDISCIPLINARY","SCIE","4,446","5"," 19/179 ","4.9","Q1","4.4","2.5","1.67"," 15/180 ","Q1","Q1","89.7","91.94","0.004","0.971","0.805","Q1",
"CLINICAL PHARMACOLOGY & THERAPEUTICS","CLIN PHARMACOL THER","0009-9236","1532-6535","PHARMACOLOGY & PHARMACY","SCIE","18,906","6.3"," 25/354 ","6.2","Q1","5.8","1.1","1.64"," 22/354 ","Q1","Q1","93.1","93.93","0.021","4.533","2.063","Q1",
"GASTROINTESTINAL ENDOSCOPY","GASTROINTEST ENDOSC","0016-5107","1097-6779","GASTROENTEROLOGY & HEPATOLOGY","SCIE","24,973","6.7"," 17/143 ","7.1","Q1","6.1","2.9","1.61"," 17/143 ","Q1","Q1","88.5","88.46","0.023","5.03","2.442","Q1",
"AMERICAN JOURNAL OF ROENTGENOLOGY","AM J ROENTGENOL","0361-803X","1546-3141","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","32,133","4.7"," 22/204 ","4.1","Q1","4.4","3.1","1.59"," 16/204 ","Q1","Q1","89.5","92.40","0.016","3.502","1.157","Q1",
"Journal of Prosthodontics-Implant Esthetic and Reconstructive Dentistry","J PROSTHODONT","1059-941X","1532-849X","DENTISTRY, ORAL SURGERY & MEDICINE","SCIE","5,857","3.4"," 17/157 ","4","Q1","2.9","0.6","1.59"," 14/157 ","Q1","Q1","89.5","91.40","0.006","1.26","0.814","Q1",
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","SCIE","10,327","7.7"," 4/59 ","6.8","Q1","7.3","1.5","1.56"," 6/59 ","Q1","Q1","94.1","90.68","0.011","2.335","1.347","Q1",
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","10,327","7.7"," 12/169 ","6.8","Q1","7.3","1.5","1.56"," 24/169 ","Q1","Q1","93.2","86.09","0.011","2.335","1.347","Q1",
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, SOFTWARE ENGINEERING","SCIE","10,327","7.7"," 6/131 ","6.8","Q1","7.3","1.5","1.56"," 12/131 ","Q1","Q1","95.8","91.22","0.011","2.335","1.347","Q1",
"Twentieth-Century China","TWENT-CENTURY CHINA","1521-5385","1940-5065","HISTORY","ESCI","123","0.5"," 84/518 ","0.6","Q1","0.5","0.4","1.55"," 67/519 ","Q1","Q1","83.9","87.19","0","0.077","0.428","Q2",
"Nano Materials Science","NANO MATER SCI","2096-6482","2589-9651","MATERIALS SCIENCE, MULTIDISCIPLINARY","ESCI","1,878","12.6"," 37/438 ","12.4","Q1","12.1","7.8","1.52"," 53/438 ","Q1","Q1","91.7","88.01","0.002","0.464","2.003","Q1",
"Nano Materials Science","NANO MATER SCI","2096-6482","2589-9651","NANOSCIENCE & NANOTECHNOLOGY","ESCI","1,878","12.6"," 17/140 ","12.4","Q1","12.1","7.8","1.52"," 19/140 ","Q1","Q1","88.2","86.79","0.002","0.464","2.003","Q1",
"Cleaner Logistics and Supply Chain","CLEAN LOGIST SUPPL C","2772-3909","2772-3909","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","ESCI","654","6.9"," 8/106 ","6.9","Q1","6.6","1.7","1.51"," 10/106 ","Q1","Q1","92.9","91.04","0.001","0.168","1.102","Q2",
"New Global Studies","NEW GLOB STUD","1940-0004","1940-0004","HISTORY","ESCI","112","0.8"," 27/518 ","0.6","Q1","0.8","<0.1","1.5"," 72/519 ","Q1","Q1","94.9","86.22","0","0.056","0.349","Q2",
"JOURNAL OF MOLECULAR DIAGNOSTICS","J MOL DIAGN","1525-1578","1943-7811","PATHOLOGY","SCIE","5,214","3.4"," 22/88 ","3.9","Q1","3.3","0.8","1.49"," 10/88 ","Q1","Q1","75.6","89.20","0.006","1.377","1.317","Q1",
"E-Learning and Digital Media","E-LEARNING DIGITAL M","N/A","2042-7530","EDUCATION & EDUCATIONAL RESEARCH","ESCI","614","2.6"," 120/756 ","N/A","N/A","2.5","1.4","1.48"," 115/756 ","Q1","Q1","84.2","84.85","0.001","0.128","N/A","N/A",
"APL Photonics","APL PHOTONICS","2378-0967","2378-0967","OPTICS","SCIE","4,185","5.4"," 17/119 ","5.6","Q1","5.2","0.8","1.47"," 13/120 ","Q1","Q1","86.1","89.58","0.009","2.048","1.751","Q1",
"APL Photonics","APL PHOTONICS","2378-0967","2378-0967","PHYSICS, APPLIED","SCIE","4,185","5.4"," 40/179 ","5.6","Q1","5.2","0.8","1.47"," 21/179 ","Q1","Q1","77.9","88.55","0.009","2.048","1.751","Q1",
"Journal of Cystic Fibrosis","J CYST FIBROS","1569-1993","1873-5010","RESPIRATORY SYSTEM","SCIE","6,862","5.4"," 15/100 ","4.8","Q1","4.7","2.3","1.47"," 13/101 ","Q1","Q1","85.5","87.62","0.011","2.458","1.805","Q1",
"Journal of Integrative Agriculture","J INTEGR AGR","2095-3119","2352-3425","AGRICULTURE, MULTIDISCIPLINARY","SCIE","10,679","4.6"," 11/89 ","4.5","Q1","4.3","1.2","1.45"," 9/89 ","Q1","Q1","88.2","90.45","0.008","1.782","0.713","Q1",
"Journal of Stroke","J STROKE","2287-6391","2287-6405","CLINICAL NEUROLOGY","SCIE","2,201","6"," 23/277 ","7","Q1","5.8","2.9","1.44"," 31/278 ","Q1","Q1","91.9","89.03","0.003","0.659","2.347","Q1",
"Journal of Stroke","J STROKE","2287-6391","2287-6405","PERIPHERAL VASCULAR DISEASE","SCIE","2,201","6"," 8/96 ","7","Q1","5.8","2.9","1.44"," 10/96 ","Q1","Q1","92.2","90.10","0.003","0.659","2.347","Q1",
"IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS","IEEE T AERO ELEC SYS","0018-9251","1557-9603","ENGINEERING, AEROSPACE","SCIE","18,887","5.1"," 5/52 ","4.7","Q1","4.4","1.9","1.43"," 4/52 ","Q1","Q1","91.3","93.27","0.016","3.491","1.197","Q1",
"IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS","IEEE T AERO ELEC SYS","0018-9251","1557-9603","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","18,887","5.1"," 64/352 ","4.7","Q1","4.4","1.9","1.43"," 48/354 ","Q1","Q1","82.0","86.58","0.016","3.491","1.197","Q1",
"IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS","IEEE T AERO ELEC SYS","0018-9251","1557-9603","TELECOMMUNICATIONS","SCIE","18,887","5.1"," 24/119 ","4.7","Q1","4.4","1.9","1.43"," 20/119 ","Q1","Q1","80.3","83.61","0.016","3.491","1.197","Q1",
"Vehicular Communications","VEH COMMUN","2214-2096","2214-2096","TELECOMMUNICATIONS","SCIE","2,232","5.8"," 20/119 ","6.4","Q1","5.4","0.8","1.42"," 21/119 ","Q1","Q1","83.6","82.77","0.003","0.631","1.252","Q1",
"Vehicular Communications","VEH COMMUN","2214-2096","2214-2096","TRANSPORTATION SCIENCE & TECHNOLOGY","SCIE","2,232","5.8"," 13/72 ","6.4","Q1","5.4","0.8","1.42"," 14/72 ","Q1","Q1","82.6","81.25","0.003","0.631","1.252","Q1",
"OCEAN & COASTAL MANAGEMENT","OCEAN COAST MANAGE","0964-5691","1873-524X","OCEANOGRAPHY","SCIE","13,130","4.8"," 3/65 ","4.2","Q1","4","1.2","1.42"," 3/65 ","Q1","Q1","96.2","96.15","0.011","2.361","0.764","Q2",
"OCEAN & COASTAL MANAGEMENT","OCEAN COAST MANAGE","0964-5691","1873-524X","WATER RESOURCES","SCIE","13,130","4.8"," 14/127 ","4.2","Q1","4","1.2","1.42"," 9/127 ","Q1","Q1","89.4","93.31","0.011","2.361","0.764","Q1",
"AGE AND AGEING","AGE AGEING","0002-0729","1468-2834","GERIATRICS & GERONTOLOGY","SCIE","18,246","6"," 7/74 ","8.3","Q1","5.7","1.1","1.41"," 10/74 ","Q1","Q1","91.2","87.16","0.019","4.117","2.46","Q1",
"EVOLUTION AND HUMAN BEHAVIOR","EVOL HUM BEHAV","1090-5138","1879-0607","BEHAVIORAL SCIENCES","SCIE","4,846","3"," 10/55 ","3.7","Q1","2.7","1.2","1.39"," 6/55 ","Q1","Q1","82.7","90.00","0.004","0.774","1.464","Q1",
"EVOLUTION AND HUMAN BEHAVIOR","EVOL HUM BEHAV","1090-5138","1879-0607","PSYCHOLOGY, BIOLOGICAL","SSCI","4,846","3"," 3/18 ","3.7","Q1","2.7","1.2","1.39"," 2/18 ","Q1","Q1","86.1","91.67","0.004","0.774","1.464","Q1",
"EVOLUTION AND HUMAN BEHAVIOR","EVOL HUM BEHAV","1090-5138","1879-0607","SOCIAL SCIENCES, BIOMEDICAL","SSCI","4,846","3"," 10/46 ","3.7","Q1","2.7","1.2","1.39"," 7/46 ","Q1","Q1","79.3","85.87","0.004","0.774","1.464","Q1",
"Case Studies in Thermal Engineering","CASE STUD THERM ENG","2214-157X","2214-157X","THERMODYNAMICS","SCIE","18,072","6.4"," 5/76 ","6.1","Q1","5.6","2","1.38"," 6/76 ","Q1","Q1","94.1","92.76","0.016","3.588","0.824","Q1",
"INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES","INT J HUM-COMPUT ST","1071-5819","1095-9300","COMPUTER SCIENCE, CYBERNETICS","SCIE","7,523","5.3"," 4/32 ","5.6","Q1","5","0.7","1.38"," 4/32 ","Q1","Q1","89.1","89.06","0.005","1.042","1.111","Q1",
"INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES","INT J HUM-COMPUT ST","1071-5819","1095-9300","ERGONOMICS","SSCI","7,523","5.3"," 2/24 ","5.6","Q1","5","0.7","1.38"," 2/24 ","Q1","Q1","93.8","93.75","0.005","1.042","1.111","Q1",
"INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES","INT J HUM-COMPUT ST","1071-5819","1095-9300","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","7,523","5.3"," 16/218 ","5.6","Q1","5","0.7","1.38"," 31/218 ","Q1","Q1","92.9","86.01","0.005","1.042","1.111","Q1",
"INTERNATIONAL PSYCHOGERIATRICS","INT PSYCHOGERIATR","1041-6102","1741-203X","GERIATRICS & GERONTOLOGY","SCIE","8,720","4.6"," 15/74 ","4.7","Q2","4","1.9","1.38"," 13/74 ","Q1","Q1","80.4","83.11","0.006","1.406","1.309","Q2",
"INTERNATIONAL PSYCHOGERIATRICS","INT PSYCHOGERIATR","1041-6102","1741-203X","GERONTOLOGY","SSCI","8,720","4.6"," 4/47 ","4.7","Q1","4","1.9","1.38"," 5/48 ","Q1","Q1","92.6","90.63","0.006","1.406","1.309","Q1",
"INTERNATIONAL PSYCHOGERIATRICS","INT PSYCHOGERIATR","1041-6102","1741-203X","PSYCHIATRY","SCIE","8,720","4.6"," 44/276 ","4.7","Q1","4","1.9","1.38"," 36/276 ","Q1","Q1","84.2","87.14","0.006","1.406","1.309","Q1",
"INTERNATIONAL PSYCHOGERIATRICS","INT PSYCHOGERIATR","1041-6102","1741-203X","PSYCHOLOGY","SCIE","8,720","4.6"," 13/92 ","4.7","Q1","4","1.9","1.38"," 12/92 ","Q1","Q1","86.4","87.50","0.006","1.406","1.309","Q1",
"INTERNATIONAL PSYCHOGERIATRICS","INT PSYCHOGERIATR","1041-6102","1741-203X","PSYCHOLOGY, CLINICAL","SSCI","8,720","4.6"," 16/180 ","4.7","Q1","4","1.9","1.38"," 18/180 ","Q1","Q1","91.4","90.28","0.006","1.406","1.309","Q1",
"Brazilian Journal of Physical Therapy","BRAZ J PHYS THER","1413-3555","1809-9246","ORTHOPEDICS","SCIE","2,582","3.1"," 19/136 ","3.6","Q1","2.9","0.5","1.38"," 18/136 ","Q1","Q1","86.4","87.13","0.003","0.586","0.978","Q1",
"Brazilian Journal of Physical Therapy","BRAZ J PHYS THER","1413-3555","1809-9246","REHABILITATION","SCIE","2,582","3.1"," 13/169 ","3.6","Q1","2.9","0.5","1.38"," 19/169 ","Q1","Q1","92.6","89.05","0.003","0.586","0.978","Q1",
"ACCOUNTS OF CHEMICAL RESEARCH","ACCOUNTS CHEM RES","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY","SCIE","82,104","16.4"," 12/230 ","20.2","Q1","16.3","2.6","1.37"," 39/231 ","Q1","Q1","95.0","83.33","0.071","15.478","5.35","Q1",
"Journal of Global Slavery","J GLOBAL SLAVERY","2405-8351","2405-836X","HISTORY","ESCI","57","0.6"," 57/518 ","N/A","N/A","0.5","0.2","1.37"," 86/519 ","Q1","Q1","89.1","83.53","0.001","0.11","N/A","N/A",
"BMJ Evidence-Based Medicine","BMJ EVID-BASED MED","2515-446X","2515-4478","MEDICINE, GENERAL & INTERNAL","SCIE","1,759","9"," 16/325 ","9","Q1","8.6","1.4","1.36"," 30/329 ","Q1","Q1","95.2","91.03","0.005","1.095","3.453","Q1",
"Microsystems & Nanoengineering","MICROSYST NANOENG","2055-7434","2055-7434","INSTRUMENTS & INSTRUMENTATION","SCIE","4,573","7.3"," 3/76 ","7.7","Q1","7","2","1.36"," 8/76 ","Q1","Q1","96.7","90.13","0.006","1.328","1.569","Q1",
"Microsystems & Nanoengineering","MICROSYST NANOENG","2055-7434","2055-7434","NANOSCIENCE & NANOTECHNOLOGY","SCIE","4,573","7.3"," 32/140 ","7.7","Q1","7","2","1.36"," 25/140 ","Q1","Q1","77.5","82.50","0.006","1.328","1.569","Q1",
"Current Opinion in Behavioral Sciences","CURR OPIN BEHAV SCI","2352-1546","2352-1554","BEHAVIORAL SCIENCES","SCIE","5,707","4.9"," 5/55 ","5.2","Q1","4.9","0.4","1.36"," 7/55 ","Q1","Q1","91.8","88.18","0.013","2.916","2.23","Q1",
"Current Opinion in Behavioral Sciences","CURR OPIN BEHAV SCI","2352-1546","2352-1554","NEUROSCIENCES","SCIE","5,707","4.9"," 54/310 ","5.2","Q1","4.9","0.4","1.36"," 44/310 ","Q1","Q1","82.7","85.97","0.013","2.916","2.23","Q1",
"Current Opinion in Behavioral Sciences","CURR OPIN BEHAV SCI","2352-1546","2352-1554","PSYCHOLOGY, EXPERIMENTAL","SSCI","5,707","4.9"," 5/99 ","5.2","Q1","4.9","0.4","1.36"," 13/99 ","Q1","Q1","95.5","87.37","0.013","2.916","2.23","Q1",
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","19,707","11.6"," 15/313 ","12.5","Q1","11.3","4","1.35"," 39/313 ","Q1","Q1","95.4","87.70","0.015","3.329","5.063","Q1",
"Journal of Evidence-Based Dental Practice","J EVID-BASED DENT PR","1532-3382","1532-3390","DENTISTRY, ORAL SURGERY & MEDICINE","SCIE","1,365","4.1"," 12/157 ","4.8","Q1","3.2","1.9","1.32"," 23/157 ","Q1","Q1","92.7","85.67","0.001","0.253","0.918","Q1",
"JOURNAL OF PAIN AND SYMPTOM MANAGEMENT","J PAIN SYMPTOM MANAG","0885-3924","1873-6513","CLINICAL NEUROLOGY","SCIE","14,594","3.2"," 80/277 ","3.8","Q2","3","1","1.3"," 41/278 ","Q1","Q2","71.3","85.43","0.015","3.297","1.32","Q1",
"JOURNAL OF PAIN AND SYMPTOM MANAGEMENT","J PAIN SYMPTOM MANAG","0885-3924","1873-6513","HEALTH CARE SCIENCES & SERVICES","SCIE","14,594","3.2"," 41/174 ","3.8","Q1","3","1","1.3"," 23/175 ","Q1","Q1","76.7","87.14","0.015","3.297","1.32","Q1",
"JOURNAL OF PAIN AND SYMPTOM MANAGEMENT","J PAIN SYMPTOM MANAG","0885-3924","1873-6513","MEDICINE, GENERAL & INTERNAL","SCIE","14,594","3.2"," 51/325 ","3.8","Q1","3","1","1.3"," 39/329 ","Q1","Q1","84.5","88.30","0.015","3.297","1.32","Q1",
"Journal of High Energy Astrophysics","J HIGH ENERGY ASTROP","2214-4048","2214-4056","ASTRONOMY & ASTROPHYSICS","SCIE","1,071","10.2"," 7/84 ","7.7","Q1","10.1","2.9","1.29"," 12/84 ","Q1","Q1","92.3","86.31","0.002","0.47","2.356","Q1",
"International Journal of Optomechatronics","INT J OPTOMECHATRONI","1559-9612","1559-9620","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","278","6.7"," 38/352 ","4.8","Q1","6.3","0.3","1.29"," 60/354 ","Q1","Q1","89.3","83.19","0","0.053","0.894","Q2",
