"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"PHYTOTHERAPY RESEARCH","PHYTOTHER RES","0951-418X","1099-1573","PHARMACOLOGY & PHARMACY","SCIE","23,111","6.1","Q1","1.25"," 26/354 ","7","Q1","5.8","1.1"," 51/354 ","Q1","85.73","0.013","2.886","1.036","92.8","Q1",
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","AGRONOMY","SCIE","22,514","4.4","Q1","1.31"," 14/125 ","5","Q1","4","0.9"," 11/125 ","Q1","91.60","0.009","2.003","0.917","89.2","Q1",
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","GENETICS & HEREDITY","SCIE","22,514","4.4","Q1","1.31"," 36/191 ","5","Q1","4","0.9"," 23/191 ","Q1","88.22","0.009","2.003","0.917","81.4","Q2",
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","HORTICULTURE","SCIE","22,514","4.4","Q1","1.31"," 5/38 ","5","Q1","4","0.9"," 6/38 ","Q1","85.53","0.009","2.003","0.917","88.2","Q1",
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","PLANT SCIENCES","SCIE","22,514","4.4","Q1","1.31"," 38/265 ","5","Q1","4","0.9"," 30/265 ","Q1","88.87","0.009","2.003","0.917","85.8","Q1",
"PLANT AND CELL PHYSIOLOGY","PLANT CELL PHYSIOL","0032-0781","1471-9053","CELL BIOLOGY","SCIE","20,285","3.9","Q2","0.88"," 90/205 ","4.7","Q2","3.7","1.1"," 74/205 ","Q1","64.15","0.008","1.829","1.073","56.3","Q2",
"PLANT AND CELL PHYSIOLOGY","PLANT CELL PHYSIOL","0032-0781","1471-9053","PLANT SCIENCES","SCIE","20,285","3.9","Q1","0.88"," 48/265 ","4.7","Q1","3.7","1.1"," 64/265 ","Q1","76.04","0.008","1.829","1.073","82.1","Q1",
"EUROPEAN SPINE JOURNAL","EUR SPINE J","0940-6719","1432-0932","CLINICAL NEUROLOGY","SCIE","19,798","2.6","Q2","0.93"," 118/277 ","3.1","Q2","2.3","0.4"," 84/278 ","Q2","69.96","0.014","3.029","0.896","57.6","Q2",
"EUROPEAN SPINE JOURNAL","EUR SPINE J","0940-6719","1432-0932","ORTHOPEDICS","SCIE","19,798","2.6","Q1","0.93"," 29/136 ","3.1","Q1","2.3","0.4"," 41/136 ","Q2","70.22","0.014","3.029","0.896","79.0","Q1",
"IMMUNOLOGICAL REVIEWS","IMMUNOL REV","0105-2896","1600-065X","IMMUNOLOGY","SCIE","18,599","7.5","Q1","0.9"," 24/181 ","10.7","Q1","7.3","1.9"," 51/181 ","Q2","72.10","0.014","3.031","3.637","87.0","Q1",
"GLOBAL ECOLOGY AND BIOGEOGRAPHY","GLOBAL ECOL BIOGEOGR","1466-822X","1466-8238","ECOLOGY","SCIE","17,766","6.3","Q1","1.77"," 12/195 ","7.7","Q1","6.1","0.9"," 10/195 ","Q1","95.13","0.018","3.887","2.727","94.1","Q1",
"GLOBAL ECOLOGY AND BIOGEOGRAPHY","GLOBAL ECOL BIOGEOGR","1466-822X","1466-8238","GEOGRAPHY, PHYSICAL","SCIE","17,766","6.3","Q1","1.77"," 4/65 ","7.7","Q1","6.1","0.9"," 3/65 ","Q1","96.15","0.018","3.887","2.727","94.6","Q1",
"SCHIZOPHRENIA BULLETIN","SCHIZOPHRENIA BULL","0586-7614","1745-1701","PSYCHIATRY","SCIE, SSCI","17,757","5.3","Q1","1.45"," 28/276 ","6.7","Q1","5","1"," 31/276 ","Q1","88.95","0.016","3.397","2.417","90.0","Q1",
"INTERNATIONAL JOURNAL OF REFRIGERATION","INT J REFRIG","0140-7007","1879-2081","ENGINEERING, MECHANICAL","SCIE","16,559","3.5","Q1","0.84"," 39/180 ","3.6","Q1","3","0.9"," 43/180 ","Q1","76.39","0.009","1.982","0.6","78.6","Q2",
"INTERNATIONAL JOURNAL OF REFRIGERATION","INT J REFRIG","0140-7007","1879-2081","THERMODYNAMICS","SCIE","16,559","3.5","Q1","0.84"," 19/76 ","3.6","Q1","3","0.9"," 19/76 ","Q1","75.66","0.009","1.982","0.6","75.7","Q2",
"TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA","T NONFERR METAL SOC","1003-6326","2210-3384","METALLURGY & METALLURGICAL ENGINEERING","SCIE","16,302","4.7","Q1","0.99"," 13/90 ","4.2","Q1","4","0.7"," 14/91 ","Q1","85.16","0.007","1.525","0.587","86.1","Q1",
"URBAN FORESTRY & URBAN GREENING","URBAN FOR URBAN GREE","1618-8667","1610-8167","ENVIRONMENTAL STUDIES","SSCI","15,848","6","Q1","1.76"," 25/182 ","6.4","Q1","5.3","1.2"," 18/184 ","Q1","90.49","0.014","2.971","1.112","86.5","Q2",
"URBAN FORESTRY & URBAN GREENING","URBAN FOR URBAN GREE","1618-8667","1610-8167","FORESTRY","SCIE","15,848","6","Q1","1.76"," 2/89 ","6.4","Q1","5.3","1.2"," 3/89 ","Q1","97.19","0.014","2.971","1.112","98.3","Q1",
"URBAN FORESTRY & URBAN GREENING","URBAN FOR URBAN GREE","1618-8667","1610-8167","URBAN STUDIES","SSCI","15,848","6","Q1","1.76"," 5/77 ","6.4","Q1","5.3","1.2"," 5/77 ","Q1","94.16","0.014","2.971","1.112","94.2","Q2",
"FRESHWATER BIOLOGY","FRESHWATER BIOL","0046-5070","1365-2427","ECOLOGY","SCIE","13,915","2.8","Q2","0.84"," 64/195 ","3.5","Q2","2.6","0.8"," 67/195 ","Q1","65.90","0.006","1.286","0.906","67.4","Q2",
"FRESHWATER BIOLOGY","FRESHWATER BIOL","0046-5070","1365-2427","MARINE & FRESHWATER BIOLOGY","SCIE","13,915","2.8","Q1","0.84"," 14/119 ","3.5","Q1","2.6","0.8"," 23/119 ","Q1","81.09","0.006","1.286","0.906","88.7","Q1",
"MOLECULAR AND CELLULAR BIOCHEMISTRY","MOL CELL BIOCHEM","0300-8177","1573-4919","CELL BIOLOGY","SCIE","13,784","3.5","Q3","0.56"," 110/205 ","3.3","Q3","3.5","0.8"," 128/205 ","Q3","37.80","0.008","1.702","0.637","46.6","Q3",
"JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION","J OPT SOC AM A","1084-7529","1520-8532","OPTICS","SCIE","13,080","1.4","Q3","0.55"," 86/119 ","1.5","Q3","1.2","0.5"," 64/120 ","Q3","47.08","0.004","0.916","0.365","28.2","Q3",
"Eurosurveillance","EUROSURVEILLANCE","1025-496X","1560-7917","INFECTIOUS DISEASES","SCIE","13,064","9.9","Q1","3.85"," 6/132 ","8.5","Q1","9.6","2.3"," 3/132 ","Q1","98.11","0.022","4.886","2.767","95.8","Q1",
"MICROBIAL ECOLOGY","MICROB ECOL","0095-3628","1432-184X","ECOLOGY","SCIE","12,746","3.3","Q2","1"," 55/195 ","3.9","Q2","3.3","0.7"," 45/195 ","Q1","77.18","0.008","1.739","0.863","72.1","Q2",
"MICROBIAL ECOLOGY","MICROB ECOL","0095-3628","1432-184X","MARINE & FRESHWATER BIOLOGY","SCIE","12,746","3.3","Q1","1"," 10/119 ","3.9","Q1","3.3","0.7"," 12/119 ","Q1","90.34","0.008","1.739","0.863","92.0","Q1",
"MICROBIAL ECOLOGY","MICROB ECOL","0095-3628","1432-184X","MICROBIOLOGY","SCIE","12,746","3.3","Q2","1"," 70/161 ","3.9","Q2","3.3","0.7"," 43/161 ","Q1","73.60","0.008","1.739","0.863","56.8","Q2",
"JOURNAL OF GASTROINTESTINAL SURGERY","J GASTROINTEST SURG","1091-255X","1873-4626","GASTROENTEROLOGY & HEPATOLOGY","SCIE","11,712","2.2","Q3","0.85"," 83/143 ","2.9","Q2","2.1","0.5"," 40/143 ","Q2","72.38","0.011","2.48","0.893","42.3","Q2",
"JOURNAL OF GASTROINTESTINAL SURGERY","J GASTROINTEST SURG","1091-255X","1873-4626","SURGERY","SCIE","11,712","2.2","Q2","0.85"," 90/290 ","2.9","Q1","2.1","0.5"," 96/290 ","Q2","67.07","0.011","2.48","0.893","69.1","Q1",
"HEADACHE","HEADACHE","0017-8748","1526-4610","CLINICAL NEUROLOGY","SCIE","10,529","5.4","Q1","1.29"," 29/277 ","5.2","Q1","4.7","1.2"," 46/278 ","Q1","83.63","0.009","2","1.513","89.7","Q1",
"ADVANCED ENGINEERING INFORMATICS","ADV ENG INFORM","1474-0346","1873-5320","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","10,404","8","Q1","2.05"," 22/197 ","8.2","Q1","6.3","1.5"," 17/198 ","Q1","91.67","0.01","2.164","1.339","89.1","Q1",
"ADVANCED ENGINEERING INFORMATICS","ADV ENG INFORM","1474-0346","1873-5320","ENGINEERING, MULTIDISCIPLINARY","SCIE","10,404","8","Q1","2.05"," 4/179 ","8.2","Q1","6.3","1.5"," 9/180 ","Q1","95.28","0.01","2.164","1.339","98.0","Q1",
"JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE","J GEOPHYS RES-EARTH","2169-9003","2169-9011","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","10,259","3.5","Q1","0.96"," 58/253 ","4.1","Q1","3.1","0.8"," 57/253 ","Q1","77.67","0.009","2.043","1.486","77.3","Q1",
"Applied Water Science","APPL WATER SCI","2190-5487","2190-5495","WATER RESOURCES","SCIE","10,240","5.7","Q1","1.33"," 10/127 ","5.8","Q1","5.4","1.7"," 11/127 ","Q1","91.73","0.007","1.581","0.77","92.5","Q1",
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH","ENVIRON GEOCHEM HLTH","0269-4042","1573-2983","ENGINEERING, ENVIRONMENTAL","SCIE","9,097","3.2","Q3","0.78"," 46/81 ","4","Q3","3","1.2"," 28/81 ","Q2","66.05","0.007","1.626","0.614","43.8","Q3",
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH","ENVIRON GEOCHEM HLTH","0269-4042","1573-2983","ENVIRONMENTAL SCIENCES","SCIE","9,097","3.2","Q2","0.78"," 166/358 ","4","Q2","3","1.2"," 131/359 ","Q2","63.65","0.007","1.626","0.614","53.8","Q3",
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH","ENVIRON GEOCHEM HLTH","0269-4042","1573-2983","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","9,097","3.2","Q2","0.78"," 104/403 ","4","Q1","3","1.2"," 153/403 ","Q2","62.16","0.007","1.626","0.614","74.3","Q3",
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH","ENVIRON GEOCHEM HLTH","0269-4042","1573-2983","WATER RESOURCES","SCIE","9,097","3.2","Q2","0.78"," 36/127 ","4","Q1","3","1.2"," 39/127 ","Q2","69.69","0.007","1.626","0.614","72.0","Q2",
"IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT","IEEE T ENG MANAGE","0018-9391","1558-0040","BUSINESS","SSCI","9,041","4.6","Q1","1.23"," 73/302 ","4.9","Q2","3.8","1.3"," 60/302 ","Q1","80.30","0.008","1.842","0.829","76.0","Q2",
"IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT","IEEE T ENG MANAGE","0018-9391","1558-0040","ENGINEERING, INDUSTRIAL","SCIE","9,041","4.6","Q1","1.23"," 16/69 ","4.9","Q2","3.8","1.3"," 12/69 ","Q1","83.33","0.008","1.842","0.829","77.5","Q2",
"IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT","IEEE T ENG MANAGE","0018-9391","1558-0040","MANAGEMENT","SSCI","9,041","4.6","Q1","1.23"," 93/401 ","4.9","Q2","3.8","1.3"," 86/402 ","Q1","78.73","0.008","1.842","0.829","76.9","Q2",
"CURRENT OPINION IN COLLOID & INTERFACE SCIENCE","CURR OPIN COLLOID IN","1359-0294","1879-0399","CHEMISTRY, PHYSICAL","SCIE","8,468","7.9","Q1","0.44"," 42/178 ","7.5","Q1","7.6","1"," 121/178 ","Q3","32.30","0.005","1.103","1.593","76.7","Q1",
"INTERNATIONAL JOURNAL OF MODERN PHYSICS B","INT J MOD PHYS B","0217-9792","1793-6578","PHYSICS, APPLIED","SCIE","7,354","2.6","Q2","0.55"," 81/179 ","1.6","Q3","2.3","0.9"," 88/179 ","Q2","51.12","0.005","1.011","0.241","55.0","Q4",
"INTERNATIONAL JOURNAL OF MODERN PHYSICS B","INT J MOD PHYS B","0217-9792","1793-6578","PHYSICS, CONDENSED MATTER","SCIE","7,354","2.6","Q3","0.55"," 40/79 ","1.6","Q3","2.3","0.9"," 31/79 ","Q2","61.39","0.005","1.011","0.241","50.0","Q4",
"INTERNATIONAL JOURNAL OF MODERN PHYSICS B","INT J MOD PHYS B","0217-9792","1793-6578","PHYSICS, MATHEMATICAL","SCIE","7,354","2.6","Q1","0.55"," 7/60 ","1.6","Q2","2.3","0.9"," 31/60 ","Q2","49.17","0.005","1.011","0.241","89.2","Q4",
"CHINESE PHYSICS LETTERS","CHINESE PHYS LETT","0256-307X","1741-3540","PHYSICS, MULTIDISCIPLINARY","SCIE","6,785","3.5","Q1","0.92"," 25/110 ","2.1","Q2","3.1","1"," 23/110 ","Q1","79.55","0.006","1.263","0.55","77.7","Q2",
"BRAIN PATHOLOGY","BRAIN PATHOL","1015-6305","1750-3639","CLINICAL NEUROLOGY","SCIE","6,493","5.8","Q1","1.8"," 25/277 ","6","Q1","5.7","0.7"," 20/278 ","Q1","92.99","0.006","1.237","1.845","91.2","Q1",
"BRAIN PATHOLOGY","BRAIN PATHOL","1015-6305","1750-3639","NEUROSCIENCES","SCIE","6,493","5.8","Q1","1.8"," 39/310 ","6","Q1","5.7","0.7"," 27/310 ","Q1","91.45","0.006","1.237","1.845","87.6","Q1",
"BRAIN PATHOLOGY","BRAIN PATHOL","1015-6305","1750-3639","PATHOLOGY","SCIE","6,493","5.8","Q1","1.8"," 7/88 ","6","Q1","5.7","0.7"," 7/88 ","Q1","92.61","0.006","1.237","1.845","92.6","Q1",
"INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE","INT J TUBERC LUNG D","1027-3719","1815-7920","INFECTIOUS DISEASES","SCIE","6,424","3.4","Q2","0.57"," 47/132 ","2.6","Q3","2.9","1.6"," 69/132 ","Q3","48.11","0.006","1.254","0.933","64.8","Q2",
"INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE","INT J TUBERC LUNG D","1027-3719","1815-7920","RESPIRATORY SYSTEM","SCIE","6,424","3.4","Q2","0.57"," 31/100 ","2.6","Q3","2.9","1.6"," 53/101 ","Q3","48.02","0.006","1.254","0.933","69.5","Q2",
"JOURNAL OF REINFORCED PLASTICS AND COMPOSITES","J REINF PLAST COMP","0731-6844","1530-7964","MATERIALS SCIENCE, COMPOSITES","SCIE","5,767","2.3","Q3","0.39"," 19/35 ","3.2","Q2","2.1","0.4"," 20/35 ","Q3","44.29","0.002","0.387","0.489","47.1","Q2",
"JOURNAL OF REINFORCED PLASTICS AND COMPOSITES","J REINF PLAST COMP","0731-6844","1530-7964","POLYMER SCIENCE","SCIE","5,767","2.3","Q3","0.39"," 53/94 ","3.2","Q2","2.1","0.4"," 60/94 ","Q3","36.70","0.002","0.387","0.489","44.1","Q2",
"Ticks and Tick-Borne Diseases","TICKS TICK-BORNE DIS","1877-959X","1877-9603","INFECTIOUS DISEASES","SCIE","5,510","3.1","Q2","0.82"," 52/132 ","3.1","Q2","2.8","0.8"," 42/132 ","Q2","68.56","0.006","1.342","0.72","61.0","Q3",
"Ticks and Tick-Borne Diseases","TICKS TICK-BORNE DIS","1877-959X","1877-9603","MICROBIOLOGY","SCIE","5,510","3.1","Q2","0.82"," 78/161 ","3.1","Q3","2.8","0.8"," 63/161 ","Q2","61.18","0.006","1.342","0.72","51.9","Q3",
"Ticks and Tick-Borne Diseases","TICKS TICK-BORNE DIS","1877-959X","1877-9603","PARASITOLOGY","SCIE","5,510","3.1","Q1","0.82"," 10/45 ","3.1","Q1","2.8","0.8"," 14/45 ","Q2","70.00","0.006","1.342","0.72","78.9","Q2",
"ARCHIVES OF CLINICAL NEUROPSYCHOLOGY","ARCH CLIN NEUROPSYCH","0887-6177","1873-5843","PSYCHOLOGY","SCIE","5,446","2.1","Q2","0.83"," 41/92 ","2.6","Q2","1.9","0.3"," 31/92 ","Q2","66.85","0.004","0.781","0.789","56.0","Q2",
"ARCHIVES OF CLINICAL NEUROPSYCHOLOGY","ARCH CLIN NEUROPSYCH","0887-6177","1873-5843","PSYCHOLOGY, CLINICAL","SSCI","5,446","2.1","Q2","0.83"," 80/180 ","2.6","Q2","1.9","0.3"," 71/180 ","Q2","60.83","0.004","0.781","0.789","55.8","Q2",
"LIPIDS","LIPIDS","0024-4201","1558-9307","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","5,442","1.8","Q4","0.34"," 259/313 ","1.6","Q4","1.7","0.4"," 276/313 ","Q4","11.98","0.001","0.177","0.337","17.4","Q4",
"LIPIDS","LIPIDS","0024-4201","1558-9307","NUTRITION & DIETETICS","SCIE","5,442","1.8","Q3","0.34"," 84/114 ","1.6","Q4","1.7","0.4"," 87/114 ","Q4","24.12","0.001","0.177","0.337","26.8","Q4",
"JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA","J ELECTRON SPECTROSC","0368-2048","1873-2526","SPECTROSCOPY","SCIE","5,373","1.8","Q2","0.74"," 22/44 ","1.7","Q3","1.7","0.6"," 16/44 ","Q2","64.77","0.001","0.29","0.427","51.1","Q2",
"Journal of Diabetes Investigation","J DIABETES INVEST","2040-1116","2040-1124","ENDOCRINOLOGY & METABOLISM","SCIE","5,255","3.1","Q2","0.69"," 85/186 ","3.4","Q2","2.8","0.5"," 99/186 ","Q3","47.04","0.007","1.519","0.828","54.6","Q3",
"INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW","INT J NUMER METHOD H","0961-5539","1758-6585","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","5,174","4","Q1","1.23"," 12/135 ","3.3","Q1","3.4","1.3"," 18/135 ","Q1","87.04","0.004","0.824","0.436","91.5","Q3",
"INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW","INT J NUMER METHOD H","0961-5539","1758-6585","MECHANICS","SCIE","5,174","4","Q1","1.23"," 30/170 ","3.3","Q1","3.4","1.3"," 22/170 ","Q1","87.35","0.004","0.824","0.436","82.6","Q3",
"INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW","INT J NUMER METHOD H","0961-5539","1758-6585","THERMODYNAMICS","SCIE","5,174","4","Q1","1.23"," 18/76 ","3.3","Q2","3.4","1.3"," 10/76 ","Q1","87.50","0.004","0.824","0.436","77.0","Q2",
"OCULAR IMMUNOLOGY AND INFLAMMATION","OCUL IMMUNOL INFLAMM","0927-3948","1744-5078","OPHTHALMOLOGY","SCIE","5,013","2.6","Q2","0.94"," 26/95 ","2.8","Q2","2.1","0.6"," 34/95 ","Q2","64.74","0.007","1.44","0.709","73.2","Q2",
"HEPATOLOGY RESEARCH","HEPATOL RES","1386-6346","1872-034X","GASTROENTEROLOGY & HEPATOLOGY","SCIE","4,988","3.9","Q1","0.99"," 34/143 ","3.3","Q2","3.4","0.8"," 31/143 ","Q1","78.67","0.004","0.982","0.873","76.6","Q2",
"Journal of Pediatric Urology","J PEDIATR UROL","1477-5131","1873-4898","PEDIATRICS","SCIE","4,955","2","Q2","0.7"," 68/186 ","2","Q2","1.7","0.7"," 82/186 ","Q2","56.18","0.005","1.101","0.509","63.7","Q3",
"Journal of Pediatric Urology","J PEDIATR UROL","1477-5131","1873-4898","UROLOGY & NEPHROLOGY","SCIE","4,955","2","Q2","0.7"," 61/126 ","2","Q3","1.7","0.7"," 58/126 ","Q2","54.37","0.005","1.101","0.509","52.0","Q3",
"HEART FAILURE REVIEWS","HEART FAIL REV","1382-4147","1573-7322","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","4,806","4.5","Q1","1.07"," 44/220 ","4.5","Q1","4.4","0.6"," 47/220 ","Q1","78.86","0.006","1.323","1.21","80.2","Q1",
"STATISTICS & PROBABILITY LETTERS","STAT PROBABIL LETT","0167-7152","1879-2103","STATISTICS & PROBABILITY","SCIE","4,710","0.9","Q3","0.41"," 102/168 ","0.8","Q4","0.9","0.1"," 117/168 ","Q3","30.65","0.005","1.014","0.445","39.6","Q3",
"BEST PRACTICE & RESEARCH IN CLINICAL RHEUMATOLOGY","BEST PRACT RES CL RH","1521-6942","1521-1770","RHEUMATOLOGY","SCIE","4,615","4.5","Q1","1.06"," 11/57 ","5.5","Q1","4.4","0.5"," 12/57 ","Q1","79.82","0.003","0.757","1.583","81.6","Q1",
"JOURNAL OF DERMATOLOGICAL TREATMENT","J DERMATOL TREAT","0954-6634","1471-1753","DERMATOLOGY","SCIE","4,554","2.9","Q2","1.03"," 30/94 ","2.8","Q2","2.8","1"," 22/94 ","Q1","77.13","0.007","1.426","0.776","68.6","Q2",
"Stem Cell Reviews and Reports","STEM CELL REV REP","2629-3269","2629-3277","CELL & TISSUE ENGINEERING","SCIE","4,546","4.5","Q2","0.99"," 10/31 ","4.7","Q2","4.3","0.6"," 10/31 ","Q2","69.35","0.005","1.095","0.946","69.4","Q2",
"Stem Cell Reviews and Reports","STEM CELL REV REP","2629-3269","2629-3277","CELL BIOLOGY","SCIE","4,546","4.5","Q2","0.99"," 72/205 ","4.7","Q2","4.3","0.6"," 63/205 ","Q2","69.51","0.005","1.095","0.946","65.1","Q3",
"Stem Cell Reviews and Reports","STEM CELL REV REP","2629-3269","2629-3277","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","4,546","4.5","Q2","0.99"," 52/189 ","4.7","Q2","4.3","0.6"," 49/189 ","Q2","74.34","0.005","1.095","0.946","72.8","Q2",
"AVIAN DISEASES","AVIAN DIS","0005-2086","1938-4351","VETERINARY SCIENCES","SCIE","4,505","1.3","Q2","0.58"," 78/167 ","1.5","Q2","1.1","0.4"," 89/168 ","Q3","47.32","0.001","0.191","0.28","53.6","Q3",
"JOURNAL OF AGRONOMY AND CROP SCIENCE","J AGRON CROP SCI","0931-2250","1439-037X","AGRONOMY","SCIE","4,423","3.7","Q1","1.13"," 17/125 ","4","Q1","3.4","0.7"," 14/125 ","Q1","89.20","0.002","0.39","0.63","86.8","Q1",
"EXPERIMENTAL AND APPLIED ACAROLOGY","EXP APPL ACAROL","0168-8162","1572-9702","ENTOMOLOGY","SCIE","4,359","1.8","Q2","0.92"," 32/109 ","2","Q2","1.5","0.4"," 26/109 ","Q1","76.61","0.002","0.454","0.467","71.1","Q2",
"MYCOPATHOLOGIA","MYCOPATHOLOGIA","0301-486X","1573-0832","MYCOLOGY","SCIE","4,333","3.6","Q2","0.89"," 10/33 ","3.2","Q2","3.4","0.7"," 13/33 ","Q2","62.12","0.003","0.645","0.826","71.2","Q2",
"International Journal of Ophthalmology","INT J OPHTHALMOL-CHI","2222-3959","2227-4898","OPHTHALMOLOGY","SCIE","4,294","1.9","Q2","0.64"," 44/95 ","1.8","Q3","1.4","0.3"," 54/95 ","Q3","43.68","0.005","1.063","0.433","54.2","Q3",
"HEAT TRANSFER ENGINEERING","HEAT TRANSFER ENG","0145-7632","1521-0537","ENGINEERING, MECHANICAL","SCIE","4,251","1.6","Q3","0.45"," 109/180 ","1.9","Q3","1.2","0.3"," 104/180 ","Q2","42.50","0.002","0.383","0.273","39.7","Q3",
"HEAT TRANSFER ENGINEERING","HEAT TRANSFER ENG","0145-7632","1521-0537","MECHANICS","SCIE","4,251","1.6","Q3","0.45"," 114/170 ","1.9","Q3","1.2","0.3"," 111/170 ","Q2","35.00","0.002","0.383","0.273","33.2","Q3",
