"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"JOURNAL OF DAIRY SCIENCE","J DAIRY SCI","0022-0302","1525-3198","AGRICULTURE, DAIRY & ANIMAL SCIENCE","SCIE","66,785","3.7","Q1","1.23"," 7/80 ","4.1","Q1","3","0.9"," 9/80 ","Q1","89.38","0.025","5.364","0.615","91.9","Q1",
"JOURNAL OF DAIRY SCIENCE","J DAIRY SCI","0022-0302","1525-3198","FOOD SCIENCE & TECHNOLOGY","SCIE","66,785","3.7","Q2","1.23"," 57/173 ","4.1","Q2","3","0.9"," 26/173 ","Q1","85.26","0.025","5.364","0.615","67.3","Q2",
"BIOMEDICINE & PHARMACOTHERAPY","BIOMED PHARMACOTHER","0753-3322","1950-6007","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","66,180","6.9","Q1","1.57"," 21/189 ","6.8","Q1","6.6","1.3"," 18/189 ","Q1","90.74","0.072","15.621","1.139","89.2","Q2",
"BIOMEDICINE & PHARMACOTHERAPY","BIOMED PHARMACOTHER","0753-3322","1950-6007","PHARMACOLOGY & PHARMACY","SCIE","66,180","6.9","Q1","1.57"," 15/354 ","6.8","Q1","6.6","1.3"," 25/354 ","Q1","93.08","0.072","15.621","1.139","95.9","Q1",
"Cell Metabolism","CELL METAB","1550-4131","1932-7420","CELL BIOLOGY","SCIE","58,139","27.7","Q1","5.43"," 7/205 ","31.2","Q1","27.3","6.2"," 5/205 ","Q1","97.80","0.073","15.939","11.608","96.8","Q1",
"Cell Metabolism","CELL METAB","1550-4131","1932-7420","ENDOCRINOLOGY & METABOLISM","SCIE","58,139","27.7","Q1","5.43"," 3/186 ","31.2","Q1","27.3","6.2"," 2/186 ","Q1","99.19","0.073","15.939","11.608","98.7","Q1",
"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PHILOS T R SOC B","0962-8436","1471-2970","BIOLOGY","SCIE","53,916","5.4","Q1","1.45"," 12/109 ","6.3","Q1","5.2","2.8"," 11/109 ","Q1","90.37","0.039","8.439","2.461","89.4","Q1",
"NATURE REVIEWS MICROBIOLOGY","NAT REV MICROBIOL","1740-1526","1740-1534","MICROBIOLOGY","SCIE","53,193","69.2","Q1","7.64"," 1/161 ","81.3","Q1","68.8","27.1"," 1/161 ","Q1","99.69","0.055","12.089","24.092","99.7","Q1",
"NEW JOURNAL OF CHEMISTRY","NEW J CHEM","1144-0546","1369-9261","CHEMISTRY, MULTIDISCIPLINARY","SCIE","48,262","2.7","Q2","0.53"," 110/230 ","2.8","Q2","2.6","0.7"," 107/231 ","Q2","53.90","0.038","8.36","0.403","52.4","Q3",
"Pharmaceutics","PHARMACEUTICS","N/A","1999-4923","PHARMACOLOGY & PHARMACY","SCIE","45,421","4.9","Q1","1.3"," 45/354 ","5.5","Q1","4.3","1.6"," 42/354 ","Q1","88.28","0.047","10.34","0.797","87.4","Q2",
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","42,910","6.2","Q1","1.62"," 44/313 ","8.4","Q1","6.1","1.1"," 25/313 ","Q1","92.17","0.033","7.209","4.721","86.1","Q1",
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","42,910","6.2","Q1","1.62"," 22/174 ","8.4","Q1","6.1","1.1"," 12/174 ","Q1","93.39","0.033","7.209","4.721","87.6","Q1",
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","GENETICS & HEREDITY","SCIE","42,910","6.2","Q1","1.62"," 23/191 ","8.4","Q1","6.1","1.1"," 16/191 ","Q1","91.88","0.033","7.209","4.721","88.2","Q1",
"Journal of Applied Physiology","J APPL PHYSIOL","8750-7587","1522-1601","PHYSIOLOGY","SCIE","41,585","3.3","Q1","1.27"," 21/85 ","3.5","Q2","3.1","1.2"," 12/85 ","Q1","86.47","0.014","3.094","1.056","75.9","Q1",
"Journal of Applied Physiology","J APPL PHYSIOL","8750-7587","1522-1601","SPORT SCIENCES","SCIE","41,585","3.3","Q1","1.27"," 19/127 ","3.5","Q1","3.1","1.2"," 17/127 ","Q1","87.01","0.014","3.094","1.056","85.4","Q1",
"Advanced Optical Materials","ADV OPT MATER","2195-1071","2195-1071","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","38,352","8","Q1","1.75"," 75/438 ","9","Q1","7.3","1.5"," 46/438 ","Q1","89.61","0.053","11.626","1.934","83.0","Q1",
"Advanced Optical Materials","ADV OPT MATER","2195-1071","2195-1071","OPTICS","SCIE","38,352","8","Q1","1.75"," 10/119 ","9","Q1","7.3","1.5"," 12/120 ","Q1","90.42","0.053","11.626","1.934","92.0","Q1",
"EARTH-SCIENCE REVIEWS","EARTH-SCI REV","0012-8252","1872-6828","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","36,702","10.8","Q1","1.93"," 5/253 ","13","Q1","10.3","1.8"," 7/253 ","Q1","97.43","0.045","9.754","3.986","98.2","Q1",
"THIN-WALLED STRUCTURES","THIN WALL STRUCT","0263-8231","1879-3223","ENGINEERING, CIVIL","SCIE","30,553","5.7","Q1","1.48"," 16/181 ","5.6","Q1","4.8","1.3"," 7/181 ","Q1","96.41","0.028","6.021","0.943","91.4","Q1",
"THIN-WALLED STRUCTURES","THIN WALL STRUCT","0263-8231","1879-3223","ENGINEERING, MECHANICAL","SCIE","30,553","5.7","Q1","1.48"," 14/180 ","5.6","Q1","4.8","1.3"," 10/180 ","Q1","94.72","0.028","6.021","0.943","92.5","Q1",
"THIN-WALLED STRUCTURES","THIN WALL STRUCT","0263-8231","1879-3223","MECHANICS","SCIE","30,553","5.7","Q1","1.48"," 13/170 ","5.6","Q1","4.8","1.3"," 11/170 ","Q1","93.82","0.028","6.021","0.943","92.6","Q1",
"Marine Drugs","MAR DRUGS","N/A","1660-3397","CHEMISTRY, MEDICINAL","SCIE","28,315","4.9","Q1","1.27"," 13/72 ","5.2","Q1","4.2","1.3"," 11/72 ","Q1","85.42","0.02","4.422","0.73","82.6","Q2",
"Marine Drugs","MAR DRUGS","N/A","1660-3397","PHARMACOLOGY & PHARMACY","SCIE","28,315","4.9","Q1","1.27"," 45/354 ","5.2","Q1","4.2","1.3"," 46/354 ","Q1","87.15","0.02","4.422","0.73","87.4","Q2",
"SENSORS AND ACTUATORS A-PHYSICAL","SENSOR ACTUAT A-PHYS","0924-4247","1873-3069","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","27,110","4.1","Q2","1.03"," 94/352 ","4","Q2","3.8","0.8"," 98/354 ","Q1","72.46","0.019","4.094","0.703","73.4","Q2",
"SENSORS AND ACTUATORS A-PHYSICAL","SENSOR ACTUAT A-PHYS","0924-4247","1873-3069","INSTRUMENTS & INSTRUMENTATION","SCIE","27,110","4.1","Q1","1.03"," 16/76 ","4","Q1","3.8","0.8"," 14/76 ","Q1","82.24","0.019","4.094","0.703","79.6","Q1",
"OPTICAL MATERIALS","OPT MATER","0925-3467","1873-1252","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","27,060","3.8","Q2","1.01"," 172/438 ","3.5","Q2","3.5","1"," 111/438 ","Q2","74.77","0.02","4.351","0.478","60.8","Q3",
"OPTICAL MATERIALS","OPT MATER","0925-3467","1873-1252","OPTICS","SCIE","27,060","3.8","Q1","1.01"," 29/119 ","3.5","Q1","3.5","1"," 32/120 ","Q2","73.75","0.02","4.351","0.478","76.1","Q2",
"INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY","INT J SYST EVOL MICR","1466-5026","1466-5034","MICROBIOLOGY","SCIE","25,939","2","Q4","0.52"," 125/161 ","2.4","Q3","1.5","0.4"," 106/161 ","Q3","34.47","0.011","2.395","0.447","22.7","Q4",
"Methods in Ecology and Evolution","METHODS ECOL EVOL","2041-210X","2041-2096","ECOLOGY","SCIE","24,981","6.3","Q1","1.7"," 12/195 ","8.9","Q1","6","1.2"," 13/195 ","Q1","93.59","0.026","5.617","2.948","94.1","Q1",
"FEBS Journal","FEBS J","1742-464X","1742-4658","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","24,487","5.5","Q1","0.8"," 58/313 ","5.5","Q1","5.4","0.8"," 107/313 ","Q2","65.97","0.025","5.42","1.602","81.6","Q1",
"ATHEROSCLEROSIS","ATHEROSCLEROSIS","0021-9150","1879-1484","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","24,255","4.9","Q1","1.21"," 40/220 ","5.3","Q1","4.7","1.6"," 44/220 ","Q1","80.23","0.018","3.934","1.519","82.0","Q1",
"ATHEROSCLEROSIS","ATHEROSCLEROSIS","0021-9150","1879-1484","PERIPHERAL VASCULAR DISEASE","SCIE","24,255","4.9","Q1","1.21"," 14/96 ","5.3","Q1","4.7","1.6"," 15/96 ","Q1","84.90","0.018","3.934","1.519","85.9","Q1",
"ROCK MECHANICS AND ROCK ENGINEERING","ROCK MECH ROCK ENG","0723-2632","1434-453X","ENGINEERING, GEOLOGICAL","SCIE","24,075","5.5","Q1","1.58"," 7/63 ","6.6","Q1","4.8","1.1"," 5/63 ","Q1","92.86","0.02","4.399","1.341","89.7","Q1",
"ROCK MECHANICS AND ROCK ENGINEERING","ROCK MECH ROCK ENG","0723-2632","1434-453X","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","24,075","5.5","Q1","1.58"," 23/253 ","6.6","Q1","4.8","1.1"," 16/253 ","Q1","93.87","0.02","4.399","1.341","91.1","Q1",
"ALIMENTARY PHARMACOLOGY & THERAPEUTICS","ALIMENT PHARM THER","0269-2813","1365-2036","GASTROENTEROLOGY & HEPATOLOGY","SCIE","23,934","6.6","Q1","1.75"," 18/143 ","7.4","Q1","6","2.8"," 15/143 ","Q1","89.86","0.025","5.544","2.713","87.8","Q1",
"ALIMENTARY PHARMACOLOGY & THERAPEUTICS","ALIMENT PHARM THER","0269-2813","1365-2036","PHARMACOLOGY & PHARMACY","SCIE","23,934","6.6","Q1","1.75"," 20/354 ","7.4","Q1","6","2.8"," 18/354 ","Q1","95.06","0.025","5.544","2.713","94.5","Q1",
"CLINICAL CHEMISTRY","CLIN CHEM","0009-9147","1530-8561","MEDICAL LABORATORY TECHNOLOGY","SCIE","23,544","7.1","Q1","2.82"," 1/30 ","7.4","Q1","6.9","1.4"," 1/30 ","Q1","98.33","0.012","2.603","2.375","98.3","Q1",
"Journal of Environmental Sciences","J ENVIRON SCI","1001-0742","1878-7320","ENVIRONMENTAL SCIENCES","SCIE","21,394","5.9","Q1","1.37"," 62/358 ","5.6","Q1","5.8","1.7"," 43/359 ","Q1","88.16","0.017","3.713","0.998","82.8","Q2",
"BMC Pregnancy and Childbirth","BMC PREGNANCY CHILDB","N/A","1471-2393","OBSTETRICS & GYNECOLOGY","SCIE","20,752","2.8","Q1","1.14"," 33/136 ","3.4","Q1","2.6","0.4"," 24/136 ","Q1","82.72","0.028","6.132","0.943","76.1","Q2",
"DIABETES RESEARCH AND CLINICAL PRACTICE","DIABETES RES CLIN PR","0168-8227","1872-8227","ENDOCRINOLOGY & METABOLISM","SCIE","20,236","6.1","Q1","1.57"," 21/186 ","5.9","Q1","5.9","0.8"," 17/186 ","Q1","91.13","0.025","5.423","1.582","89.0","Q1",
"NEUROBIOLOGY OF DISEASE","NEUROBIOL DIS","0969-9961","1095-953X","NEUROSCIENCES","SCIE","20,131","5.1","Q1","1.43"," 48/310 ","5.6","Q1","4.9","1.1"," 38/310 ","Q1","87.90","0.019","4.171","1.636","84.7","Q1",
"Translational Psychiatry","TRANSL PSYCHIAT","2158-3188","2158-3188","PSYCHIATRY","SCIE","20,112","5.8","Q1","1.57"," 25/276 ","6.3","Q1","5.6","1.1"," 24/276 ","Q1","91.49","0.036","7.849","2.044","91.1","Q1",
"AIP Advances","AIP ADV","N/A","2158-3226","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","19,581","1.4","Q4","0.26"," 349/438 ","1.4","Q4","1.3","0.4"," 352/438 ","Q4","19.75","0.019","4.17","0.302","20.4","Q3",
"AIP Advances","AIP ADV","N/A","2158-3226","NANOSCIENCE & NANOTECHNOLOGY","SCIE","19,581","1.4","Q4","0.26"," 118/140 ","1.4","Q4","1.3","0.4"," 116/140 ","Q4","17.50","0.019","4.17","0.302","16.1","Q4",
"AIP Advances","AIP ADV","N/A","2158-3226","PHYSICS, APPLIED","SCIE","19,581","1.4","Q4","0.26"," 138/179 ","1.4","Q4","1.3","0.4"," 150/179 ","Q4","16.48","0.019","4.17","0.302","23.2","Q3",
"Journal of Adolescent Health","J ADOLESCENT HEALTH","1054-139X","1879-1972","PEDIATRICS","SCIE","19,484","5.5","Q1","2.2"," 8/186 ","6.1","Q1","5.1","1.2"," 5/186 ","Q1","97.58","0.021","4.553","2.049","96.0","Q1",
"Journal of Adolescent Health","J ADOLESCENT HEALTH","1054-139X","1879-1972","PSYCHOLOGY, DEVELOPMENTAL","SSCI","19,484","5.5","Q1","2.2"," 7/91 ","6.1","Q1","5.1","1.2"," 4/91 ","Q1","96.15","0.021","4.553","2.049","92.9","Q1",
"Journal of Adolescent Health","J ADOLESCENT HEALTH","1054-139X","1879-1972","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","19,484","5.5","Q1","2.2"," 30/403 ","6.1","Q1","5.1","1.2"," 16/403 ","Q1","96.15","0.021","4.553","2.049","92.7","Q1",
"PSYCHONEUROENDOCRINOLOGY","PSYCHONEUROENDOCRINO","0306-4530","1873-3360","ENDOCRINOLOGY & METABOLISM","SCIE","19,127","3.4","Q2","0.91"," 72/186 ","4","Q2","3.2","0.6"," 55/186 ","Q2","70.70","0.015","3.347","1.224","61.6","Q2",
"PSYCHONEUROENDOCRINOLOGY","PSYCHONEUROENDOCRINO","0306-4530","1873-3360","NEUROSCIENCES","SCIE","19,127","3.4","Q2","0.91"," 116/310 ","4","Q2","3.2","0.6"," 111/310 ","Q2","64.35","0.015","3.347","1.224","62.7","Q2",
"PSYCHONEUROENDOCRINOLOGY","PSYCHONEUROENDOCRINO","0306-4530","1873-3360","PSYCHIATRY","SCIE","19,127","3.4","Q2","0.91"," 79/276 ","4","Q2","3.2","0.6"," 87/276 ","Q2","68.66","0.015","3.347","1.224","71.6","Q2",
"OSTEOPOROSIS INTERNATIONAL","OSTEOPOROSIS INT","0937-941X","1433-2965","ENDOCRINOLOGY & METABOLISM","SCIE","19,068","4.2","Q1","0.92"," 40/186 ","4.3","Q2","3.9","0.8"," 53/186 ","Q2","71.77","0.013","2.905","1.262","78.8","Q1",
"JOURNAL OF LEUKOCYTE BIOLOGY","J LEUKOCYTE BIOL","0741-5400","1938-3673","CELL BIOLOGY","SCIE","18,677","3.6","Q3","0.73"," 105/205 ","5.2","Q2","3.6","0.8"," 91/205 ","Q2","55.85","0.012","2.572","1.392","49.0","Q2",
"JOURNAL OF LEUKOCYTE BIOLOGY","J LEUKOCYTE BIOL","0741-5400","1938-3673","HEMATOLOGY","SCIE","18,677","3.6","Q2","0.73"," 25/97 ","5.2","Q1","3.6","0.8"," 34/97 ","Q2","65.46","0.012","2.572","1.392","74.7","Q1",
"JOURNAL OF LEUKOCYTE BIOLOGY","J LEUKOCYTE BIOL","0741-5400","1938-3673","IMMUNOLOGY","SCIE","18,677","3.6","Q2","0.73"," 86/181 ","5.2","Q2","3.6","0.8"," 78/181 ","Q2","57.18","0.012","2.572","1.392","52.8","Q2",
"ORE GEOLOGY REVIEWS","ORE GEOL REV","0169-1368","1872-7360","GEOLOGY","SCIE","18,630","3.2","Q1","1.24"," 3/60 ","3.6","Q1","2.4","0.7"," 7/60 ","Q1","89.17","0.015","3.346","0.744","95.8","Q1",
"ORE GEOLOGY REVIEWS","ORE GEOL REV","0169-1368","1872-7360","MINERALOGY","SCIE","18,630","3.2","Q1","1.24"," 6/30 ","3.6","Q1","2.4","0.7"," 4/30 ","Q1","88.33","0.015","3.346","0.744","81.7","Q2",
"ORE GEOLOGY REVIEWS","ORE GEOL REV","0169-1368","1872-7360","MINING & MINERAL PROCESSING","SCIE","18,630","3.2","Q1","1.24"," 7/31 ","3.6","Q1","2.4","0.7"," 5/31 ","Q1","85.48","0.015","3.346","0.744","79.0","Q1",
"FUZZY SETS AND SYSTEMS","FUZZY SET SYST","0165-0114","1872-6801","COMPUTER SCIENCE, THEORY & METHODS","SCIE","17,604","3.2","Q2","1.78"," 38/143 ","3.1","Q2","2.5","0.7"," 11/143 ","Q1","92.66","0.006","1.304","0.643","73.8","Q2",
"FUZZY SETS AND SYSTEMS","FUZZY SET SYST","0165-0114","1872-6801","MATHEMATICS, APPLIED","SCIE","17,604","3.2","Q1","1.78"," 14/331 ","3.1","Q1","2.5","0.7"," 15/331 ","Q1","95.62","0.006","1.304","0.643","95.9","Q2",
"FUZZY SETS AND SYSTEMS","FUZZY SET SYST","0165-0114","1872-6801","STATISTICS & PROBABILITY","SCIE","17,604","3.2","Q1","1.78"," 12/168 ","3.1","Q1","2.5","0.7"," 8/168 ","Q1","95.54","0.006","1.304","0.643","93.2","Q2",
"EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY","EUR J APPL PHYSIOL","1439-6319","1439-6327","PHYSIOLOGY","SCIE","17,570","2.8","Q2","0.95"," 30/85 ","3","Q2","2.5","0.5"," 28/85 ","Q2","67.65","0.009","1.948","0.871","65.3","Q2",
"EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY","EUR J APPL PHYSIOL","1439-6319","1439-6327","SPORT SCIENCES","SCIE","17,570","2.8","Q1","0.95"," 26/127 ","3","Q2","2.5","0.5"," 40/127 ","Q2","68.90","0.009","1.948","0.871","79.9","Q2",
"TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW","TRANSPORT RES E-LOG","1366-5545","1878-5794","ECONOMICS","SSCI","17,564","8.3","Q1","2.2"," 9/597 ","9.2","Q1","7","1.6"," 24/600 ","Q1","96.08","0.019","4.138","1.937","98.6","Q1",
"TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW","TRANSPORT RES E-LOG","1366-5545","1878-5794","ENGINEERING, CIVIL","SCIE","17,564","8.3","Q1","2.2"," 3/181 ","9.2","Q1","7","1.6"," 1/181 ","Q1","99.72","0.019","4.138","1.937","98.6","Q1",
"TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW","TRANSPORT RES E-LOG","1366-5545","1878-5794","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","17,564","8.3","Q1","2.2"," 5/106 ","9.2","Q1","7","1.6"," 3/106 ","Q1","97.64","0.019","4.138","1.937","95.8","Q1",
"TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW","TRANSPORT RES E-LOG","1366-5545","1878-5794","TRANSPORTATION","SSCI","17,564","8.3","Q1","2.2"," 4/57 ","9.2","Q1","7","1.6"," 3/57 ","Q1","95.61","0.019","4.138","1.937","93.9","Q1",
"TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW","TRANSPORT RES E-LOG","1366-5545","1878-5794","TRANSPORTATION SCIENCE & TECHNOLOGY","SCIE","17,564","8.3","Q1","2.2"," 5/72 ","9.2","Q1","7","1.6"," 4/72 ","Q1","95.14","0.019","4.138","1.937","93.8","Q1",
"CURRENT OPINION IN PLANT BIOLOGY","CURR OPIN PLANT BIOL","1369-5266","1879-0356","PLANT SCIENCES","SCIE","17,340","8.3","Q1","1"," 11/265 ","8.6","Q1","8","1.6"," 52/265 ","Q1","80.57","0.011","2.393","2.442","96.0","Q1",
"INTERNATIONAL JOURNAL OF ONCOLOGY","INT J ONCOL","1019-6439","1791-2423","ONCOLOGY","SCIE","17,217","4.5","Q1","0.97"," 78/322 ","4.6","Q2","4.5","1"," 82/322 ","Q2","74.69","0.009","1.991","0.916","75.9","Q2",
"BIOLOGICAL TRACE ELEMENT RESEARCH","BIOL TRACE ELEM RES","0163-4984","1559-0720","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","17,010","3.4","Q2","0.81"," 138/313 ","3.7","Q2","3.1","0.7"," 104/313 ","Q2","66.93","0.011","2.439","0.558","56.1","Q3",
"BIOLOGICAL TRACE ELEMENT RESEARCH","BIOL TRACE ELEM RES","0163-4984","1559-0720","ENDOCRINOLOGY & METABOLISM","SCIE","17,010","3.4","Q2","0.81"," 72/186 ","3.7","Q2","3.1","0.7"," 71/186 ","Q2","62.10","0.011","2.439","0.558","61.6","Q3",
"AMERICAN JOURNAL OF BOTANY","AM J BOT","0002-9122","1537-2197","PLANT SCIENCES","SCIE","16,852","2.4","Q2","0.76"," 96/265 ","3.2","Q2","2.2","1"," 86/265 ","Q2","67.74","0.006","1.33","0.979","64.0","Q1",
"MEDICAL SCIENCE MONITOR","MED SCI MONITOR","N/A","1643-3750","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","16,723","2.2","Q3","0.59"," 113/189 ","2.5","Q3","2.1","0.4"," 102/189 ","Q3","46.30","0.017","3.68","0.51","40.5","Q3",
"Advanced Electronic Materials","ADV ELECTRON MATER","2199-160X","2199-160X","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","15,877","5.3","Q2","0.9"," 122/438 ","6.6","Q1","5.2","1.2"," 126/438 ","Q2","71.35","0.023","4.923","1.475","72.3","Q1",
"Advanced Electronic Materials","ADV ELECTRON MATER","2199-160X","2199-160X","NANOSCIENCE & NANOTECHNOLOGY","SCIE","15,877","5.3","Q2","0.9"," 46/140 ","6.6","Q2","5.2","1.2"," 46/140 ","Q2","67.50","0.023","4.923","1.475","67.5","Q1",
"Advanced Electronic Materials","ADV ELECTRON MATER","2199-160X","2199-160X","PHYSICS, APPLIED","SCIE","15,877","5.3","Q1","0.9"," 42/179 ","6.6","Q1","5.2","1.2"," 48/179 ","Q2","73.46","0.023","4.923","1.475","76.8","Q1",
"THYROID","THYROID","1050-7256","1557-9077","ENDOCRINOLOGY & METABOLISM","SCIE","15,751","5.8","Q1","1.55"," 24/186 ","7.2","Q1","5.4","1.7"," 19/186 ","Q1","90.05","0.013","2.808","2.138","87.4","Q1",
"PHILOSOPHICAL MAGAZINE","PHILOS MAG","1478-6435","1478-6443","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","14,977","1.5","Q4","0.3"," 338/438 ","1.7","Q4","1.4","0.4"," 337/438 ","Q3","23.17","0.002","0.445","0.339","22.9","Q3",
"PHILOSOPHICAL MAGAZINE","PHILOS MAG","1478-6435","1478-6443","METALLURGY & METALLURGICAL ENGINEERING","SCIE","14,977","1.5","Q3","0.3"," 46/90 ","1.7","Q3","1.4","0.4"," 52/91 ","Q3","43.41","0.002","0.445","0.339","49.4","Q2",
"PHILOSOPHICAL MAGAZINE","PHILOS MAG","1478-6435","1478-6443","PHYSICS, APPLIED","SCIE","14,977","1.5","Q3","0.3"," 134/179 ","1.7","Q3","1.4","0.4"," 140/179 ","Q3","22.07","0.002","0.445","0.339","25.4","Q3",
"PHILOSOPHICAL MAGAZINE","PHILOS MAG","1478-6435","1478-6443","PHYSICS, CONDENSED MATTER","SCIE","14,977","1.5","Q3","0.3"," 58/79 ","1.7","Q3","1.4","0.4"," 59/79 ","Q3","25.95","0.002","0.445","0.339","27.2","Q3",
"EXPERIMENTAL THERMAL AND FLUID SCIENCE","EXP THERM FLUID SCI","0894-1777","1879-2286","ENGINEERING, MECHANICAL","SCIE","14,412","2.8","Q2","0.86"," 56/180 ","3.1","Q2","2.5","0.8"," 41/180 ","Q1","77.50","0.007","1.562","0.638","69.2","Q2",
"EXPERIMENTAL THERMAL AND FLUID SCIENCE","EXP THERM FLUID SCI","0894-1777","1879-2286","PHYSICS, FLUIDS & PLASMAS","SCIE","14,412","2.8","Q1","0.86"," 9/40 ","3.1","Q1","2.5","0.8"," 10/40 ","Q1","76.25","0.007","1.562","0.638","78.8","Q2",
