"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"IEEE-ASME TRANSACTIONS ON MECHATRONICS","IEEE-ASME T MECH","1083-4435","1941-014X","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","19,571","6.1","Q1","1.53"," 45/352 ","6.2","Q1","5.1","1"," 43/354 ","Q1","87.99","0.022","4.793","1.472","87.4","Q1",
"IEEE-ASME TRANSACTIONS ON MECHATRONICS","IEEE-ASME T MECH","1083-4435","1941-014X","ENGINEERING, MANUFACTURING","SCIE","19,571","6.1","Q1","1.53"," 12/68 ","6.2","Q1","5.1","1"," 8/68 ","Q1","88.97","0.022","4.793","1.472","83.1","Q1",
"IEEE-ASME TRANSACTIONS ON MECHATRONICS","IEEE-ASME T MECH","1083-4435","1941-014X","ENGINEERING, MECHANICAL","SCIE","19,571","6.1","Q1","1.53"," 9/180 ","6.2","Q1","5.1","1"," 9/180 ","Q1","95.28","0.022","4.793","1.472","95.3","Q1",
"Preventive Medicine","PREV MED","0091-7435","1096-0260","MEDICINE, GENERAL & INTERNAL","SCIE","18,889","4.3","Q1","1.2"," 38/325 ","4.2","Q1","4.2","0.4"," 43/329 ","Q1","87.08","0.023","4.92","1.604","88.5","Q1",
"Preventive Medicine","PREV MED","0091-7435","1096-0260","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","18,889","4.3","Q1","1.2"," 47/403 ","4.2","Q1","4.2","0.4"," 57/403 ","Q1","85.98","0.023","4.92","1.604","88.5","Q1",
"GLOBAL ECOLOGY AND BIOGEOGRAPHY","GLOBAL ECOL BIOGEOGR","1466-822X","1466-8238","ECOLOGY","SCIE","17,766","6.3","Q1","1.77"," 12/195 ","7.7","Q1","6.1","0.9"," 10/195 ","Q1","95.13","0.018","3.887","2.727","94.1","Q1",
"GLOBAL ECOLOGY AND BIOGEOGRAPHY","GLOBAL ECOL BIOGEOGR","1466-822X","1466-8238","GEOGRAPHY, PHYSICAL","SCIE","17,766","6.3","Q1","1.77"," 4/65 ","7.7","Q1","6.1","0.9"," 3/65 ","Q1","96.15","0.018","3.887","2.727","94.6","Q1",
"JOURNAL OF BIOGEOGRAPHY","J BIOGEOGR","0305-0270","1365-2699","ECOLOGY","SCIE","16,982","3.4","Q2","0.99"," 52/195 ","4.1","Q1","3.1","0.8"," 47/195 ","Q1","76.15","0.012","2.652","1.374","73.6","Q1",
"JOURNAL OF BIOGEOGRAPHY","J BIOGEOGR","0305-0270","1365-2699","GEOGRAPHY, PHYSICAL","SCIE","16,982","3.4","Q1","0.99"," 14/65 ","4.1","Q1","3.1","0.8"," 17/65 ","Q1","74.62","0.012","2.652","1.374","79.2","Q1",
"INTERNATIONAL JOURNAL OF REFRIGERATION","INT J REFRIG","0140-7007","1879-2081","ENGINEERING, MECHANICAL","SCIE","16,559","3.5","Q1","0.84"," 39/180 ","3.6","Q1","3","0.9"," 43/180 ","Q1","76.39","0.009","1.982","0.6","78.6","Q2",
"INTERNATIONAL JOURNAL OF REFRIGERATION","INT J REFRIG","0140-7007","1879-2081","THERMODYNAMICS","SCIE","16,559","3.5","Q1","0.84"," 19/76 ","3.6","Q1","3","0.9"," 19/76 ","Q1","75.66","0.009","1.982","0.6","75.7","Q2",
"TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA","T NONFERR METAL SOC","1003-6326","2210-3384","METALLURGY & METALLURGICAL ENGINEERING","SCIE","16,302","4.7","Q1","0.99"," 13/90 ","4.2","Q1","4","0.7"," 14/91 ","Q1","85.16","0.007","1.525","0.587","86.1","Q1",
"SIGNAL PROCESSING","SIGNAL PROCESS","0165-1684","1872-7557","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","15,976","3.4","Q2","0.93"," 122/352 ","3.8","Q2","3.1","0.7"," 112/354 ","Q2","68.50","0.016","3.44","0.953","65.5","Q2",
"MARINE BIOLOGY","MAR BIOL","0025-3162","1432-1793","MARINE & FRESHWATER BIOLOGY","SCIE","15,803","2.1","Q2","0.8"," 36/119 ","2.3","Q2","2","0.6"," 28/119 ","Q1","76.89","0.005","1.001","0.654","70.2","Q1",
"Biomedical Optics Express","BIOMED OPT EXPRESS","2156-7085","2156-7085","BIOCHEMICAL RESEARCH METHODS","SCIE","14,436","2.9","Q2","0.96"," 33/85 ","3.2","Q2","2.4","0.9"," 18/85 ","Q1","79.41","0.014","3.13","0.718","61.8","Q2",
"Biomedical Optics Express","BIOMED OPT EXPRESS","2156-7085","2156-7085","OPTICS","SCIE","14,436","2.9","Q2","0.96"," 41/119 ","3.2","Q2","2.4","0.9"," 34/120 ","Q1","72.08","0.014","3.13","0.718","66.0","Q2",
"Biomedical Optics Express","BIOMED OPT EXPRESS","2156-7085","2156-7085","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","14,436","2.9","Q2","0.96"," 60/204 ","3.2","Q2","2.4","0.9"," 47/204 ","Q1","77.21","0.014","3.13","0.718","70.8","Q2",
"FRESHWATER BIOLOGY","FRESHWATER BIOL","0046-5070","1365-2427","ECOLOGY","SCIE","13,915","2.8","Q2","0.84"," 64/195 ","3.5","Q2","2.6","0.8"," 67/195 ","Q1","65.90","0.006","1.286","0.906","67.4","Q2",
"FRESHWATER BIOLOGY","FRESHWATER BIOL","0046-5070","1365-2427","MARINE & FRESHWATER BIOLOGY","SCIE","13,915","2.8","Q1","0.84"," 14/119 ","3.5","Q1","2.6","0.8"," 23/119 ","Q1","81.09","0.006","1.286","0.906","88.7","Q1",
"EARTH SURFACE PROCESSES AND LANDFORMS","EARTH SURF PROC LAND","0197-9337","1096-9837","GEOGRAPHY, PHYSICAL","SCIE","13,868","2.8","Q2","0.85"," 22/65 ","3.4","Q2","2.3","0.5"," 24/65 ","Q2","63.85","0.009","1.867","0.933","66.9","Q2",
"EARTH SURFACE PROCESSES AND LANDFORMS","EARTH SURF PROC LAND","0197-9337","1096-9837","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","13,868","2.8","Q2","0.85"," 84/253 ","3.4","Q2","2.3","0.5"," 77/253 ","Q2","69.76","0.009","1.867","0.933","67.0","Q2",
"MOLECULAR AND CELLULAR BIOCHEMISTRY","MOL CELL BIOCHEM","0300-8177","1573-4919","CELL BIOLOGY","SCIE","13,784","3.5","Q3","0.56"," 110/205 ","3.3","Q3","3.5","0.8"," 128/205 ","Q3","37.80","0.008","1.702","0.637","46.6","Q3",
"Journal of Applied Meteorology and Climatology","J APPL METEOROL CLIM","1558-8424","1558-8432","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","13,467","2.6","Q3","0.62"," 62/110 ","3","Q3","2.4","0.5"," 63/110 ","Q3","43.18","0.005","1.095","0.955","44.1","Q2",
"JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES","J GERONTOL B-PSYCHOL","1079-5014","1758-5368","GERIATRICS & GERONTOLOGY","SCIE","13,292","4.8","Q1","1.79"," 14/74 ","4.7","Q2","4.5","0.6"," 4/74 ","Q1","95.27","0.016","3.459","1.631","81.8","Q1",
"JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES","J GERONTOL B-PSYCHOL","1079-5014","1758-5368","GERONTOLOGY","SSCI","13,292","4.8","Q1","1.79"," 3/47 ","4.7","Q1","4.5","0.6"," 1/48 ","Q1","98.96","0.016","3.459","1.631","94.7","Q1",
"JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES","J GERONTOL B-PSYCHOL","1079-5014","1758-5368","PSYCHOLOGY","SCIE","13,292","4.8","Q1","1.79"," 9/92 ","4.7","Q1","4.5","0.6"," 8/92 ","Q1","91.85","0.016","3.459","1.631","90.8","Q1",
"JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES","J GERONTOL B-PSYCHOL","1079-5014","1758-5368","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","13,292","4.8","Q1","1.79"," 22/218 ","4.7","Q1","4.5","0.6"," 22/218 ","Q1","90.14","0.016","3.459","1.631","90.1","Q1",
"Sustainable Energy & Fuels","SUSTAIN ENERG FUELS","2398-4902","2398-4902","CHEMISTRY, PHYSICAL","SCIE","13,288","5","Q2","0.76"," 61/178 ","5.4","Q2","4.8","0.8"," 66/178 ","Q2","63.20","0.019","4.047","1.01","66.0","Q2",
"Sustainable Energy & Fuels","SUSTAIN ENERG FUELS","2398-4902","2398-4902","ENERGY & FUELS","SCIE","13,288","5","Q2","0.76"," 71/170 ","5.4","Q2","4.8","0.8"," 72/173 ","Q2","58.67","0.019","4.047","1.01","58.5","Q2",
"Sustainable Energy & Fuels","SUSTAIN ENERG FUELS","2398-4902","2398-4902","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","13,288","5","Q2","0.76"," 131/438 ","5.4","Q2","4.8","0.8"," 154/438 ","Q2","64.95","0.019","4.047","1.01","70.2","Q2",
"JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION","J OPT SOC AM A","1084-7529","1520-8532","OPTICS","SCIE","13,080","1.4","Q3","0.55"," 86/119 ","1.5","Q3","1.2","0.5"," 64/120 ","Q3","47.08","0.004","0.916","0.365","28.2","Q3",
"Eurosurveillance","EUROSURVEILLANCE","1025-496X","1560-7917","INFECTIOUS DISEASES","SCIE","13,064","9.9","Q1","3.85"," 6/132 ","8.5","Q1","9.6","2.3"," 3/132 ","Q1","98.11","0.022","4.886","2.767","95.8","Q1",
"Ecosphere","ECOSPHERE","2150-8925","2150-8925","ECOLOGY","SCIE","12,845","2.7","Q2","0.79"," 69/195 ","3.2","Q2","2.5","0.7"," 73/195 ","Q2","62.82","0.016","3.475","0.924","64.9","Q2",
"MICROBIAL ECOLOGY","MICROB ECOL","0095-3628","1432-184X","ECOLOGY","SCIE","12,746","3.3","Q2","1"," 55/195 ","3.9","Q2","3.3","0.7"," 45/195 ","Q1","77.18","0.008","1.739","0.863","72.1","Q2",
"MICROBIAL ECOLOGY","MICROB ECOL","0095-3628","1432-184X","MARINE & FRESHWATER BIOLOGY","SCIE","12,746","3.3","Q1","1"," 10/119 ","3.9","Q1","3.3","0.7"," 12/119 ","Q1","90.34","0.008","1.739","0.863","92.0","Q1",
"MICROBIAL ECOLOGY","MICROB ECOL","0095-3628","1432-184X","MICROBIOLOGY","SCIE","12,746","3.3","Q2","1"," 70/161 ","3.9","Q2","3.3","0.7"," 43/161 ","Q1","73.60","0.008","1.739","0.863","56.8","Q2",
"RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES","RETINA-J RET VIT DIS","0275-004X","1539-2864","OPHTHALMOLOGY","SCIE","12,344","2.3","Q2","1.28"," 32/95 ","2.7","Q2","2.1","0.6"," 15/95 ","Q1","84.74","0.01","2.27","0.806","66.8","Q2",
"Food Bioscience","FOOD BIOSCI","2212-4292","2212-4306","FOOD SCIENCE & TECHNOLOGY","SCIE","11,726","4.8","Q1","1.09"," 36/173 ","5.1","Q1","4.3","1.1"," 37/173 ","Q1","78.90","0.01","2.22","0.655","79.5","Q2",
"JOURNAL OF GASTROINTESTINAL SURGERY","J GASTROINTEST SURG","1091-255X","1873-4626","GASTROENTEROLOGY & HEPATOLOGY","SCIE","11,712","2.2","Q3","0.85"," 83/143 ","2.9","Q2","2.1","0.5"," 40/143 ","Q2","72.38","0.011","2.48","0.893","42.3","Q2",
"JOURNAL OF GASTROINTESTINAL SURGERY","J GASTROINTEST SURG","1091-255X","1873-4626","SURGERY","SCIE","11,712","2.2","Q2","0.85"," 90/290 ","2.9","Q1","2.1","0.5"," 96/290 ","Q2","67.07","0.011","2.48","0.893","69.1","Q1",
"PROTEOMICS","PROTEOMICS","1615-9853","1615-9861","BIOCHEMICAL RESEARCH METHODS","SCIE","11,678","3.4","Q2","0.66"," 26/85 ","3.9","Q2","3.1","0.8"," 42/85 ","Q2","51.18","0.006","1.33","1.031","70.0","Q1",
"PROTEOMICS","PROTEOMICS","1615-9853","1615-9861","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","11,678","3.4","Q2","0.66"," 138/313 ","3.9","Q2","3.1","0.8"," 158/313 ","Q2","49.68","0.006","1.33","1.031","56.1","Q2",
"HEADACHE","HEADACHE","0017-8748","1526-4610","CLINICAL NEUROLOGY","SCIE","10,529","5.4","Q1","1.29"," 29/277 ","5.2","Q1","4.7","1.2"," 46/278 ","Q1","83.63","0.009","2","1.513","89.7","Q1",
"JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE","J GEOPHYS RES-EARTH","2169-9003","2169-9011","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","10,259","3.5","Q1","0.96"," 58/253 ","4.1","Q1","3.1","0.8"," 57/253 ","Q1","77.67","0.009","2.043","1.486","77.3","Q1",
"Applied Water Science","APPL WATER SCI","2190-5487","2190-5495","WATER RESOURCES","SCIE","10,240","5.7","Q1","1.33"," 10/127 ","5.8","Q1","5.4","1.7"," 11/127 ","Q1","91.73","0.007","1.581","0.77","92.5","Q1",
"Geoscience Frontiers","GEOSCI FRONT","1674-9871","1674-9871","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","9,269","8.5","Q1","2.41"," 9/253 ","7.8","Q1","8.2","4.2"," 5/253 ","Q1","98.22","0.014","3.002","2.031","96.6","Q1",
"IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT","IEEE T ENG MANAGE","0018-9391","1558-0040","BUSINESS","SSCI","9,041","4.6","Q1","1.23"," 73/302 ","4.9","Q2","3.8","1.3"," 60/302 ","Q1","80.30","0.008","1.842","0.829","76.0","Q2",
"IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT","IEEE T ENG MANAGE","0018-9391","1558-0040","ENGINEERING, INDUSTRIAL","SCIE","9,041","4.6","Q1","1.23"," 16/69 ","4.9","Q2","3.8","1.3"," 12/69 ","Q1","83.33","0.008","1.842","0.829","77.5","Q2",
"IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT","IEEE T ENG MANAGE","0018-9391","1558-0040","MANAGEMENT","SSCI","9,041","4.6","Q1","1.23"," 93/401 ","4.9","Q2","3.8","1.3"," 86/402 ","Q1","78.73","0.008","1.842","0.829","76.9","Q2",
"DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS","DEEP-SEA RES PT I","0967-0637","1879-0119","OCEANOGRAPHY","SCIE","8,866","2.3","Q2","0.82"," 23/65 ","2.6","Q2","2.1","0.6"," 23/65 ","Q2","65.38","0.004","0.887","0.76","65.4","Q2",
"IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS","IEEE T COMPUT AID D","0278-0070","1937-4151","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","SCIE","8,761","2.7","Q2","0.66"," 27/59 ","2.9","Q2","2.3","1"," 28/59 ","Q2","53.39","0.007","1.612","0.576","55.1","Q3",
"IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS","IEEE T COMPUT AID D","0278-0070","1937-4151","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","8,761","2.7","Q2","0.66"," 76/169 ","2.9","Q2","2.3","1"," 82/169 ","Q2","51.78","0.007","1.612","0.576","55.3","Q3",
"IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS","IEEE T COMPUT AID D","0278-0070","1937-4151","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","8,761","2.7","Q2","0.66"," 154/352 ","2.9","Q2","2.3","1"," 152/354 ","Q2","57.20","0.007","1.612","0.576","56.4","Q2",
"Cell Communication and Signaling","CELL COMMUN SIGNAL","N/A","1478-811X","CELL BIOLOGY","SCIE","8,710","8.2","Q1","1"," 32/205 ","8","Q1","8.1","1.4"," 60/205 ","Q2","70.98","0.011","2.475","1.807","84.6","Q2",
