"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"Journal of Hydrology","J HYDROL","0022-1694","1879-2707","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","88,377","5.9","Q1","1.48"," 19/253 ","6.4","Q1","5.1","1.2"," 18/253 ","Q1","93.08","0.061","13.41","1.216","92.7","Q1",
"Journal of Hydrology","J HYDROL","0022-1694","1879-2707","WATER RESOURCES","SCIE","88,377","5.9","Q1","1.48"," 8/127 ","6.4","Q1","5.1","1.2"," 5/127 ","Q1","96.46","0.061","13.41","1.216","94.1","Q1",
"LANCET ONCOLOGY","LANCET ONCOL","1470-2045","1474-5488","ONCOLOGY","SCIE","72,752","41.6","Q1","9.64"," 7/322 ","42.2","Q1","41.1","8.2"," 4/322 ","Q1","98.91","0.119","25.994","17.982","98.0","Q1",
"CEMENT AND CONCRETE RESEARCH","CEMENT CONCRETE RES","0008-8846","1873-3948","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","67,048","10.9","Q1","2.03"," 1/91 ","14.4","Q1","9.8","2.4"," 1/91 ","Q1","99.45","0.028","6.152","2.645","99.5","Q1",
"CEMENT AND CONCRETE RESEARCH","CEMENT CONCRETE RES","0008-8846","1873-3948","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","67,048","10.9","Q1","2.03"," 45/438 ","14.4","Q1","9.8","2.4"," 33/438 ","Q1","92.58","0.028","6.152","2.645","89.8","Q1",
"COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS","COLLOID SURFACE A","0927-7757","1873-4359","CHEMISTRY, PHYSICAL","SCIE","63,463","4.9","Q2","0.78"," 62/178 ","4.7","Q2","4.6","1.3"," 64/178 ","Q2","64.33","0.044","9.527","0.65","65.4","Q2",
"POLYMER","POLYMER","0032-3861","1873-2291","POLYMER SCIENCE","SCIE","57,851","4.1","Q2","0.96"," 27/94 ","3.9","Q2","3.9","0.9"," 16/94 ","Q1","83.51","0.023","5.012","0.612","71.8","Q2",
"IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION","IEEE T ANTENN PROPAG","0018-926X","1558-2221","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","57,093","4.6","Q1","1.3"," 74/352 ","5","Q1","3.5","1"," 59/354 ","Q1","83.47","0.045","9.926","1.136","79.1","Q1",
"IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION","IEEE T ANTENN PROPAG","0018-926X","1558-2221","TELECOMMUNICATIONS","SCIE","57,093","4.6","Q1","1.3"," 26/119 ","5","Q1","3.5","1"," 24/119 ","Q1","80.25","0.045","9.926","1.136","78.6","Q1",
"JOURNAL OF PHYSICS D-APPLIED PHYSICS","J PHYS D APPL PHYS","0022-3727","1361-6463","PHYSICS, APPLIED","SCIE","47,846","3.1","Q2","0.65"," 63/179 ","3","Q2","2.9","0.9"," 69/179 ","Q2","61.73","0.029","6.393","0.633","65.1","Q2",
"DIABETES","DIABETES","0012-1797","1939-327X","ENDOCRINOLOGY & METABOLISM","SCIE","47,658","6.2","Q1","1.61"," 20/186 ","7.1","Q1","6.1","2.4"," 15/186 ","Q1","92.20","0.024","5.319","2.538","89.5","Q1",
"NATURE CELL BIOLOGY","NAT CELL BIOL","1465-7392","1476-4679","CELL BIOLOGY","SCIE","47,382","17.3","Q1","2.93"," 9/205 ","24.2","Q1","17.1","4.6"," 11/205 ","Q1","94.88","0.056","12.301","10.9","95.9","Q1",
"KIDNEY INTERNATIONAL","KIDNEY INT","0085-2538","1523-1755","UROLOGY & NEPHROLOGY","SCIE","47,281","14.8","Q1","4.78"," 4/126 ","13.3","Q1","14.3","3.8"," 3/126 ","Q1","98.02","0.036","7.846","4.371","97.2","Q1",
"SPINE","SPINE","0362-2436","1528-1159","CLINICAL NEUROLOGY","SCIE","44,884","2.6","Q2","1.14"," 118/277 ","3.2","Q2","2.4","1"," 60/278 ","Q1","78.60","0.017","3.61","1.016","57.6","Q2",
"SPINE","SPINE","0362-2436","1528-1159","ORTHOPEDICS","SCIE","44,884","2.6","Q1","1.14"," 29/136 ","3.2","Q1","2.4","1"," 28/136 ","Q1","79.78","0.017","3.61","1.016","79.0","Q1",
"FERTILITY AND STERILITY","FERTIL STERIL","0015-0282","1556-5653","OBSTETRICS & GYNECOLOGY","SCIE","43,277","6.6","Q1","2.25"," 4/136 ","7.5","Q1","6","2.3"," 5/136 ","Q1","96.69","0.022","4.87","2.046","97.4","Q1",
"FERTILITY AND STERILITY","FERTIL STERIL","0015-0282","1556-5653","REPRODUCTIVE BIOLOGY","SCIE","43,277","6.6","Q1","2.25"," 3/39 ","7.5","Q1","6","2.3"," 3/39 ","Q1","93.59","0.022","4.87","2.046","93.6","Q1",
"INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS","INT J RADIAT ONCOL","0360-3016","1879-355X","ONCOLOGY","SCIE","41,921","6.4","Q1","1.57"," 46/322 ","6.1","Q1","6","2.1"," 37/322 ","Q1","88.66","0.028","6.179","1.88","85.9","Q1",
"INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS","INT J RADIAT ONCOL","0360-3016","1879-355X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","41,921","6.4","Q1","1.57"," 14/204 ","6.1","Q1","6","2.1"," 17/204 ","Q1","91.91","0.028","6.179","1.88","93.4","Q1",
"Journal of Materials Chemistry B","J MATER CHEM B","2050-750X","2050-7518","MATERIALS SCIENCE, BIOMATERIALS","SCIE","40,713","6.1","Q1","0.94"," 11/53 ","6.1","Q2","5.8","1.4"," 17/53 ","Q2","68.87","0.032","7.007","0.952","80.2","Q2",
"Biomolecules","BIOMOLECULES","N/A","2218-273X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","38,384","4.8","Q1","0.79"," 67/313 ","5.4","Q1","4.6","1.1"," 111/313 ","Q2","64.70","0.056","12.195","1.045","78.8","Q2",
"EUROPEAN JOURNAL OF CANCER","EUR J CANCER","0959-8049","1879-0852","ONCOLOGY","SCIE","38,165","7.6","Q1","1.68"," 38/322 ","7.7","Q1","7.4","1.5"," 34/322 ","Q1","89.60","0.041","8.933","2.797","88.4","Q1",
"Journal of Nuclear Materials","J NUCL MATER","0022-3115","1873-4820","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","35,981","2.8","Q3","0.98"," 229/438 ","3.1","Q3","2.3","0.7"," 114/438 ","Q1","74.09","0.016","3.415","0.591","47.8","Q2",
"Journal of Nuclear Materials","J NUCL MATER","0022-3115","1873-4820","NUCLEAR SCIENCE & TECHNOLOGY","SCIE","35,981","2.8","Q1","0.98"," 5/40 ","3.1","Q1","2.3","0.7"," 6/40 ","Q1","86.25","0.016","3.415","0.591","88.8","Q1",
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","33,906","8.9","Q1","2.3"," 8/169 ","11.3","Q1","8.4","2.3"," 10/169 ","Q1","94.38","0.038","8.252","2.966","95.6","Q1",
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","ENGINEERING, BIOMEDICAL","SCIE","33,906","8.9","Q1","2.3"," 10/122 ","11.3","Q1","8.4","2.3"," 6/122 ","Q1","95.49","0.038","8.252","2.966","92.2","Q1",
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","33,906","8.9","Q1","2.3"," 13/352 ","11.3","Q1","8.4","2.3"," 16/354 ","Q1","95.62","0.038","8.252","2.966","96.4","Q1",
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY","SCIE","33,906","8.9","Q1","2.3"," 4/36 ","11.3","Q1","8.4","2.3"," 4/36 ","Q1","90.28","0.038","8.252","2.966","90.3","Q1",
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","33,906","8.9","Q1","2.3"," 7/204 ","11.3","Q1","8.4","2.3"," 8/204 ","Q1","96.32","0.038","8.252","2.966","96.8","Q1",
"PLoS Neglected Tropical Diseases","PLOS NEGLECT TROP D","1935-2735","1935-2735","PARASITOLOGY","SCIE","33,654","3.4","Q1","1.05"," 9/45 ","3.6","Q1","3.1","0.6"," 11/45 ","Q1","76.67","0.037","8.189","1.064","81.1","Q1",
"PLoS Neglected Tropical Diseases","PLOS NEGLECT TROP D","1935-2735","1935-2735","TROPICAL MEDICINE","SCIE","33,654","3.4","Q1","1.05"," 5/28 ","3.6","Q1","3.1","0.6"," 6/28 ","Q1","80.36","0.037","8.189","1.064","83.9","Q1",
"Computers & Industrial Engineering","COMPUT IND ENG","0360-8352","1879-0550","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","32,853","6.7","Q1","1.29"," 20/169 ","6.7","Q1","5.9","1.4"," 34/169 ","Q1","80.18","0.034","7.493","1.214","88.5","Q1",
"Computers & Industrial Engineering","COMPUT IND ENG","0360-8352","1879-0550","ENGINEERING, INDUSTRIAL","SCIE","32,853","6.7","Q1","1.29"," 11/69 ","6.7","Q1","5.9","1.4"," 10/69 ","Q1","86.23","0.034","7.493","1.214","84.8","Q1",
"JOURNAL OF INVESTIGATIVE DERMATOLOGY","J INVEST DERMATOL","0022-202X","1523-1747","DERMATOLOGY","SCIE","32,419","5.7","Q1","2.27"," 8/94 ","6.6","Q1","5.4","1.8"," 5/94 ","Q1","95.21","0.021","4.544","2.031","92.0","Q1",
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","30,898","13.7","Q1","1.97"," 10/313 ","13.7","Q1","13.5","1.9"," 15/313 ","Q1","95.37","0.031","6.696","3.675","97.0","Q1",
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","1350-9047","1476-5403","CELL BIOLOGY","SCIE","30,898","13.7","Q1","1.97"," 15/205 ","13.7","Q1","13.5","1.9"," 19/205 ","Q1","90.98","0.031","6.696","3.675","92.9","Q1",
"BIOCHEMICAL PHARMACOLOGY","BIOCHEM PHARMACOL","0006-2952","1873-2968","PHARMACOLOGY & PHARMACY","SCIE","30,835","5.3","Q1","1.41"," 34/354 ","5.2","Q1","5.2","0.9"," 32/354 ","Q1","91.10","0.019","4.043","1.109","90.5","Q1",
"IEEE Transactions on Systems Man Cybernetics-Systems","IEEE T SYST MAN CY-S","2168-2216","2168-2232","AUTOMATION & CONTROL SYSTEMS","SCIE","28,463","8.6","Q1","1.77"," 5/84 ","8.7","Q1","7.5","1.4"," 8/84 ","Q1","91.07","0.051","11.222","2.475","94.6","Q1",
"IEEE Transactions on Systems Man Cybernetics-Systems","IEEE T SYST MAN CY-S","2168-2216","2168-2232","COMPUTER SCIENCE, CYBERNETICS","SCIE","28,463","8.6","Q1","1.77"," 3/32 ","8.7","Q1","7.5","1.4"," 3/32 ","Q1","92.19","0.051","11.222","2.475","92.2","Q1",
"SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES","SURG ENDOSC","0930-2794","1432-2218","SURGERY","SCIE","28,388","2.4","Q2","1.23"," 73/290 ","3.1","Q1","2.1","0.4"," 44/290 ","Q1","85.00","0.029","6.377","0.877","75.0","Q1",
"RHEUMATOLOGY","RHEUMATOLOGY","1462-0324","1462-0332","RHEUMATOLOGY","SCIE","28,333","4.7","Q1","1.29"," 9/57 ","5.3","Q1","4.4","0.9"," 9/57 ","Q1","85.09","0.034","7.409","1.643","85.1","Q1",
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","1545-9993","1545-9985","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","27,951","12.5","Q1","2.87"," 13/313 ","13.1","Q1","12.3","2.3"," 7/313 ","Q1","97.92","0.037","8.171","7.48","96.0","Q1",
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","1545-9993","1545-9985","BIOPHYSICS","SCIE","27,951","12.5","Q1","2.87"," 2/77 ","13.1","Q1","12.3","2.3"," 1/77 ","Q1","99.35","0.037","8.171","7.48","98.1","Q1",
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","1545-9993","1545-9985","CELL BIOLOGY","SCIE","27,951","12.5","Q1","2.87"," 20/205 ","13.1","Q1","12.3","2.3"," 12/205 ","Q1","94.39","0.037","8.171","7.48","90.5","Q1",
"BMC INFECTIOUS DISEASES","BMC INFECT DIS","N/A","1471-2334","INFECTIOUS DISEASES","SCIE","27,786","3.4","Q2","0.74"," 47/132 ","3.3","Q2","3.3","0.5"," 51/132 ","Q2","61.74","0.037","8.012","0.901","64.8","Q2",
"CELL RESEARCH","CELL RES","1001-0602","1748-7838","CELL BIOLOGY","SCIE","27,759","28.1","Q1","3.64"," 6/205 ","36.4","Q1","27.9","6"," 8/205 ","Q1","96.34","0.035","7.642","12.941","97.3","Q1",
"Nature Reviews Clinical Oncology","NAT REV CLIN ONCOL","1759-4774","1759-4782","ONCOLOGY","SCIE","27,709","81.1","Q1","10.56"," 2/322 ","81.5","Q1","80.6","12.6"," 2/322 ","Q1","99.53","0.051","11.155","27.866","99.5","Q1",
"BMC Medicine","BMC MED","1741-7015","1741-7015","MEDICINE, GENERAL & INTERNAL","SCIE","26,282","7","Q1","1.88"," 23/325 ","8.7","Q1","6.9","1.4"," 19/329 ","Q1","94.38","0.041","9.063","3.175","93.1","Q1",
"AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY","AM J PHYSIOL-HEART C","0363-6135","1522-1539","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","26,147","4.1","Q1","1.26"," 48/220 ","4.5","Q1","3.8","1.1"," 43/220 ","Q1","80.68","0.013","2.9","1.273","78.4","Q1",
"AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY","AM J PHYSIOL-HEART C","0363-6135","1522-1539","PERIPHERAL VASCULAR DISEASE","SCIE","26,147","4.1","Q1","1.26"," 16/96 ","4.5","Q1","3.8","1.1"," 13/96 ","Q1","86.98","0.013","2.9","1.273","83.9","Q1",
"AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY","AM J PHYSIOL-HEART C","0363-6135","1522-1539","PHYSIOLOGY","SCIE","26,147","4.1","Q1","1.26"," 15/85 ","4.5","Q1","3.8","1.1"," 13/85 ","Q1","85.29","0.013","2.9","1.273","82.9","Q1",
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","ADV COLLOID INTERFAC","0001-8686","1873-3727","CHEMISTRY, PHYSICAL","SCIE","24,485","15.9","Q1","1.71"," 13/178 ","16.4","Q1","15.7","2.7"," 19/178 ","Q1","89.61","0.015","3.233","2.624","93.0","Q1",
"Oncology Letters","ONCOL LETT","1792-1074","1792-1082","ONCOLOGY","SCIE","24,363","2.5","Q3","0.57"," 183/322 ","2.4","Q3","2.5","0.4"," 188/322 ","Q3","41.77","0.025","5.382","0.481","43.3","Q4",
"Frontiers in Nutrition","FRONT NUTR","2296-861X","2296-861X","NUTRITION & DIETETICS","SCIE","24,258","4","Q2","0.89"," 31/114 ","4.4","Q2","3.8","0.9"," 32/114 ","Q2","72.37","0.034","7.419","0.831","73.2","Q2",
"SOIL SCIENCE SOCIETY OF AMERICA JOURNAL","SOIL SCI SOC AM J","0361-5995","1435-0661","SOIL SCIENCE","SCIE","23,688","2.4","Q2","0.64"," 24/49 ","2.8","Q3","2.2","0.2"," 24/49 ","Q2","52.04","0.004","0.811","0.582","52.0","Q3",
"AMERICAN JOURNAL OF NEURORADIOLOGY","AM J NEURORADIOL","0195-6108","1936-959X","CLINICAL NEUROLOGY","SCIE","23,271","3.1","Q2","0.97"," 90/277 ","3.5","Q2","2.9","0.7"," 79/278 ","Q1","71.76","0.015","3.258","1.069","67.7","Q2",
"AMERICAN JOURNAL OF NEURORADIOLOGY","AM J NEURORADIOL","0195-6108","1936-959X","NEUROIMAGING","SCIE","23,271","3.1","Q2","0.97"," 5/15 ","3.5","Q2","2.9","0.7"," 6/15 ","Q1","63.33","0.015","3.258","1.069","70.0","Q2",
"AMERICAN JOURNAL OF NEURORADIOLOGY","AM J NEURORADIOL","0195-6108","1936-959X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","23,271","3.1","Q1","0.97"," 49/204 ","3.5","Q1","2.9","0.7"," 46/204 ","Q1","77.70","0.015","3.258","1.069","76.2","Q1",
"SOIL DYNAMICS AND EARTHQUAKE ENGINEERING","SOIL DYN EARTHQ ENG","0267-7261","1879-341X","ENGINEERING, GEOLOGICAL","SCIE","21,144","4.2","Q1","1.11"," 12/63 ","4.5","Q1","3.5","0.9"," 12/63 ","Q1","81.75","0.018","3.92","0.899","81.7","Q2",
"SOIL DYNAMICS AND EARTHQUAKE ENGINEERING","SOIL DYN EARTHQ ENG","0267-7261","1879-341X","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","21,144","4.2","Q1","1.11"," 34/253 ","4.5","Q1","3.5","0.9"," 40/253 ","Q1","84.39","0.018","3.92","0.899","86.8","Q2",
"TRENDS IN NEUROSCIENCES","TRENDS NEUROSCI","0166-2236","1878-108X","NEUROSCIENCES","SCIE","21,059","14.6","Q1","2.05"," 10/310 ","15","Q1","14.5","3.9"," 19/310 ","Q1","94.03","0.018","3.849","6.194","96.9","Q1",
"EXPERIMENTAL CELL RESEARCH","EXP CELL RES","0014-4827","1090-2422","CELL BIOLOGY","SCIE","20,439","3.3","Q3","0.67"," 117/205 ","3.3","Q3","3.2","0.8"," 104/205 ","Q2","49.51","0.011","2.488","0.745","43.2","Q3",
"EXPERIMENTAL CELL RESEARCH","EXP CELL RES","0014-4827","1090-2422","ONCOLOGY","SCIE","20,439","3.3","Q2","0.67"," 118/322 ","3.3","Q2","3.2","0.8"," 158/322 ","Q2","51.09","0.011","2.488","0.745","63.5","Q3",
"Materials Horizons","MATER HORIZ","2051-6347","2051-6355","CHEMISTRY, MULTIDISCIPLINARY","SCIE","19,038","12.2","Q1","1.78"," 25/230 ","12.5","Q1","11.8","1.9"," 25/231 ","Q1","89.39","0.025","5.501","2.652","89.3","Q1",
"Materials Horizons","MATER HORIZ","2051-6347","2051-6355","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","19,038","12.2","Q1","1.78"," 39/438 ","12.5","Q1","11.8","1.9"," 43/438 ","Q1","90.30","0.025","5.501","2.652","91.2","Q1",
"CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION","CANCER EPIDEM BIOMAR","1055-9965","1538-7755","ONCOLOGY","SCIE","18,822","3.7","Q2","0.9"," 104/322 ","4.2","Q2","3.6","1"," 91/322 ","Q2","71.89","0.017","3.651","1.641","67.9","Q1",
"CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION","CANCER EPIDEM BIOMAR","1055-9965","1538-7755","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","18,822","3.7","Q1","0.9"," 72/403 ","4.2","Q1","3.6","1"," 118/403 ","Q2","70.84","0.017","3.651","1.641","82.3","Q1",
"INFLAMMATORY BOWEL DISEASES","INFLAMM BOWEL DIS","1078-0998","1536-4844","GASTROENTEROLOGY & HEPATOLOGY","SCIE","18,601","4.5","Q1","1.02"," 27/143 ","4.7","Q1","4.2","0.7"," 29/143 ","Q1","80.07","0.016","3.507","1.457","81.5","Q1",
"Nature Reviews Cardiology","NAT REV CARDIOL","1759-5002","1759-5010","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","18,575","41.7","Q1","7.04"," 1/220 ","46.5","Q1","41.2","6.3"," 3/220 ","Q1","98.86","0.032","7.041","14.949","99.8","Q1",
"IEEE TRANSACTIONS ON MULTIMEDIA","IEEE T MULTIMEDIA","1520-9210","1941-0077","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","17,464","8.4","Q1","2.39"," 7/249 ","8","Q1","6.6","2.8"," 12/251 ","Q1","95.42","0.025","5.484","2.084","97.4","Q1",
"IEEE TRANSACTIONS ON MULTIMEDIA","IEEE T MULTIMEDIA","1520-9210","1941-0077","COMPUTER SCIENCE, SOFTWARE ENGINEERING","SCIE","17,464","8.4","Q1","2.39"," 4/131 ","8","Q1","6.6","2.8"," 5/131 ","Q1","96.56","0.025","5.484","2.084","97.3","Q1",
"IEEE TRANSACTIONS ON MULTIMEDIA","IEEE T MULTIMEDIA","1520-9210","1941-0077","TELECOMMUNICATIONS","SCIE","17,464","8.4","Q1","2.39"," 6/119 ","8","Q1","6.6","2.8"," 7/119 ","Q1","94.54","0.025","5.484","2.084","95.4","Q1",
"STEM CELLS","STEM CELLS","1066-5099","1549-4918","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","16,723","4","Q2","0.92"," 48/174 ","4.9","Q1","3.9","0.8"," 44/174 ","Q1","75.00","0.007","1.528","1.326","72.7","Q1",
"STEM CELLS","STEM CELLS","1066-5099","1549-4918","CELL & TISSUE ENGINEERING","SCIE","16,723","4","Q2","0.92"," 12/31 ","4.9","Q2","3.9","0.8"," 11/31 ","Q1","66.13","0.007","1.528","1.326","62.9","Q2",
"STEM CELLS","STEM CELLS","1066-5099","1549-4918","CELL BIOLOGY","SCIE","16,723","4","Q2","0.92"," 87/205 ","4.9","Q2","3.9","0.8"," 70/205 ","Q1","66.10","0.007","1.528","1.326","57.8","Q2",
"STEM CELLS","STEM CELLS","1066-5099","1549-4918","HEMATOLOGY","SCIE","16,723","4","Q1","0.92"," 22/97 ","4.9","Q1","3.9","0.8"," 23/97 ","Q1","76.80","0.007","1.528","1.326","77.8","Q2",
"STEM CELLS","STEM CELLS","1066-5099","1549-4918","ONCOLOGY","SCIE","16,723","4","Q2","0.92"," 95/322 ","4.9","Q1","3.9","0.8"," 88/322 ","Q1","72.83","0.007","1.528","1.326","70.7","Q2",
"Crystals","CRYSTALS","N/A","2073-4352","CRYSTALLOGRAPHY","SCIE","16,151","2.4","Q2","0.74"," 10/33 ","2.4","Q2","2.2","0.8"," 12/33 ","Q2","65.15","0.018","4.002","0.394","71.2","Q2",
"Crystals","CRYSTALS","N/A","2073-4352","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","16,151","2.4","Q3","0.74"," 267/438 ","2.4","Q3","2.2","0.8"," 157/438 ","Q2","64.27","0.018","4.002","0.394","39.2","Q3",
"Materials Science and Engineering B-Advanced Functional Solid-State Materials","MATER SCI ENG B-ADV","0921-5107","1873-4944","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","15,546","3.9","Q2","0.64"," 170/438 ","3.8","Q2","3.7","1.2"," 195/438 ","Q2","55.59","0.008","1.68","0.531","61.3","Q3",
"Materials Science and Engineering B-Advanced Functional Solid-State Materials","MATER SCI ENG B-ADV","0921-5107","1873-4944","PHYSICS, CONDENSED MATTER","SCIE","15,546","3.9","Q2","0.64"," 27/79 ","3.8","Q2","3.7","1.2"," 27/79 ","Q2","66.46","0.008","1.68","0.531","66.5","Q2",
"Buildings","BUILDINGS-BASEL","N/A","2075-5309","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","15,008","3.1","Q2","0.72"," 28/91 ","3.2","Q2","2.4","0.8"," 25/91 ","Q2","73.08","0.012","2.719","0.42","69.8","Q2",
"Buildings","BUILDINGS-BASEL","N/A","2075-5309","ENGINEERING, CIVIL","SCIE","15,008","3.1","Q2","0.72"," 51/181 ","3.2","Q2","2.4","0.8"," 56/181 ","Q2","69.34","0.012","2.719","0.42","72.1","Q2",
