"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS","COMMUN PUR APPL MATH","0010-3640","1097-0312","MATHEMATICS, APPLIED","SCIE","10,849","3.1"," 17/331 ","3.7","Q1","3","0.4","1.92"," 11/331 ","Q1","Q1","95.0","96.83","0.01","2.139","3.909","Q1",
"Journal of Science Education and Technology","J SCI EDUC TECHNOL","1059-0145","1573-1839","EDUCATION & EDUCATIONAL RESEARCH","SSCI","3,259","3.3"," 64/756 ","4.2","Q1","3","1.6","1.87"," 59/756 ","Q1","Q1","91.6","92.26","0.002","0.507","0.999","Q1",
"Journal of Science Education and Technology","J SCI EDUC TECHNOL","1059-0145","1573-1839","EDUCATION, SCIENTIFIC DISCIPLINES","SCIE","3,259","3.3"," 13/85 ","4.2","Q1","3","1.6","1.87"," 4/85 ","Q1","Q1","85.3","95.88","0.002","0.507","0.999","Q1",
"Review of Religion and Chinese Society","REV RELIG CHINESE SO","2214-3947","2214-3955","ASIAN STUDIES","ESCI","53","0.8"," N/A ","N/A","N/A","0.8","N/A","1.84"," 6/100 ","Q1","N/A","N/A","94.50","0","0.023","N/A","N/A",
"Review of Religion and Chinese Society","REV RELIG CHINESE SO","2214-3947","2214-3955","RELIGION","ESCI","53","0.8"," N/A ","N/A","N/A","0.8","N/A","1.84"," 23/339 ","Q1","N/A","N/A","93.36","0","0.023","N/A","N/A",
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","0963-8687","1873-1198","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","3,818","8.7"," 6/249 ","18.9","Q1","8.2","1.1","1.8"," 22/251 ","Q1","Q1","97.8","91.43","0.003","0.736","4.065","Q1",
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","0963-8687","1873-1198","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,818","8.7"," 2/160 ","18.9","Q1","8.2","1.1","1.8"," 13/161 ","Q1","Q1","99.1","92.24","0.003","0.736","4.065","Q1",
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","0963-8687","1873-1198","MANAGEMENT","SSCI","3,818","8.7"," 21/401 ","18.9","Q1","8.2","1.1","1.8"," 40/402 ","Q1","Q1","94.9","90.17","0.003","0.736","4.065","Q1",
"Engineering Science and Technology-An International Journal-JESTECH","ENG SCI TECHNOL","2215-0986","2215-0986","ENGINEERING, MULTIDISCIPLINARY","SCIE","5,606","5.1"," 18/179 ","4.8","Q1","5","1.2","1.79"," 13/180 ","Q1","Q1","90.2","93.06","0.004","0.966","0.789","Q1",
"ECONOMIC GEOLOGY","ECON GEOL","0361-0128","1554-0774","GEOCHEMISTRY & GEOPHYSICS","SCIE","14,811","5.5"," 6/101 ","6","Q1","5.1","1.7","1.77"," 6/101 ","Q1","Q1","94.6","94.55","0.005","1.19","1.676","Q1",
"ECONOMIC GEOLOGY","ECON GEOL","0361-0128","1554-0774","MINERALOGY","SCIE","14,811","5.5"," 1/30 ","6","Q1","5.1","1.7","1.77"," 1/30 ","Q1","Q1","98.3","98.33","0.005","1.19","1.676","Q1",
"CRITICAL CARE MEDICINE","CRIT CARE MED","0090-3493","1530-0293","CRITICAL CARE MEDICINE","SCIE","39,669","7.7"," 6/54 ","7.5","Q1","7.3","2.8","1.73"," 7/55 ","Q1","Q1","89.8","88.18","0.033","7.277","2.733","Q1",
"Science & Education","SCI EDUC-NETHERLANDS","0926-7220","1573-1901","EDUCATION & EDUCATIONAL RESEARCH","SSCI","1,954","2.1"," 179/756 ","2.7","Q1","1.6","0.3","1.73"," 77/756 ","Q1","Q1","76.4","89.88","0.002","0.448","0.727","Q2",
"Science & Education","SCI EDUC-NETHERLANDS","0926-7220","1573-1901","HISTORY & PHILOSOPHY OF SCIENCE","AHCI, SCIE","1,954","2.1"," 12/104 ","2.7","Q1","1.6","0.3","1.73"," 11/104 ","Q1","Q1","88.9","89.90","0.002","0.448","0.727","Q1",
"NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS","NUMER METH PART D E","0749-159X","1098-2426","MATHEMATICS, APPLIED","SCIE","4,039","2.1"," 53/331 ","2.8","Q1","2","0.3","1.72"," 18/331 ","Q1","Q1","84.1","94.71","0.004","0.914","0.692","Q2",
"Plant Phenomics","PLANT PHENOMICS","2643-6515","2643-6515","AGRONOMY","SCIE","943","7.6"," 1/125 ","7.7","Q1","6.3","1.1","1.71"," 6/125 ","Q1","Q1","99.6","95.60","0.001","0.265","1.343","Q1",
"Plant Phenomics","PLANT PHENOMICS","2643-6515","2643-6515","PLANT SCIENCES","SCIE","943","7.6"," 13/265 ","7.7","Q1","6.3","1.1","1.71"," 16/265 ","Q1","Q1","95.3","94.15","0.001","0.265","1.343","Q1",
"Plant Phenomics","PLANT PHENOMICS","2643-6515","2643-6515","REMOTE SENSING","SCIE","943","7.6"," 6/62 ","7.7","Q1","6.3","1.1","1.71"," 6/62 ","Q1","Q1","91.1","91.13","0.001","0.265","1.343","Q1",
"Pediatria i Medycyna Rodzinna-Paediatrics and Family Medicine","PEDIATR MED RODZ","1734-1531","2451-0742","PEDIATRICS","ESCI","260","<0.1"," 184/186 ","0.6","Q4","<0.1","<0.1","1.7"," 11/186 ","Q1","Q4","1.3","94.35","0","0.092","0.151","Q4",
"International Journal of Stroke","INT J STROKE","1747-4930","1747-4949","CLINICAL NEUROLOGY","SCIE","7,547","6.3"," 21/277 ","6.3","Q1","5.8","1.4","1.66"," 23/278 ","Q1","Q1","92.6","91.91","0.011","2.453","2.227","Q1",
"International Journal of Stroke","INT J STROKE","1747-4930","1747-4949","PERIPHERAL VASCULAR DISEASE","SCIE","7,547","6.3"," 7/96 ","6.3","Q1","5.8","1.4","1.66"," 9/96 ","Q1","Q1","93.2","91.15","0.011","2.453","2.227","Q1",
"Campbell Systematic Reviews","CAMPBELL SYST REV","N/A","1891-1803","SOCIAL SCIENCES, INTERDISCIPLINARY","ESCI","1,531","4"," 7/263 ","3.4","Q1","3.6","0.4","1.66"," 20/263 ","Q1","Q1","97.5","92.59","0.003","0.597","1.137","Q1",
"Studies in Science Education","STUD SCI EDUC","0305-7267","1940-8412","EDUCATION & EDUCATIONAL RESEARCH","SSCI","985","4.7"," 19/756 ","7.8","Q1","4.5","1.6","1.64"," 90/756 ","Q1","Q1","97.6","88.16","0.001","0.151","2.315","Q1",
"Studies in Science Education","STUD SCI EDUC","0305-7267","1940-8412","EDUCATION, SCIENTIFIC DISCIPLINES","SCIE","985","4.7"," 7/85 ","7.8","Q1","4.5","1.6","1.64"," 8/85 ","Q1","Q1","92.4","91.18","0.001","0.151","2.315","Q1",
"Equilibrium-Quarterly Journal of Economics and Economic Policy","EQUILIBRIUM","1689-765X","2353-3293","ECONOMICS","ESCI","626","5"," 53/597 ","3","Q1","4.3","0.8","1.63"," 57/600 ","Q1","Q1","91.2","90.58","0.001","0.114","0.35","Q3",
"PROGRESS IN PARTICLE AND NUCLEAR PHYSICS","PROG PART NUCL PHYS","0146-6410","1873-2224","PHYSICS, NUCLEAR","SCIE","5,397","14.5"," 1/22 ","13.2","Q1","14.2","3.5","1.58"," 2/22 ","Q1","Q1","97.7","93.18","0.006","1.415","4.542","Q1",
"PROGRESS IN PARTICLE AND NUCLEAR PHYSICS","PROG PART NUCL PHYS","0146-6410","1873-2224","PHYSICS, PARTICLES & FIELDS","SCIE","5,397","14.5"," 2/30 ","13.2","Q1","14.2","3.5","1.58"," 2/30 ","Q1","Q1","95.0","95.00","0.006","1.415","4.542","Q1",
"Obesity Reviews","OBES REV","1467-7881","1467-789X","ENDOCRINOLOGY & METABOLISM","SCIE","17,160","8"," 14/186 ","10","Q1","7.8","1.2","1.54"," 20/186 ","Q1","Q1","92.7","89.52","0.019","4.195","3.185","Q1",
"DIABETES-METABOLISM RESEARCH AND REVIEWS","DIABETES-METAB RES","1520-7552","1520-7560","ENDOCRINOLOGY & METABOLISM","SCIE","7,819","4.6"," 36/186 ","6.4","Q1","4.3","2","1.54"," 20/186 ","Q1","Q1","80.9","89.52","0.007","1.619","1.634","Q1",
"SURGERY","SURGERY","0039-6060","N/A","SURGERY","SCIE","22,004","3.2"," 41/290 ","3.3","Q1","3","0.6","1.54"," 24/290 ","Q1","Q1","86.0","91.90","0.018","3.885","1.098","Q1",
"npj Vaccines","NPJ VACCINES","N/A","2059-0105","IMMUNOLOGY","SCIE","3,923","6.9"," 28/181 ","6.7","Q1","6.6","1.4","1.51"," 22/181 ","Q1","Q1","84.8","88.12","0.009","1.96","2.117","Q1",
"npj Vaccines","NPJ VACCINES","N/A","2059-0105","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","3,923","6.9"," 21/189 ","6.7","Q1","6.6","1.4","1.51"," 22/189 ","Q1","Q1","89.2","88.62","0.009","1.96","2.117","Q1",
"APPLIED SOFT COMPUTING","APPL SOFT COMPUT","1568-4946","1872-9681","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","45,090","7.2"," 27/197 ","7","Q1","6.6","1.5","1.5"," 30/198 ","Q1","Q1","86.5","85.10","0.045","9.893","1.282","Q1",
"APPLIED SOFT COMPUTING","APPL SOFT COMPUT","1568-4946","1872-9681","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","45,090","7.2"," 15/169 ","7","Q1","6.6","1.5","1.5"," 27/169 ","Q1","Q1","91.4","84.32","0.045","9.893","1.282","Q1",
"ARCHIVES OF DISEASE IN CHILDHOOD","ARCH DIS CHILD","0003-9888","1468-2044","PEDIATRICS","SCIE","14,647","4.3"," 10/186 ","3.9","Q1","4.2","0.7","1.49"," 13/186 ","Q1","Q1","94.9","93.28","0.011","2.388","1.36","Q1",
"Romanic Review","ROMANIC REV","0035-8118","2688-5220","LITERATURE, ROMANCE","ESCI","109","0.2"," N/A ","N/A","N/A","0.2","<0.1","1.49"," 22/116 ","Q1","N/A","N/A","81.47","0","0.061","N/A","N/A",
"INTEGRATED COMPUTER-AIDED ENGINEERING","INTEGR COMPUT-AID E","1069-2509","1875-8835","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","747","5.8"," 40/197 ","3.4","Q2","4.3","1.9","1.47"," 31/198 ","Q1","Q1","79.9","84.60","0.001","0.148","0.659","Q2",
"INTEGRATED COMPUTER-AIDED ENGINEERING","INTEGR COMPUT-AID E","1069-2509","1875-8835","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","747","5.8"," 26/169 ","3.4","Q2","4.3","1.9","1.47"," 29/169 ","Q1","Q1","84.9","83.14","0.001","0.148","0.659","Q2",
"INTEGRATED COMPUTER-AIDED ENGINEERING","INTEGR COMPUT-AID E","1069-2509","1875-8835","ENGINEERING, MULTIDISCIPLINARY","SCIE","747","5.8"," 13/179 ","3.4","Q1","4.3","1.9","1.47"," 20/180 ","Q1","Q1","93.0","89.17","0.001","0.148","0.659","Q1",
"GeroScience","GEROSCIENCE","2509-2715","2509-2723","GERIATRICS & GERONTOLOGY","SCIE","4,500","5.3"," 9/74 ","6.2","Q1","4.9","0.9","1.47"," 8/74 ","Q1","Q1","88.5","89.86","0.009","1.926","1.664","Q1",
"IBIS","IBIS","0019-1019","1474-919X","ORNITHOLOGY","SCIE","5,213","1.8"," 3/29 ","2","Q1","1.7","0.5","1.45"," 3/29 ","Q1","Q1","91.4","91.38","0.003","0.575","0.603","Q1",
"Nursing in Critical Care","NURS CRIT CARE","1362-1017","1478-5153","NURSING","SCIE, SSCI","1,837","3"," 17/191 ","3.3","Q1","2.3","0.7","1.42"," 15/191 ","Q1","Q1","91.4","92.41","0.002","0.441","0.677","Q1",
"IEEE Journal of Emerging and Selected Topics in Power Electronics","IEEE J EM SEL TOP P","2168-6777","2168-6785","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","14,836","4.6"," 74/352 ","5.3","Q1","4.3","2.1","1.41"," 49/354 ","Q1","Q1","79.1","86.30","0.029","6.395","1.765","Q1",
"ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS","ENG ANAL BOUND ELEM","0955-7997","1873-197X","ENGINEERING, MULTIDISCIPLINARY","SCIE","8,105","4.2"," 24/179 ","3.3","Q1","3.4","1.3","1.41"," 22/180 ","Q1","Q1","86.9","88.06","0.007","1.477","0.571","Q1",
"ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS","ENG ANAL BOUND ELEM","0955-7997","1873-197X","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","8,105","4.2"," 11/135 ","3.3","Q1","3.4","1.3","1.41"," 13/135 ","Q1","Q1","92.2","90.74","0.007","1.477","0.571","Q2",
"CURRENT OPINION IN NEUROBIOLOGY","CURR OPIN NEUROBIOL","0959-4388","1873-6882","NEUROSCIENCES","SCIE","15,346","4.8"," 57/310 ","5.7","Q1","4.6","1.2","1.4"," 42/310 ","Q1","Q1","81.8","86.61","0.016","3.582","2.812","Q1",
"Journal of the European Ceramic Society","J EUR CERAM SOC","0955-2219","1873-619X","MATERIALS SCIENCE, CERAMICS","SCIE","44,851","5.8"," 2/31 ","5.7","Q1","5","1.2","1.38"," 2/31 ","Q1","Q1","95.2","95.16","0.028","6.139","0.874","Q1",
"International Journal of Taiwan Studies","INT J TAIWAN STUD","2468-8797","2468-8800","AREA STUDIES","ESCI","56","0.6"," 87/176 ","0.7","Q3","0.5","0.3","1.38"," 34/176 ","Q1","Q2","50.9","80.97","0","0.039","0.284","Q3",
"International Journal of Taiwan Studies","INT J TAIWAN STUD","2468-8797","2468-8800","ASIAN STUDIES","ESCI","56","0.6"," N/A ","0.7","N/A","0.5","0.3","1.38"," 14/100 ","Q1","N/A","N/A","86.50","0","0.039","0.284","Q2",
"PROGRESS IN PHOTOVOLTAICS","PROG PHOTOVOLTAICS","1062-7995","1099-159X","ENERGY & FUELS","SCIE","7,872","8"," 35/170 ","6.6","Q2","7.6","2","1.36"," 30/173 ","Q1","Q1","79.7","82.95","0.007","1.607","1.601","Q1",
"PROGRESS IN PHOTOVOLTAICS","PROG PHOTOVOLTAICS","1062-7995","1099-159X","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","7,872","8"," 75/438 ","6.6","Q1","7.6","2","1.36"," 71/438 ","Q1","Q1","83.0","83.90","0.007","1.607","1.601","Q1",
"PROGRESS IN PHOTOVOLTAICS","PROG PHOTOVOLTAICS","1062-7995","1099-159X","PHYSICS, APPLIED","SCIE","7,872","8"," 23/179 ","6.6","Q1","7.6","2","1.36"," 24/179 ","Q1","Q1","87.4","86.87","0.007","1.607","1.601","Q1",
"CHINESE JOURNAL OF STRUCTURAL CHEMISTRY","CHINESE J STRUC CHEM","0254-5861","0254-5861","CHEMISTRY, INORGANIC & NUCLEAR","SCIE","2,895","5.9"," 4/44 ","2.1","Q2","5.6","3.2","1.35"," 4/44 ","Q1","Q1","92.0","92.05","0.003","0.59","0.314","Q3",
"CHINESE JOURNAL OF STRUCTURAL CHEMISTRY","CHINESE J STRUC CHEM","0254-5861","0254-5861","CRYSTALLOGRAPHY","SCIE","2,895","5.9"," 1/33 ","2.1","Q2","5.6","3.2","1.35"," 2/33 ","Q1","Q1","98.5","95.45","0.003","0.59","0.314","Q2",
"BMC BIOLOGY","BMC BIOL","N/A","1741-7007","BIOLOGY","SCIE","10,597","4.4"," 15/109 ","5.4","Q1","4.4","0.9","1.34"," 13/109 ","Q1","Q1","86.7","88.53","0.015","3.236","1.907","Q1",
"CONSERVATION BIOLOGY","CONSERV BIOL","0888-8892","1523-1739","BIODIVERSITY CONSERVATION","SCIE","22,083","5.2"," 4/74 ","6.1","Q1","4.9","1.2","1.33"," 5/74 ","Q1","Q1","95.3","93.92","0.012","2.66","1.958","Q1",
"CONSERVATION BIOLOGY","CONSERV BIOL","0888-8892","1523-1739","ECOLOGY","SCIE","22,083","5.2"," 21/195 ","6.1","Q1","4.9","1.2","1.33"," 23/195 ","Q1","Q1","89.5","88.46","0.012","2.66","1.958","Q1",
"CONSERVATION BIOLOGY","CONSERV BIOL","0888-8892","1523-1739","ENVIRONMENTAL SCIENCES","SCIE","22,083","5.2"," 78/358 ","6.1","Q1","4.9","1.2","1.33"," 46/359 ","Q1","Q1","78.4","87.33","0.012","2.66","1.958","Q1",
"Clinical Psychological Science","CLIN PSYCHOL SCI","2167-7026","2167-7034","PSYCHIATRY","SCIE","4,509","4.8"," 39/276 ","6.2","Q1","4.5","0.8","1.33"," 41/276 ","Q1","Q1","86.1","85.33","0.007","1.62","2.282","Q1",
"Clinical Psychological Science","CLIN PSYCHOL SCI","2167-7026","2167-7034","PSYCHOLOGY","SCIE","4,509","4.8"," 9/92 ","6.2","Q1","4.5","0.8","1.33"," 14/92 ","Q1","Q1","90.8","85.33","0.007","1.62","2.282","Q1",
"Clinical Psychological Science","CLIN PSYCHOL SCI","2167-7026","2167-7034","PSYCHOLOGY, CLINICAL","SSCI","4,509","4.8"," 11/180 ","6.2","Q1","4.5","0.8","1.33"," 20/180 ","Q1","Q1","94.2","89.17","0.007","1.62","2.282","Q1",
"Cryosphere","CRYOSPHERE","1994-0416","1994-0424","GEOGRAPHY, PHYSICAL","SCIE","12,032","4.4"," 8/65 ","5.2","Q1","3.6","0.9","1.32"," 8/65 ","Q1","Q1","88.5","88.46","0.019","4.125","1.832","Q1",
"Cryosphere","CRYOSPHERE","1994-0416","1994-0424","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","12,032","4.4"," 33/253 ","5.2","Q1","3.6","0.9","1.32"," 28/253 ","Q1","Q1","87.2","89.13","0.019","4.125","1.832","Q1",
"NDT & E INTERNATIONAL","NDT&E INT","0963-8695","1879-1174","MATERIALS SCIENCE, CHARACTERIZATION & TESTING","SCIE","7,767","4.1"," 5/38 ","4.5","Q1","3.5","0.7","1.3"," 2/38 ","Q1","Q1","88.2","96.05","0.004","0.929","0.823","Q1",
"Annual Review of Nutrition","ANNU REV NUTR","0199-9885","1545-4312","NUTRITION & DIETETICS","SCIE","6,104","12.6"," 2/114 ","12.9","Q1","12.6","1.4","1.29"," 13/114 ","Q1","Q1","98.7","89.04","0.003","0.622","3.815","Q1",
