"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"CATALYSIS TODAY","CATAL TODAY","0920-5861","1873-4308","ENGINEERING, CHEMICAL","SCIE","39,705","5.2","Q1","0.89"," 35/170 ","5","Q1","5","1.8"," 36/171 ","Q1","79.24","0.021","4.501","0.834","79.7","Q1",
"JOURNAL OF CELLULAR PHYSIOLOGY","J CELL PHYSIOL","0021-9541","1097-4652","CELL BIOLOGY","SCIE","37,497","4.5","Q2","1"," 72/205 ","5.3","Q2","4.4","0.8"," 60/205 ","Q2","70.98","0.04","8.682","1.042","65.1","Q2",
"JOURNAL OF CELLULAR PHYSIOLOGY","J CELL PHYSIOL","0021-9541","1097-4652","PHYSIOLOGY","SCIE","37,497","4.5","Q1","1"," 11/85 ","5.3","Q1","4.4","0.8"," 23/85 ","Q2","73.53","0.04","8.682","1.042","87.6","Q1",
"ANNALS OF NEUROLOGY","ANN NEUROL","0364-5134","1531-8249","CLINICAL NEUROLOGY","SCIE","36,745","8.1","Q1","2.65"," 11/277 ","9.9","Q1","8","1.6"," 9/278 ","Q1","96.94","0.029","6.406","3.908","96.2","Q1",
"ANNALS OF NEUROLOGY","ANN NEUROL","0364-5134","1531-8249","NEUROSCIENCES","SCIE","36,745","8.1","Q1","2.65"," 21/310 ","9.9","Q1","8","1.6"," 10/310 ","Q1","96.94","0.029","6.406","3.908","93.4","Q1",
"HUMAN MOLECULAR GENETICS","HUM MOL GENET","0964-6906","1460-2083","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","35,692","3.1","Q3","0.78"," 168/313 ","4.2","Q2","3","0.7"," 113/313 ","Q2","64.06","0.024","5.234","1.692","46.5","Q1",
"HUMAN MOLECULAR GENETICS","HUM MOL GENET","0964-6906","1460-2083","GENETICS & HEREDITY","SCIE","35,692","3.1","Q2","0.78"," 73/191 ","4.2","Q1","3","0.7"," 77/191 ","Q2","59.95","0.024","5.234","1.692","62.0","Q1",
"EMERGING INFECTIOUS DISEASES","EMERG INFECT DIS","1080-6040","1080-6059","IMMUNOLOGY","SCIE","34,317","7.2","Q1","1.68"," 26/181 ","7","Q1","7","2"," 19/181 ","Q1","89.78","0.035","7.709","2.347","85.9","Q1",
"EMERGING INFECTIOUS DISEASES","EMERG INFECT DIS","1080-6040","1080-6059","INFECTIOUS DISEASES","SCIE","34,317","7.2","Q1","1.68"," 10/132 ","7","Q1","7","2"," 12/132 ","Q1","91.29","0.035","7.709","2.347","92.8","Q1",
"NONLINEAR DYNAMICS","NONLINEAR DYNAM","0924-090X","1573-269X","ENGINEERING, MECHANICAL","SCIE","33,813","5.2","Q1","1.38"," 21/180 ","4.8","Q1","4.2","1.2"," 14/180 ","Q1","92.50","0.031","6.781","0.894","88.6","Q1",
"NONLINEAR DYNAMICS","NONLINEAR DYNAM","0924-090X","1573-269X","MECHANICS","SCIE","33,813","5.2","Q1","1.38"," 14/170 ","4.8","Q1","4.2","1.2"," 13/170 ","Q1","92.65","0.031","6.781","0.894","92.1","Q1",
"Cell Host & Microbe","CELL HOST MICROBE","1931-3128","1934-6069","MICROBIOLOGY","SCIE","30,964","20.6","Q1","6.15"," 4/161 ","22.1","Q1","20.1","5.3"," 2/161 ","Q1","99.07","0.046","10.002","8.455","97.8","Q1",
"Cell Host & Microbe","CELL HOST MICROBE","1931-3128","1934-6069","PARASITOLOGY","SCIE","30,964","20.6","Q1","6.15"," 1/45 ","22.1","Q1","20.1","5.3"," 1/45 ","Q1","98.89","0.046","10.002","8.455","98.9","Q1",
"Cell Host & Microbe","CELL HOST MICROBE","1931-3128","1934-6069","VIROLOGY","SCIE","30,964","20.6","Q1","6.15"," 1/41 ","22.1","Q1","20.1","5.3"," 1/41 ","Q1","98.78","0.046","10.002","8.455","98.8","Q1",
"JOURNAL OF APPLIED CRYSTALLOGRAPHY","J APPL CRYSTALLOGR","1600-5767","1600-5767","CHEMISTRY, MULTIDISCIPLINARY","SCIE","30,311","5.2","Q2","1.78"," 66/230 ","5","Q2","4.9","0.6"," 25/231 ","Q1","89.39","0.01","2.12","1.349","71.5","Q1",
"JOURNAL OF APPLIED CRYSTALLOGRAPHY","J APPL CRYSTALLOGR","1600-5767","1600-5767","CRYSTALLOGRAPHY","SCIE","30,311","5.2","Q1","1.78"," 2/33 ","5","Q1","4.9","0.6"," 1/33 ","Q1","98.48","0.01","2.12","1.349","95.5","Q1",
"MEDICAL PHYSICS","MED PHYS","0094-2405","2473-4209","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","30,140","3.2","Q1","1.02"," 46/204 ","3.9","Q1","2.7","0.5"," 42/204 ","Q1","79.66","0.022","4.865","0.926","77.7","Q1",
"ANESTHESIA AND ANALGESIA","ANESTH ANALG","0003-2999","0003-2999","ANESTHESIOLOGY","SCIE","29,432","4.6","Q1","2.02"," 8/64 ","5.6","Q1","4.2","1.7"," 5/64 ","Q1","92.97","0.024","5.151","1.729","88.3","Q1",
"SLEEP","SLEEP","0161-8105","1550-9109","CLINICAL NEUROLOGY","SCIE","28,718","5.3","Q1","1.35"," 30/277 ","5.7","Q1","4.9","1.6"," 36/278 ","Q1","87.23","0.02","4.401","1.93","89.4","Q1",
"SLEEP","SLEEP","0161-8105","1550-9109","NEUROSCIENCES","SCIE","28,718","5.3","Q1","1.35"," 44/310 ","5.7","Q1","4.9","1.6"," 47/310 ","Q1","85.00","0.02","4.401","1.93","86.0","Q1",
"BRAIN BEHAVIOR AND IMMUNITY","BRAIN BEHAV IMMUN","0889-1591","1090-2139","IMMUNOLOGY","SCIE","27,017","8.8","Q1","2.63"," 15/181 ","9.8","Q1","8.5","1.4"," 9/181 ","Q1","95.30","0.031","6.735","2.514","92.0","Q1",
"BRAIN BEHAVIOR AND IMMUNITY","BRAIN BEHAV IMMUN","0889-1591","1090-2139","NEUROSCIENCES","SCIE","27,017","8.8","Q1","2.63"," 19/310 ","9.8","Q1","8.5","1.4"," 11/310 ","Q1","96.61","0.031","6.735","2.514","94.0","Q1",
"BRAIN BEHAVIOR AND IMMUNITY","BRAIN BEHAV IMMUN","0889-1591","1090-2139","PSYCHIATRY","SCIE","27,017","8.8","Q1","2.63"," 10/276 ","9.8","Q1","8.5","1.4"," 8/276 ","Q1","97.28","0.031","6.735","2.514","96.6","Q1",
"Polymer Chemistry","POLYM CHEM-UK","1759-9954","1759-9962","POLYMER SCIENCE","SCIE","26,933","4.1","Q2","0.88"," 27/94 ","4.2","Q1","3.8","0.9"," 20/94 ","Q1","79.26","0.02","4.476","0.766","71.8","Q1",
"Journal of Neuroinflammation","J NEUROINFLAMM","N/A","1742-2094","IMMUNOLOGY","SCIE","26,903","9.3","Q1","1.93"," 13/181 ","9.8","Q1","9","1.4"," 15/181 ","Q1","91.99","0.03","6.623","2.284","93.1","Q1",
"Journal of Neuroinflammation","J NEUROINFLAMM","N/A","1742-2094","NEUROSCIENCES","SCIE","26,903","9.3","Q1","1.93"," 17/310 ","9.8","Q1","9","1.4"," 21/310 ","Q1","93.39","0.03","6.623","2.284","94.7","Q1",
"Journal of Physics A-Mathematical and Theoretical","J PHYS A-MATH THEOR","1751-8113","1751-8121","PHYSICS, MATHEMATICAL","SCIE","26,103","2","Q2","0.68"," 18/60 ","1.8","Q2","1.7","0.5"," 21/60 ","Q2","65.83","0.016","3.515","0.712","70.8","Q2",
"Journal of Physics A-Mathematical and Theoretical","J PHYS A-MATH THEOR","1751-8113","1751-8121","PHYSICS, MULTIDISCIPLINARY","SCIE","26,103","2","Q2","0.68"," 47/110 ","1.8","Q2","1.7","0.5"," 36/110 ","Q2","67.73","0.016","3.515","0.712","57.7","Q2",
"HUMAN BRAIN MAPPING","HUM BRAIN MAPP","1065-9471","1097-0193","NEUROIMAGING","SCIE","25,862","3.5","Q1","1.06"," 3/15 ","4.7","Q1","3.4","0.6"," 3/15 ","Q1","83.33","0.029","6.277","1.772","83.3","Q1",
"HUMAN BRAIN MAPPING","HUM BRAIN MAPP","1065-9471","1097-0193","NEUROSCIENCES","SCIE","25,862","3.5","Q2","1.06"," 109/310 ","4.7","Q2","3.4","0.6"," 81/310 ","Q1","74.03","0.029","6.277","1.772","65.0","Q1",
"HUMAN BRAIN MAPPING","HUM BRAIN MAPP","1065-9471","1097-0193","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","25,862","3.5","Q1","1.06"," 38/204 ","4.7","Q1","3.4","0.6"," 37/204 ","Q1","82.11","0.029","6.277","1.772","81.6","Q1",
"APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING","APPL PHYS A-MATER","0947-8396","1432-0630","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","25,654","2.5","Q3","0.53"," 257/438 ","2.6","Q3","2.4","0.9"," 232/438 ","Q3","47.15","0.014","3.142","0.366","41.4","Q3",
"APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING","APPL PHYS A-MATER","0947-8396","1432-0630","PHYSICS, APPLIED","SCIE","25,654","2.5","Q2","0.53"," 87/179 ","2.6","Q2","2.4","0.9"," 95/179 ","Q3","47.21","0.014","3.142","0.366","51.7","Q3",
"INTERNATIONAL JOURNAL OF COMPUTER VISION","INT J COMPUT VISION","0920-5691","1573-1405","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","25,502","11.6","Q1","2.69"," 7/197 ","14.5","Q1","11.2","0.8"," 9/198 ","Q1","95.71","0.025","5.4","4.483","96.7","Q1",
"BIOMETRICS","BIOMETRICS","0006-341X","1541-0420","BIOLOGY","SCIE","25,278","1.4","Q3","0.53"," 66/109 ","2.2","Q2","1.3","0.5"," 54/109 ","Q2","50.92","0.01","2.155","1.467","39.9","Q1",
"BIOMETRICS","BIOMETRICS","0006-341X","1541-0420","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","25,278","1.4","Q4","0.53"," 50/65 ","2.2","Q3","1.3","0.5"," 47/65 ","Q2","28.46","0.01","2.155","1.467","23.8","Q1",
"BIOMETRICS","BIOMETRICS","0006-341X","1541-0420","STATISTICS & PROBABILITY","SCIE","25,278","1.4","Q2","0.53"," 53/168 ","2.2","Q1","1.3","0.5"," 81/168 ","Q2","52.08","0.01","2.155","1.467","68.8","Q1",
"Toxins","TOXINS","N/A","2072-6651","FOOD SCIENCE & TECHNOLOGY","SCIE","23,402","3.9","Q2","0.86"," 53/173 ","4.2","Q2","3.3","1"," 51/173 ","Q2","70.81","0.023","5.13","0.747","69.7","Q2",
"Toxins","TOXINS","N/A","2072-6651","TOXICOLOGY","SCIE","23,402","3.9","Q1","0.86"," 23/106 ","4.2","Q1","3.3","1"," 30/106 ","Q2","72.17","0.023","5.13","0.747","78.8","Q2",
"JOURNAL OF THROMBOSIS AND HAEMOSTASIS","J THROMB HAEMOST","1538-7933","1538-7836","HEMATOLOGY","SCIE","22,924","5.5","Q1","2.26"," 15/97 ","6.6","Q1","5.1","1.5"," 6/97 ","Q1","94.33","0.022","4.711","2.033","85.1","Q1",
"JOURNAL OF THROMBOSIS AND HAEMOSTASIS","J THROMB HAEMOST","1538-7933","1538-7836","PERIPHERAL VASCULAR DISEASE","SCIE","22,924","5.5","Q1","2.26"," 12/96 ","6.6","Q1","5.1","1.5"," 3/96 ","Q1","97.40","0.022","4.711","2.033","88.0","Q1",
"WATER AIR AND SOIL POLLUTION","WATER AIR SOIL POLL","0049-6979","1573-2932","ENVIRONMENTAL SCIENCES","SCIE","21,658","3.8","Q2","0.57"," 129/358 ","3.6","Q2","3.6","0.9"," 199/359 ","Q2","44.71","0.012","2.586","0.616","64.1","Q3",
"WATER AIR AND SOIL POLLUTION","WATER AIR SOIL POLL","0049-6979","1573-2932","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","21,658","3.8","Q2","0.57"," 34/110 ","3.6","Q2","3.6","0.9"," 66/110 ","Q2","40.45","0.012","2.586","0.616","69.5","Q3",
"WATER AIR AND SOIL POLLUTION","WATER AIR SOIL POLL","0049-6979","1573-2932","WATER RESOURCES","SCIE","21,658","3.8","Q1","0.57"," 30/127 ","3.6","Q2","3.6","0.9"," 63/127 ","Q2","50.79","0.012","2.586","0.616","76.8","Q2",
"JOURNAL OF CRYSTAL GROWTH","J CRYST GROWTH","0022-0248","1873-5002","CRYSTALLOGRAPHY","SCIE","21,623","1.7","Q3","0.5"," 17/33 ","1.7","Q3","1.6","0.5"," 19/33 ","Q3","43.94","0.005","1.075","0.288","50.0","Q3",
"JOURNAL OF CRYSTAL GROWTH","J CRYST GROWTH","0022-0248","1873-5002","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","21,623","1.7","Q3","0.5"," 321/438 ","1.7","Q4","1.6","0.5"," 249/438 ","Q3","43.26","0.005","1.075","0.288","26.8","Q4",
"JOURNAL OF CRYSTAL GROWTH","J CRYST GROWTH","0022-0248","1873-5002","PHYSICS, APPLIED","SCIE","21,623","1.7","Q3","0.5"," 125/179 ","1.7","Q3","1.6","0.5"," 104/179 ","Q3","42.18","0.005","1.075","0.288","30.4","Q3",
"ECOLOGICAL ENGINEERING","ECOL ENG","0925-8574","1872-6992","ECOLOGY","SCIE","21,442","3.9","Q1","0.75"," 39/195 ","4.1","Q1","3.7","0.9"," 81/195 ","Q2","58.72","0.01","2.079","0.745","80.3","Q2",
"ECOLOGICAL ENGINEERING","ECOL ENG","0925-8574","1872-6992","ENGINEERING, ENVIRONMENTAL","SCIE","21,442","3.9","Q2","0.75"," 38/81 ","4.1","Q3","3.7","0.9"," 31/81 ","Q2","62.35","0.01","2.079","0.745","53.7","Q2",
"ECOLOGICAL ENGINEERING","ECOL ENG","0925-8574","1872-6992","ENVIRONMENTAL SCIENCES","SCIE","21,442","3.9","Q2","0.75"," 120/358 ","4.1","Q2","3.7","0.9"," 137/359 ","Q2","61.98","0.01","2.079","0.745","66.6","Q2",
"TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT","TRANSPORT RES D-TR E","1361-9209","1879-2340","ENVIRONMENTAL STUDIES","SSCI","20,643","7.3","Q1","1.63"," 17/182 ","7.8","Q1","6.4","1.3"," 25/184 ","Q1","86.68","0.022","4.832","1.616","90.9","Q1",
"TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT","TRANSPORT RES D-TR E","1361-9209","1879-2340","TRANSPORTATION","SSCI","20,643","7.3","Q1","1.63"," 5/57 ","7.8","Q1","6.4","1.3"," 8/57 ","Q1","86.84","0.022","4.832","1.616","92.1","Q1",
"TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT","TRANSPORT RES D-TR E","1361-9209","1879-2340","TRANSPORTATION SCIENCE & TECHNOLOGY","SCIE","20,643","7.3","Q1","1.63"," 9/72 ","7.8","Q1","6.4","1.3"," 11/72 ","Q1","85.42","0.022","4.832","1.616","88.2","Q1",
"JOURNAL OF CHEMICAL EDUCATION","J CHEM EDUC","0021-9584","1938-1328","CHEMISTRY, MULTIDISCIPLINARY","SCIE","20,268","2.5","Q2","0.92"," 114/230 ","2.7","Q2","1.1","0.8"," 64/231 ","Q2","72.51","0.007","1.483","0.317","50.7","Q3",
"JOURNAL OF CHEMICAL EDUCATION","J CHEM EDUC","0021-9584","1938-1328","EDUCATION, SCIENTIFIC DISCIPLINES","SCIE","20,268","2.5","Q2","0.92"," 23/85 ","2.7","Q2","1.1","0.8"," 27/85 ","Q2","68.82","0.007","1.483","0.317","73.5","Q3",
"MAYO CLINIC PROCEEDINGS","MAYO CLIN PROC","0025-6196","1942-5546","MEDICINE, GENERAL & INTERNAL","SCIE","20,213","6.9","Q1","1.56"," 24/325 ","8","Q1","6.8","1.8"," 24/329 ","Q1","92.86","0.02","4.306","2.677","92.8","Q1",
"BIOLOGICAL REVIEWS","BIOL REV","1464-7931","1469-185X","BIOLOGY","SCIE","19,544","11","Q1","2.93"," 2/109 ","13.8","Q1","10.9","1.7"," 1/109 ","Q1","99.54","0.021","4.559","4.552","98.6","Q1",
"Frontiers in Veterinary Science","FRONT VET SCI","N/A","2297-1769","VETERINARY SCIENCES","SCIE","19,392","2.6","Q1","1.3"," 22/167 ","3.1","Q1","2.4","0.5"," 14/168 ","Q1","91.96","0.027","5.975","0.596","87.1","Q1",
"ACS Central Science","ACS CENTRAL SCI","2374-7943","2374-7951","CHEMISTRY, MULTIDISCIPLINARY","SCIE","18,783","12.7","Q1","2.72"," 24/230 ","15.8","Q1","12.4","2.6"," 10/231 ","Q1","95.89","0.033","7.239","4.445","89.8","Q1",
"JOURNAL OF PERIODONTOLOGY","J PERIODONTOL","0022-3492","1943-3670","DENTISTRY, ORAL SURGERY & MEDICINE","SCIE","18,340","4.2","Q1","1.97"," 11/157 ","5.2","Q1","4","0.7"," 6/157 ","Q1","96.50","0.008","1.783","1.146","93.3","Q1",
"EFSA Journal","EFSA J","N/A","1831-4732","FOOD SCIENCE & TECHNOLOGY","SCIE","17,883","3.3","Q2","0.6"," 66/173 ","3.3","Q2","2.5","1"," 82/173 ","Q2","52.89","0.01","2.078","0.541","62.1","Q2",
"BRITISH JOURNAL OF CLINICAL PHARMACOLOGY","BRIT J CLIN PHARMACO","0306-5251","1365-2125","PHARMACOLOGY & PHARMACY","SCIE","17,303","3.1","Q2","0.81"," 126/354 ","3.7","Q2","3","0.4"," 124/354 ","Q2","65.11","0.016","3.428","1.109","64.5","Q1",
"Journal of Fungi","J FUNGI","N/A","2309-608X","MICROBIOLOGY","SCIE","15,488","4.2","Q2","1.07"," 47/161 ","4.5","Q2","3.7","1"," 36/161 ","Q1","77.95","0.022","4.735","0.874","71.1","Q2",
"Journal of Fungi","J FUNGI","N/A","2309-608X","MYCOLOGY","SCIE","15,488","4.2","Q1","1.07"," 8/33 ","4.5","Q1","3.7","1"," 7/33 ","Q1","80.30","0.022","4.735","0.874","77.3","Q2",
"JOURNAL OF PSYCHOSOMATIC RESEARCH","J PSYCHOSOM RES","0022-3999","1879-1360","PSYCHIATRY","SCIE, SSCI","15,465","3.5","Q2","0.94"," 75/276 ","3.7","Q2","3.2","0.7"," 81/276 ","Q2","70.83","0.009","1.9","1.103","73.0","Q2",
"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES","CAN J FISH AQUAT SCI","0706-652X","1205-7533","FISHERIES","SCIE","15,184","1.9","Q2","0.86"," 26/62 ","2.3","Q2","1.8","0.6"," 17/62 ","Q1","73.39","0.005","1.051","0.614","58.9","Q1",
"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES","CAN J FISH AQUAT SCI","0706-652X","1205-7533","MARINE & FRESHWATER BIOLOGY","SCIE","15,184","1.9","Q2","0.86"," 44/119 ","2.3","Q2","1.8","0.6"," 20/119 ","Q1","83.61","0.005","1.051","0.614","63.4","Q1",
"MALARIA JOURNAL","MALARIA J","N/A","1475-2875","INFECTIOUS DISEASES","SCIE","14,780","2.4","Q3","0.79"," 77/132 ","2.6","Q3","1.9","0.5"," 46/132 ","Q2","65.53","0.014","3.109","0.777","42.0","Q3",
"MALARIA JOURNAL","MALARIA J","N/A","1475-2875","PARASITOLOGY","SCIE","14,780","2.4","Q2","0.79"," 15/45 ","2.6","Q2","1.9","0.5"," 18/45 ","Q2","61.11","0.014","3.109","0.777","67.8","Q2",
"MALARIA JOURNAL","MALARIA J","N/A","1475-2875","TROPICAL MEDICINE","SCIE","14,780","2.4","Q2","0.79"," 10/28 ","2.6","Q2","1.9","0.5"," 11/28 ","Q2","62.50","0.014","3.109","0.777","66.1","Q2",
"ChemElectroChem","CHEMELECTROCHEM","2196-0216","2196-0216","ELECTROCHEMISTRY","SCIE","14,220","3.5","Q2","0.55"," 19/45 ","3.9","Q2","3.4","0.8"," 19/45 ","Q2","58.89","0.016","3.586","0.731","58.9","Q2",
"JOURNAL OF APPLIED PHYCOLOGY","J APPL PHYCOL","0921-8971","1573-5176","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","13,624","2.8","Q3","0.89"," 88/174 ","3.2","Q2","2.5","0.6"," 48/174 ","Q1","72.70","0.007","1.458","0.488","49.7","Q3",
"JOURNAL OF APPLIED PHYCOLOGY","J APPL PHYCOL","0921-8971","1573-5176","MARINE & FRESHWATER BIOLOGY","SCIE","13,624","2.8","Q1","0.89"," 14/119 ","3.2","Q1","2.5","0.6"," 17/119 ","Q1","86.13","0.007","1.458","0.488","88.7","Q2",
