"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"ENDOSCOPY","ENDOSCOPY","0013-726X","1438-8812","SURGERY","SCIE","13,895","11.5"," 3/290 ","10.1","Q1","9.9","1.8","3.12"," 6/290 ","Q1","Q1","99.1","98.10","0.016","3.451","3.354","Q1",
"Advances in Optics and Photonics","ADV OPT PHOTONICS","1943-8206","N/A","OPTICS","SCIE","4,110","25.2"," 3/119 ","25.8","Q1","24.9","4.3","2.98"," 7/120 ","Q1","Q1","97.9","94.58","0.004","0.954","7.977","Q1",
"Bone Research","BONE RES","2095-4700","2095-6231","CELL & TISSUE ENGINEERING","SCIE","4,826","14.3"," 2/31 ","14.8","Q1","14","2.3","2.79"," 2/31 ","Q1","Q1","95.2","95.16","0.006","1.323","3.412","Q1",
"Emerging Microbes & Infections","EMERG MICROBES INFEC","N/A","2222-1751","IMMUNOLOGY","SCIE","10,536","8.4"," 16/181 ","8.3","Q1","8.2","2","2.73"," 7/181 ","Q1","Q1","91.4","96.41","0.019","4.076","2.129","Q1",
"Emerging Microbes & Infections","EMERG MICROBES INFEC","N/A","2222-1751","INFECTIOUS DISEASES","SCIE","10,536","8.4"," 8/132 ","8.3","Q1","8.2","2","2.73"," 5/132 ","Q1","Q1","94.3","96.59","0.019","4.076","2.129","Q1",
"Emerging Microbes & Infections","EMERG MICROBES INFEC","N/A","2222-1751","MICROBIOLOGY","SCIE","10,536","8.4"," 14/161 ","8.3","Q1","8.2","2","2.73"," 8/161 ","Q1","Q1","91.6","95.34","0.019","4.076","2.129","Q1",
"PERSOONIA","PERSOONIA","0031-5850","N/A","MYCOLOGY","SCIE","2,892","9.5"," 4/33 ","10.9","Q1","9.1","1.3","2.55"," 4/33 ","Q1","Q1","89.4","89.39","0.002","0.442","2.624","Q1",
"PLOS MEDICINE","PLOS MED","1549-1277","1549-1676","MEDICINE, GENERAL & INTERNAL","SCIE","42,360","10.5"," 10/325 ","11.3","Q1","10.4","2.2","2.48"," 12/329 ","Q1","Q1","97.1","96.50","0.049","10.711","4.734","Q1",
"IEEE Transactions on Big Data","IEEE T BIG DATA","2332-7790","2332-7790","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","2,552","7.5"," 13/249 ","5.8","Q1","7.2","1.9","2.48"," 9/251 ","Q1","Q1","95.0","96.61","0.004","0.919","1.417","Q1",
"IEEE Transactions on Big Data","IEEE T BIG DATA","2332-7790","2332-7790","COMPUTER SCIENCE, THEORY & METHODS","SCIE","2,552","7.5"," 10/143 ","5.8","Q1","7.2","1.9","2.48"," 6/143 ","Q1","Q1","93.4","96.15","0.004","0.919","1.417","Q1",
"Annual Review of Analytical Chemistry","ANNU REV ANAL CHEM","1936-1327","1936-1335","CHEMISTRY, ANALYTICAL","SCIE","2,553","5.9"," 9/106 ","8.5","Q1","5.8","1.7","2.44"," 1/106 ","Q1","Q1","92.0","99.53","0.002","0.42","2.252","Q1",
"Annual Review of Analytical Chemistry","ANNU REV ANAL CHEM","1936-1327","1936-1335","SPECTROSCOPY","SCIE","2,553","5.9"," 3/44 ","8.5","Q1","5.8","1.7","2.44"," 1/44 ","Q1","Q1","94.3","98.86","0.002","0.42","2.252","Q1",
"Art & Perception","ART PERCEPT","2213-4905","2213-4913","ART","ESCI","101","1.1"," N/A ","0.9","N/A","1","0.2","2.43"," 3/142 ","Q1","N/A","N/A","98.24","0","0.029","0.265","Q1",
"European Urology Oncology","EUR UROL ONCOL","N/A","2588-9311","ONCOLOGY","SCIE","3,062","8.3"," 34/322 ","7.1","Q1","8","3.4","2.42"," 20/322 ","Q1","Q1","89.6","93.94","0.009","1.934","2.663","Q1",
"European Urology Oncology","EUR UROL ONCOL","N/A","2588-9311","UROLOGY & NEPHROLOGY","SCIE","3,062","8.3"," 9/126 ","7.1","Q1","8","3.4","2.42"," 9/126 ","Q1","Q1","93.3","93.25","0.009","1.934","2.663","Q1",
"Clinical and Molecular Hepatology","CLIN MOL HEPATOL","2287-2728","2287-285X","GASTROENTEROLOGY & HEPATOLOGY","SCIE","3,344","14"," 6/143 ","9.6","Q1","11.4","6.5","2.26"," 11/143 ","Q1","Q1","96.2","92.66","0.004","0.954","2.426","Q1",
"Sustainable Production and Consumption","SUSTAIN PROD CONSUMP","2352-5509","2352-5509","ENVIRONMENTAL STUDIES","SSCI","12,218","10.9"," 7/182 ","10.3","Q1","10.4","1.7","2.19"," 9/184 ","Q1","Q1","96.4","95.38","0.015","3.293","1.666","Q1",
"Sustainable Production and Consumption","SUSTAIN PROD CONSUMP","2352-5509","2352-5509","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE, SSCI","12,218","10.9"," 7/91 ","10.3","Q1","10.4","1.7","2.19"," 4/91 ","Q1","Q1","92.9","96.15","0.015","3.293","1.666","Q1",
"TWMS Journal of Pure and Applied Mathematics","TWMS J PURE APPL MAT","2076-2585","2219-1259","MATHEMATICS","SCIE","307","3.6"," 6/489 ","2.1","Q1","3.3","0.4","2.14"," 13/489 ","Q1","Q1","98.9","97.44","0","0.069","0.409","Q3",
"TWMS Journal of Pure and Applied Mathematics","TWMS J PURE APPL MAT","2076-2585","2219-1259","MATHEMATICS, APPLIED","SCIE","307","3.6"," 8/331 ","2.1","Q1","3.3","0.4","2.14"," 7/331 ","Q1","Q1","97.7","98.04","0","0.069","0.409","Q3",
"Ornithological Applications","ORNITHOL APPL","0010-5422","2732-4621","ORNITHOLOGY","SCIE","333","2.6"," 1/29 ","2.6","Q1","2.4","1.2","2.13"," 1/29 ","Q1","Q1","98.3","98.28","0.001","0.141","0.741","Q1",
"Satellite Navigation","SATELLITE NAVIG","2662-9291","2662-1363","ENGINEERING, AEROSPACE","SCIE","834","9"," 2/52 ","9.1","Q1","8.6","0.9","2.11"," 1/52 ","Q1","Q1","97.1","99.04","0.002","0.331","2.073","Q1",
"Satellite Navigation","SATELLITE NAVIG","2662-9291","2662-1363","REMOTE SENSING","SCIE","834","9"," 4/62 ","9.1","Q1","8.6","0.9","2.11"," 4/62 ","Q1","Q1","94.4","94.35","0.002","0.331","2.073","Q1",
"Satellite Navigation","SATELLITE NAVIG","2662-9291","2662-1363","TELECOMMUNICATIONS","SCIE","834","9"," 4/119 ","9.1","Q1","8.6","0.9","2.11"," 10/119 ","Q1","Q1","97.1","92.02","0.002","0.331","2.073","Q1",
"IEEE Transactions on Robotics","IEEE T ROBOT","1552-3098","1941-0468","ROBOTICS","SCIE","23,134","9.4"," 4/46 ","9.9","Q1","9","1.5","2.01"," 4/46 ","Q1","Q1","92.4","92.39","0.019","4.225","2.859","Q1",
"IEEE Transactions on Cognitive Communications and Networking","IEEE T COGN COMMUN","2332-7731","2332-7731","TELECOMMUNICATIONS","SCIE","4,174","7.4"," 11/119 ","6.9","Q1","7.1","1.2","1.99"," 11/119 ","Q1","Q1","91.2","91.18","0.008","1.848","2.001","Q1",
"Sustainable Cities and Society","SUSTAIN CITIES SOC","2210-6707","2210-6715","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","40,549","10.5"," 3/91 ","10","Q1","9.1","2.5","1.92"," 2/91 ","Q1","Q1","97.3","98.35","0.045","9.89","1.576","Q1",
"Sustainable Cities and Society","SUSTAIN CITIES SOC","2210-6707","2210-6715","ENERGY & FUELS","SCIE","40,549","10.5"," 18/170 ","10","Q1","9.1","2.5","1.92"," 14/173 ","Q1","Q1","89.7","92.20","0.045","9.89","1.576","Q1",
"Sustainable Cities and Society","SUSTAIN CITIES SOC","2210-6707","2210-6715","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","40,549","10.5"," 10/91 ","10","Q1","9.1","2.5","1.92"," 7/91 ","Q1","Q1","89.6","92.86","0.045","9.89","1.576","Q1",
"Cormac McCarthy Journal","CORMAC MCCARTHY J","2333-3073","2333-3065","LITERATURE, AMERICAN","ESCI","53","0.4"," N/A ","0.2","N/A","0.3","0.1","1.91"," 3/28 ","Q1","N/A","N/A","91.07","0","0.025","0.302","Q2",
"Earth System Dynamics","EARTH SYST DYNAM","2190-4979","2190-4987","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","3,443","7.9"," 12/253 ","6.7","Q1","7.7","1.1","1.9"," 8/253 ","Q1","Q1","95.5","97.04","0.007","1.583","2.609","Q1",
"JOURNAL OF INVERTEBRATE PATHOLOGY","J INVERTEBR PATHOL","0022-2011","1096-0805","ZOOLOGY","SCIE","7,486","3.6"," 7/180 ","3.1","Q1","3.3","0.7","1.85"," 4/180 ","Q1","Q1","96.4","98.06","0.003","0.696","0.629","Q1",
"Gondwana Research","GONDWANA RES","1342-937X","1878-0571","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","19,154","7.2"," 14/253 ","6.2","Q1","6.7","5.5","1.84"," 12/253 ","Q1","Q1","94.7","95.45","0.014","3.162","1.765","Q1",
"Current Climate Change Reports","CURR CLIM CHANGE REP","2198-6061","2198-6061","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","2,123","9.3"," 4/110 ","15","Q1","9.3","2","1.8"," 6/110 ","Q1","Q1","96.8","95.00","0.004","0.978","6.065","Q1",
"EAR AND HEARING","EAR HEARING","0196-0202","1538-4667","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY","SCIE","7,836","2.6"," 1/35 ","3.1","Q1","2.3","0.8","1.77"," 1/35 ","Q1","Q1","98.6","98.57","0.006","1.35","0.99","Q1",
"EAR AND HEARING","EAR HEARING","0196-0202","1538-4667","OTORHINOLARYNGOLOGY","SCIE","7,836","2.6"," 6/65 ","3.1","Q1","2.3","0.8","1.77"," 4/65 ","Q1","Q1","91.5","94.62","0.006","1.35","0.99","Q1",
"PSYCHIATRY RESEARCH","PSYCHIAT RES","0165-1781","1872-7123","PSYCHIATRY","SCIE, SSCI","36,654","4.2"," 50/276 ","5.3","Q1","4.1","0.6","1.72"," 17/276 ","Q1","Q1","82.1","94.02","0.042","9.111","1.471","Q1",
"IEEE Vehicular Technology Magazine","IEEE VEH TECHNOL MAG","1556-6072","1556-6080","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","2,995","5.8"," 49/352 ","9.8","Q1","5.7","1.5","1.65"," 34/354 ","Q1","Q1","86.2","90.54","0.005","1.153","2.933","Q1",
"IEEE Vehicular Technology Magazine","IEEE VEH TECHNOL MAG","1556-6072","1556-6080","TELECOMMUNICATIONS","SCIE","2,995","5.8"," 20/119 ","9.8","Q1","5.7","1.5","1.65"," 16/119 ","Q1","Q1","83.6","86.97","0.005","1.153","2.933","Q1",
"IEEE Vehicular Technology Magazine","IEEE VEH TECHNOL MAG","1556-6072","1556-6080","TRANSPORTATION SCIENCE & TECHNOLOGY","SCIE","2,995","5.8"," 13/72 ","9.8","Q1","5.7","1.5","1.65"," 9/72 ","Q1","Q1","82.6","88.19","0.005","1.153","2.933","Q1",
"Annals of the American Thoracic Society","ANN AM THORAC SOC","1546-3222","2325-6621","RESPIRATORY SYSTEM","SCIE","10,740","6.8"," 11/100 ","6.8","Q1","6.6","1.9","1.64"," 12/101 ","Q1","Q1","89.5","88.61","0.018","4.041","2.765","Q1",
"TRENDS IN BIOTECHNOLOGY","TRENDS BIOTECHNOL","0167-7799","1879-3096","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","19,565","14.3"," 3/174 ","16.8","Q1","14","6.1","1.62"," 12/174 ","Q1","Q1","98.6","93.39","0.014","2.984","3.744","Q1",
"ARTIFICIAL INTELLIGENCE REVIEW","ARTIF INTELL REV","0269-2821","1573-7462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","13,051","10.7"," 9/197 ","11.7","Q1","10.4","2.3","1.62"," 25/198 ","Q1","Q1","95.7","87.63","0.016","3.576","2.361","Q1",
"Journal of World Investment & Trade","J WORLD INVEST TRADE","1660-7112","2211-9000","LAW","ESCI","416","1.3"," 80/421 ","1.3","Q1","1.1","0.6","1.62"," 52/421 ","Q1","Q1","81.1","87.77","0.001","0.121","0.465","Q2",
"INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER","INT COMMUN HEAT MASS","0735-1933","1879-0178","MECHANICS","SCIE","22,895","6.4"," 8/170 ","5.9","Q1","6.1","1.4","1.6"," 8/170 ","Q1","Q1","95.6","95.59","0.016","3.605","0.883","Q1",
"INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER","INT COMMUN HEAT MASS","0735-1933","1879-0178","THERMODYNAMICS","SCIE","22,895","6.4"," 5/76 ","5.9","Q1","6.1","1.4","1.6"," 3/76 ","Q1","Q1","94.1","96.71","0.016","3.605","0.883","Q1",
"Journal of Behavioral Addictions","J BEHAV ADDICT","2062-5871","2063-5303","PSYCHIATRY","SCIE, SSCI","5,434","6.6"," 17/276 ","7.3","Q1","5.8","0.9","1.59"," 22/276 ","Q1","Q1","94.0","92.21","0.007","1.563","1.943","Q1",
"FISH & SHELLFISH IMMUNOLOGY","FISH SHELLFISH IMMUN","1050-4648","1095-9947","FISHERIES","SCIE","30,250","4.1"," 6/62 ","4.2","Q1","3.4","1","1.57"," 3/62 ","Q1","Q1","91.1","95.97","0.018","3.889","0.602","Q1",
"FISH & SHELLFISH IMMUNOLOGY","FISH SHELLFISH IMMUN","1050-4648","1095-9947","IMMUNOLOGY","SCIE","30,250","4.1"," 74/181 ","4.2","Q2","3.4","1","1.57"," 21/181 ","Q1","Q2","59.4","88.67","0.018","3.889","0.602","Q3",
"FISH & SHELLFISH IMMUNOLOGY","FISH SHELLFISH IMMUN","1050-4648","1095-9947","MARINE & FRESHWATER BIOLOGY","SCIE","30,250","4.1"," 7/119 ","4.2","Q1","3.4","1","1.57"," 3/119 ","Q1","Q1","94.5","97.90","0.018","3.889","0.602","Q1",
"FISH & SHELLFISH IMMUNOLOGY","FISH SHELLFISH IMMUN","1050-4648","1095-9947","VETERINARY SCIENCES","SCIE","30,250","4.1"," 7/167 ","4.2","Q1","3.4","1","1.57"," 7/168 ","Q1","Q1","96.1","96.13","0.018","3.889","0.602","Q1",
"JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES","J MATH PURE APPL","0021-7824","1776-3371","MATHEMATICS","SCIE","4,896","2.1"," 25/489 ","2.4","Q1","2","0.4","1.57"," 31/489 ","Q1","Q1","95.0","93.76","0.009","2.032","2.081","Q1",
"JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES","J MATH PURE APPL","0021-7824","1776-3371","MATHEMATICS, APPLIED","SCIE","4,896","2.1"," 53/331 ","2.4","Q1","2","0.4","1.57"," 24/331 ","Q1","Q1","84.1","92.90","0.009","2.032","2.081","Q1",
"Environmental Science & Technology Letters","ENVIRON SCI TECH LET","2328-8930","N/A","ENGINEERING, ENVIRONMENTAL","SCIE","9,967","8.9"," 10/81 ","9.9","Q1","8.6","1.4","1.49"," 8/81 ","Q1","Q1","88.3","90.74","0.015","3.306","2.556","Q1",
"Environmental Science & Technology Letters","ENVIRON SCI TECH LET","2328-8930","N/A","ENVIRONMENTAL SCIENCES","SCIE","9,967","8.9"," 27/358 ","9.9","Q1","8.6","1.4","1.49"," 36/359 ","Q1","Q1","92.6","90.11","0.015","3.306","2.556","Q1",
"Contemporary Social Science","CONTEMP SOC SCI","2158-2041","2158-205X","SOCIAL SCIENCES, INTERDISCIPLINARY","ESCI","759","2.1"," 55/263 ","2.2","Q2","1.8","2.3","1.48"," 28/263 ","Q1","Q1","79.3","89.54","0.001","0.203","0.617","Q2",
"JOURNAL OF AFFECTIVE DISORDERS","J AFFECT DISORDERS","0165-0327","1573-2517","CLINICAL NEUROLOGY","SCIE","60,556","4.9"," 35/277 ","5.4","Q1","4.6","0.9","1.47"," 29/278 ","Q1","Q1","87.5","89.75","0.076","16.701","1.525","Q1",
"JOURNAL OF AFFECTIVE DISORDERS","J AFFECT DISORDERS","0165-0327","1573-2517","PSYCHIATRY","SCIE, SSCI","60,556","4.9"," 38/276 ","5.4","Q1","4.6","0.9","1.47"," 27/276 ","Q1","Q1","86.4","90.40","0.076","16.701","1.525","Q1",
"CLINICAL ORAL IMPLANTS RESEARCH","CLIN ORAL IMPLAN RES","0905-7161","1600-0501","DENTISTRY, ORAL SURGERY & MEDICINE","SCIE","15,754","4.8"," 7/157 ","6.5","Q1","4.1","0.8","1.47"," 18/157 ","Q1","Q1","95.9","88.85","0.008","1.824","1.514","Q1",
"CLINICAL ORAL IMPLANTS RESEARCH","CLIN ORAL IMPLAN RES","0905-7161","1600-0501","ENGINEERING, BIOMEDICAL","SCIE","15,754","4.8"," 32/122 ","6.5","Q1","4.1","0.8","1.47"," 15/122 ","Q1","Q2","74.2","88.11","0.008","1.824","1.514","Q1",
"PAKISTAN VETERINARY JOURNAL","PAK VET J","0253-8318","2074-7764","VETERINARY SCIENCES","SCIE","1,991","3.8"," 9/167 ","2.2","Q2","3.5","0.6","1.46"," 9/168 ","Q1","Q1","94.9","94.94","0.001","0.327","0.35","Q2",
"Applied Numerical Mathematics","APPL NUMER MATH","0168-9274","1873-5460","MATHEMATICS, APPLIED","SCIE","6,013","2.2"," 46/331 ","2.3","Q1","2.1","0.5","1.45"," 36/331 ","Q1","Q1","86.3","89.27","0.007","1.595","0.715","Q2",
"Swiss Journal of Palaeontology","SWISS J PALAEONTOL","1664-2376","1664-2384","PALEONTOLOGY","SCIE","392","3"," 3/56 ","1.9","Q1","2.8","1.7","1.42"," 2/56 ","Q1","Q1","95.5","97.32","0","0.104","0.54","Q2",
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","0022-1899","1537-6613","IMMUNOLOGY","SCIE","43,095","5"," 47/181 ","4.7","Q2","4.9","0.8","1.39"," 24/181 ","Q1","Q2","74.3","87.02","0.045","9.858","1.882","Q1",
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","0022-1899","1537-6613","INFECTIOUS DISEASES","SCIE","43,095","5"," 15/132 ","4.7","Q1","4.9","0.8","1.39"," 16/132 ","Q1","Q1","89.0","88.26","0.045","9.858","1.882","Q1",
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","0022-1899","1537-6613","MICROBIOLOGY","SCIE","43,095","5"," 29/161 ","4.7","Q2","4.9","0.8","1.39"," 20/161 ","Q1","Q1","82.3","87.89","0.045","9.858","1.882","Q1",
"Canadian Journal of Anesthesia-Journal canadien d anesthesie","CAN J ANESTH","0832-610X","1496-8975","ANESTHESIOLOGY","SCIE","6,642","3.4"," 13/64 ","3.8","Q1","3.1","1.6","1.38"," 11/64 ","Q1","Q1","80.5","83.59","0.006","1.273","1.231","Q1",
"INTERNATIONAL DENTAL JOURNAL","INT DENT J","0020-6539","1875-595X","DENTISTRY, ORAL SURGERY & MEDICINE","SCIE","3,514","3.2"," 20/157 ","3.5","Q1","3","1.2","1.38"," 21/157 ","Q1","Q1","87.6","86.94","0.002","0.473","0.736","Q1",
"JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY","J DRUG DELIV SCI TEC","1773-2247","2588-8943","PHARMACOLOGY & PHARMACY","SCIE","18,644","4.5"," 60/354 ","4.7","Q1","4.1","1.3","1.37"," 37/354 ","Q1","Q1","83.2","89.69","0.015","3.347","0.564","Q3",
"School Leadership & Management","SCH LEADERSH MANAG","1363-2434","1364-2626","EDUCATION & EDUCATIONAL RESEARCH","ESCI","1,275","2.8"," 99/756 ","4.3","Q1","2.2","0.7","1.37"," 134/756 ","Q1","Q1","87.0","82.34","0.001","0.279","1.195","Q1",
"School Leadership & Management","SCH LEADERSH MANAG","1363-2434","1364-2626","MANAGEMENT","ESCI","1,275","2.8"," 190/401 ","4.3","Q2","2.2","0.7","1.37"," 73/402 ","Q1","Q2","52.7","81.97","0.001","0.279","1.195","Q2",
"Aging and Disease","AGING DIS","2152-5250","2152-5250","GERIATRICS & GERONTOLOGY","SCIE","6,217","7"," 6/74 ","7.1","Q1","6.5","1.1","1.35"," 15/74 ","Q1","Q1","92.6","80.41","0.008","1.684","1.539","Q1",
"JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS","J NON-EQUIL THERMODY","0340-0204","1437-4358","MECHANICS","SCIE","968","4.3"," 24/170 ","2.9","Q2","3.6","1.5","1.33"," 16/170 ","Q1","Q1","86.2","90.88","0.001","0.141","0.488","Q2",
"JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS","J NON-EQUIL THERMODY","0340-0204","1437-4358","THERMODYNAMICS","SCIE","968","4.3"," 16/76 ","2.9","Q2","3.6","1.5","1.33"," 8/76 ","Q1","Q1","79.6","90.13","0.001","0.141","0.488","Q2",
"SEDIMENTARY GEOLOGY","SEDIMENT GEOL","0037-0738","1879-0968","GEOLOGY","SCIE","12,216","2.7"," 5/60 ","2.9","Q1","2.5","0.8","1.32"," 6/60 ","Q1","Q1","92.5","90.83","0.005","1.011","0.834","Q1",
"BIOLOGICAL RESEARCH","BIOL RES","0716-9760","0717-6287","BIOLOGY","SCIE","3,285","4.3"," 17/109 ","6.6","Q1","4.2","0.7","1.31"," 14/109 ","Q1","Q1","84.9","87.61","0.002","0.511","1.133","Q1",
"Critical Research on Religion","CRIT RES RELIG","2050-3032","2050-3040","RELIGION","ESCI","157","0.7"," N/A ","0.8","N/A","0.6","0.3","1.31"," 40/339 ","Q1","N/A","N/A","88.35","0","0.097","0.564","Q1",
"Journal of Primary Care and Community Health","J PRIM CARE COMMUNIT","2150-1319","2150-1327","PRIMARY HEALTH CARE","ESCI","2,501","3"," 6/30 ","2.9","Q2","2.9","0.3","1.3"," 9/30 ","Q2","Q1","81.7","71.67","0.004","0.969","0.819","Q2",
"Journal of Xenobiotics","J XENOBIOTICS","2039-4705","2039-4713","TOXICOLOGY","ESCI","395","6.8"," 6/106 ","6.2","Q1","6.6","0.7","1.29"," 10/106 ","Q1","Q1","94.8","91.04","0","0.088","1.031","Q1",
"Current Research in Food Science","CURR RES FOOD SCI","N/A","2665-9271","FOOD SCIENCE & TECHNOLOGY","SCIE","2,812","6.2"," 19/173 ","6.2","Q1","6","1.2","1.29"," 22/173 ","Q1","Q1","89.3","87.57","0.003","0.656","0.878","Q1",
"Neurobiology of Language","NEUROBIOL LANG","2641-4368","2641-4368","LINGUISTICS","ESCI","452","3.6"," 12/297 ","3.6","Q1","3.4","1.1","1.28"," 60/297 ","Q1","Q1","96.1","79.97","0.001","0.243","1.7","Q1",
"Neurobiology of Language","NEUROBIOL LANG","2641-4368","2641-4368","NEUROSCIENCES","ESCI","452","3.6"," 103/310 ","3.6","Q2","3.4","1.1","1.28"," 59/310 ","Q1","Q2","66.9","81.13","0.001","0.243","1.7","Q1",
"Neurobiology of Language","NEUROBIOL LANG","2641-4368","2641-4368","PSYCHOLOGY, EXPERIMENTAL","ESCI","452","3.6"," 10/99 ","3.6","Q1","3.4","1.1","1.28"," 16/99 ","Q1","Q1","90.4","84.34","0.001","0.243","1.7","Q1",
"MEDICAL JOURNAL OF AUSTRALIA","MED J AUSTRALIA","0025-729X","1326-5377","MEDICINE, GENERAL & INTERNAL","SCIE","12,406","6.7"," 25/325 ","8.2","Q1","6.3","3.1","1.27"," 40/329 ","Q1","Q1","92.5","87.99","0.012","2.573","2.858","Q1",
"Environmental Innovation and Societal Transitions","ENVIRON INNOV SOC TR","2210-4224","2210-4232","ENVIRONMENTAL SCIENCES","SCIE","4,902","5.7"," 66/358 ","7.8","Q1","4.7","1","1.26"," 53/359 ","Q1","Q1","81.7","85.38","0.007","1.443","2.002","Q1",
"Environmental Innovation and Societal Transitions","ENVIRON INNOV SOC TR","2210-4224","2210-4232","ENVIRONMENTAL STUDIES","SSCI","4,902","5.7"," 27/182 ","7.8","Q1","4.7","1","1.26"," 40/184 ","Q1","Q1","85.4","78.53","0.007","1.443","2.002","Q1",
"INORGANIC CHEMISTRY COMMUNICATIONS","INORG CHEM COMMUN","1387-7003","1879-0259","CHEMISTRY, INORGANIC & NUCLEAR","SCIE","16,029","4.4"," 6/44 ","3.6","Q1","4","1.2","1.26"," 5/44 ","Q1","Q1","87.5","89.77","0.011","2.498","0.448","Q2",
