"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"IEEE Transactions on Neural Networks and Learning Systems","IEEE T NEUR NET LEAR","2162-237X","2162-2388","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","60,491","10.2"," 11/352 ","10.4","Q1","8.9","1.5","2.4"," 12/354 ","Q1","Q1","97.0","96.75","0.094","20.595","2.999","Q1",
"Asian Studies-Azijske Studije","ASIAN STUD-AZIJSKE S","2232-5131","2350-4226","ASIAN STUDIES","ESCI","94","0.3"," N/A ","0.4","N/A","0.2","0.1","2.36"," 3/100 ","Q1","N/A","N/A","97.50","0","0.05","0.165","Q4",
"Journal of New Approaches in Educational Research","J NEW APPROACHES EDU","2254-7339","2254-7339","EDUCATION & EDUCATIONAL RESEARCH","ESCI","518","4.2"," 28/756 ","4.1","Q1","4.1","0.6","2.34"," 27/756 ","Q1","Q1","96.4","96.49","0.001","0.145","0.803","Q1",
"Journal of Rock Mechanics and Geotechnical Engineering","J ROCK MECH GEOTECH","1674-7755","2589-0417","ENGINEERING, GEOLOGICAL","SCIE","8,325","9.4"," 1/63 ","7.6","Q1","8.7","4.2","2.27"," 1/63 ","Q1","Q1","99.2","99.21","0.008","1.727","1.664","Q1",
"OBSTETRICS AND GYNECOLOGY","OBSTET GYNECOL","0029-7844","0029-7844","OBSTETRICS & GYNECOLOGY","SCIE","36,311","5.7"," 7/136 ","7.2","Q1","5.4","1.5","2.27"," 4/136 ","Q1","Q1","95.2","97.43","0.036","7.793","2.821","Q1",
"VETERINARY QUARTERLY","VET QUART","0165-2176","1875-5941","VETERINARY SCIENCES","SCIE","1,735","7.9"," 2/167 ","6.1","Q1","7.8","0.5","2.24"," 3/168 ","Q1","Q1","99.1","98.51","0.001","0.192","1.093","Q1",
"BIOSCIENCE","BIOSCIENCE","0006-3568","1525-3244","BIOLOGY","SCIE","20,370","7.6"," 6/109 ","9.4","Q1","7.4","0.9","2.17"," 2/109 ","Q1","Q1","95.0","98.62","0.01","2.278","3.175","Q1",
"Journal of Cachexia Sarcopenia and Muscle","J CACHEXIA SARCOPENI","2190-5991","2190-6009","GERIATRICS & GERONTOLOGY","SCIE","10,870","9.4"," 4/74 ","10.6","Q1","8.6","1.2","2.11"," 3/74 ","Q1","Q1","95.3","96.62","0.018","3.839","2.781","Q1",
"Journal of Cachexia Sarcopenia and Muscle","J CACHEXIA SARCOPENI","2190-5991","2190-6009","MEDICINE, GENERAL & INTERNAL","SCIE","10,870","9.4"," 13/325 ","10.6","Q1","8.6","1.2","2.11"," 17/329 ","Q1","Q1","96.2","94.98","0.018","3.839","2.781","Q1",
"Applied Mathematics Letters","APPL MATH LETT","0893-9659","1873-5452","MATHEMATICS, APPLIED","SCIE","10,629","2.9"," 20/331 ","2.6","Q1","2.8","0.6","2.08"," 9/331 ","Q1","Q1","94.1","97.43","0.012","2.686","0.725","Q2",
"Pasavento-Revista de Estudios Hispanicos","PASAVENTO","2255-4505","2255-4505","LITERATURE, ROMANCE","ESCI","37","0.2"," N/A ","0.2","N/A","0.2","0.3","1.99"," 14/116 ","Q1","N/A","N/A","88.36","0","0.039","0.192","Q2",
"BRIEFINGS IN BIOINFORMATICS","BRIEF BIOINFORM","1467-5463","1477-4054","BIOCHEMICAL RESEARCH METHODS","SCIE","21,549","6.8"," 4/85 ","7.9","Q1","6.3","1.2","1.97"," 3/85 ","Q1","Q1","95.9","97.06","0.039","8.552","2.256","Q1",
"BRIEFINGS IN BIOINFORMATICS","BRIEF BIOINFORM","1467-5463","1477-4054","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","21,549","6.8"," 4/65 ","7.9","Q1","6.3","1.2","1.97"," 3/65 ","Q1","Q1","94.6","96.15","0.039","8.552","2.256","Q1",
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","SCIE","9,808","6.8"," 6/59 ","8.5","Q1","6.6","1.4","1.96"," 5/59 ","Q1","Q1","90.7","92.37","0.018","4.028","2.34","Q1",
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","9,808","6.8"," 25/249 ","8.5","Q1","6.6","1.4","1.96"," 19/251 ","Q1","Q1","90.2","92.63","0.018","4.028","2.34","Q1",
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","9,808","6.8"," 37/352 ","8.5","Q1","6.6","1.4","1.96"," 24/354 ","Q1","Q1","89.6","93.36","0.018","4.028","2.34","Q1",
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","TELECOMMUNICATIONS","SCIE","9,808","6.8"," 13/119 ","8.5","Q1","6.6","1.4","1.96"," 12/119 ","Q1","Q1","89.5","90.34","0.018","4.028","2.34","Q1",
"Swarm and Evolutionary Computation","SWARM EVOL COMPUT","2210-6502","2210-6510","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","8,900","8.2"," 19/197 ","8.4","Q1","7.2","2","1.95"," 19/198 ","Q1","Q1","90.6","90.66","0.01","2.246","1.715","Q1",
"Swarm and Evolutionary Computation","SWARM EVOL COMPUT","2210-6502","2210-6510","COMPUTER SCIENCE, THEORY & METHODS","SCIE","8,900","8.2"," 9/143 ","8.4","Q1","7.2","2","1.95"," 9/143 ","Q1","Q1","94.1","94.06","0.01","2.246","1.715","Q1",
"Electrochemical Energy Reviews","ELECTROCHEM ENERGY R","2520-8489","2520-8136","ELECTROCHEMISTRY","SCIE","4,343","28.4"," 2/45 ","30.1","Q1","28.2","6.8","1.92"," 4/45 ","Q1","Q1","96.7","92.22","0.007","1.476","5.95","Q1",
"Journal of Crohns & Colitis","J CROHNS COLITIS","1873-9946","1876-4479","GASTROENTEROLOGY & HEPATOLOGY","SCIE","14,045","8.3"," 13/143 ","8.3","Q1","7.7","1.7","1.82"," 14/143 ","Q1","Q1","91.3","90.56","0.02","4.459","2.616","Q1",
"Online Learning","ONLINE LEARN","2472-5749","2472-5730","EDUCATION & EDUCATIONAL RESEARCH","ESCI","1,943","2.8"," 99/756 ","4.4","Q1","2.4","0.6","1.75"," 75/756 ","Q1","Q1","87.0","90.15","0.002","0.521","0.943","Q1",
"IEEE TRANSACTIONS ON POWER ELECTRONICS","IEEE T POWER ELECTR","0885-8993","1941-0107","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","75,364","6.6"," 39/352 ","6.9","Q1","5.1","1.6","1.72"," 31/354 ","Q1","Q1","89.1","91.38","0.078","17.047","1.675","Q1",
"Resources Environment and Sustainability","RESOUR ENVIRON SUST","2666-9161","2666-9161","ENVIRONMENTAL SCIENCES","ESCI","919","12.4"," 11/358 ","11.9","Q1","12.1","2.1","1.71"," 22/359 ","Q1","Q1","97.1","94.01","0.001","0.24","1.918","Q1",
"Resources Environment and Sustainability","RESOUR ENVIRON SUST","2666-9161","2666-9161","ENVIRONMENTAL STUDIES","ESCI","919","12.4"," 6/182 ","11.9","Q1","12.1","2.1","1.71"," 20/184 ","Q1","Q1","97.0","89.40","0.001","0.24","1.918","Q1",
"Resources Environment and Sustainability","RESOUR ENVIRON SUST","2666-9161","2666-9161","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","ESCI","919","12.4"," 6/91 ","11.9","Q1","12.1","2.1","1.71"," 11/91 ","Q1","Q1","94.0","88.46","0.001","0.24","1.918","Q1",
"ACS Catalysis","ACS CATAL","2155-5435","2155-5435","CHEMISTRY, PHYSICAL","SCIE","130,342","11.3"," 23/178 ","12.6","Q1","10.7","2.8","1.7"," 20/178 ","Q1","Q1","87.4","89.04","0.162","35.297","2.909","Q1",
"Ethnoarchaeology","ETHNOARCHAEOLOGY","1944-2904","1944-2890","ARCHAEOLOGY","ESCI","126","1.8"," N/A ","1.9","N/A","1.6","0.2","1.68"," 11/163 ","Q1","N/A","N/A","93.56","0","0.048","0.848","Q1",
"Technology Knowledge and Learning","TECHNOL KNOWL LEARN","2211-1662","2211-1670","EDUCATION & EDUCATIONAL RESEARCH","ESCI","1,316","3"," 83/756 ","3.5","Q1","2.7","0.2","1.65"," 89/756 ","Q1","Q1","89.1","88.29","0.002","0.374","0.679","Q2",
"Science of The Total Environment","SCI TOTAL ENVIRON","0048-9697","1879-1026","ENVIRONMENTAL SCIENCES","SCIE","394,564","8.2"," 31/358 ","8.6","Q1","7.3","1.6","1.62"," 28/359 ","Q1","Q1","91.5","92.34","0.434","94.725","1.494","Q1",
"Journal of Religious Education","J RELIG EDUC","1442-018X","2199-4625","RELIGION","ESCI","126","1.1"," N/A ","0.8","N/A","0.9","0.3","1.61"," 31/339 ","Q1","N/A","N/A","91.00","0","0.082","0.4","Q1",
"MYCOSES","MYCOSES","0933-7407","1439-0507","DERMATOLOGY","SCIE","5,793","4.1"," 12/94 ","4.1","Q1","3.9","0.8","1.54"," 10/94 ","Q1","Q1","87.8","89.89","0.007","1.425","1.091","Q1",
"MYCOSES","MYCOSES","0933-7407","1439-0507","MYCOLOGY","SCIE","5,793","4.1"," 9/33 ","4.1","Q2","3.9","0.8","1.54"," 6/33 ","Q1","Q2","74.2","83.33","0.007","1.425","1.091","Q1",
"CLINICAL NUTRITION","CLIN NUTR","0261-5614","1532-1983","NUTRITION & DIETETICS","SCIE","24,557","6.6"," 10/114 ","6.7","Q1","6.4","1.1","1.5"," 8/114 ","Q1","Q1","91.7","93.42","0.029","6.265","1.704","Q1",
"International Journal of Biological Macromolecules","INT J BIOL MACROMOL","0141-8130","1879-0003","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","153,193","7.7"," 34/313 ","7.7","Q1","6.4","1.7","1.47"," 32/313 ","Q1","Q1","89.3","89.94","0.12","26.132","0.969","Q2",
"International Journal of Biological Macromolecules","INT J BIOL MACROMOL","0141-8130","1879-0003","CHEMISTRY, APPLIED","SCIE","153,193","7.7"," 6/74 ","7.7","Q1","6.4","1.7","1.47"," 6/74 ","Q1","Q1","92.6","92.57","0.12","26.132","0.969","Q1",
"International Journal of Biological Macromolecules","INT J BIOL MACROMOL","0141-8130","1879-0003","POLYMER SCIENCE","SCIE","153,193","7.7"," 6/94 ","7.7","Q1","6.4","1.7","1.47"," 5/94 ","Q1","Q1","94.1","95.21","0.12","26.132","0.969","Q1",
"RADIOGRAPHICS","RADIOGRAPHICS","0271-5333","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","15,185","5.2"," 19/204 ","7.1","Q1","4.8","1.2","1.46"," 23/204 ","Q1","Q1","90.9","88.97","0.009","2.002","1.86","Q1",
"Current Opinion in Toxicology","CURR OPIN TOXICOL","2468-2020","2468-2020","TOXICOLOGY","ESCI","1,497","6.1"," 10/106 ","N/A","N/A","6.1","0.4","1.44"," 7/106 ","Q1","Q1","91.0","93.87","0.002","0.446","N/A","N/A",
"ACTA PHARMACOLOGICA SINICA","ACTA PHARMACOL SIN","1671-4083","1745-7254","CHEMISTRY, MULTIDISCIPLINARY","SCIE","15,928","6.9"," 47/230 ","7.6","Q1","6.8","1.1","1.43"," 34/231 ","Q1","Q1","79.8","85.50","0.013","2.849","1.473","Q1",
"ACTA PHARMACOLOGICA SINICA","ACTA PHARMACOL SIN","1671-4083","1745-7254","PHARMACOLOGY & PHARMACY","SCIE","15,928","6.9"," 15/354 ","7.6","Q1","6.8","1.1","1.43"," 28/354 ","Q1","Q1","95.9","92.23","0.013","2.849","1.473","Q1",
"Knowledge Management & E-Learning-An International Journal","KNOWL MANAG E-LEARN","2073-7904","2073-7904","EDUCATION & EDUCATIONAL RESEARCH","ESCI","559","2.5"," 133/756 ","2.5","Q1","1.4","0.8","1.43"," 122/756 ","Q1","Q1","82.5","83.93","0","0.1","0.393","Q2",
"Contemporary Educational Technology","CONTEMP EDUC TECHNOL","N/A","1309-517X","EDUCATION & EDUCATIONAL RESEARCH","ESCI","744","2.4"," 144/756 ","N/A","N/A","2.3","1.4","1.43"," 122/756 ","Q1","Q1","81.0","83.93","0.001","0.157","N/A","N/A",
"CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY","CLIN EXP OPHTHALMOL","1442-6404","1442-9071","OPHTHALMOLOGY","SCIE","4,537","4.9"," 8/95 ","4","Q1","4.4","0.9","1.42"," 12/95 ","Q1","Q1","92.1","87.89","0.004","0.917","1.202","Q1",
"GEOTECHNIQUE","GEOTECHNIQUE","0016-8505","1751-7656","ENGINEERING, GEOLOGICAL","SCIE","20,224","4.2"," 12/63 ","5.2","Q1","4","1.6","1.42"," 7/63 ","Q1","Q1","81.7","89.68","0.006","1.36","1.388","Q1",
"PLASTIC AND RECONSTRUCTIVE SURGERY","PLAST RECONSTR SURG","0032-1052","1529-4242","SURGERY","SCIE","41,786","3.2"," 41/290 ","3.9","Q1","2.9","1.5","1.42"," 30/290 ","Q1","Q1","86.0","89.83","0.022","4.764","1.097","Q1",
"HYDROLOGY AND EARTH SYSTEM SCIENCES","HYDROL EARTH SYST SC","1027-5606","1607-7938","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","26,511","5.7"," 21/253 ","6.1","Q1","5.3","1.2","1.4"," 21/253 ","Q1","Q1","91.9","91.90","0.021","4.596","1.59","Q1",
"HYDROLOGY AND EARTH SYSTEM SCIENCES","HYDROL EARTH SYST SC","1027-5606","1607-7938","WATER RESOURCES","SCIE","26,511","5.7"," 10/127 ","6.1","Q1","5.3","1.2","1.4"," 10/127 ","Q1","Q1","92.5","92.52","0.021","4.596","1.59","Q1",
"AMERICAN JOURNAL OF NEPHROLOGY","AM J NEPHROL","0250-8095","1421-9670","UROLOGY & NEPHROLOGY","SCIE","5,664","4.3"," 16/126 ","3.9","Q1","4.2","0.4","1.4"," 16/126 ","Q1","Q1","87.7","87.70","0.005","1.051","1.227","Q1",
"ANNALS OF AGRICULTURAL SCIENCES","ANN AGR SCI-CAIRO","0570-1783","2090-8377","AGRICULTURE, MULTIDISCIPLINARY","SCIE","1,545","3.5"," 13/89 ","5.8","Q1","3.4","0.5","1.4"," 10/89 ","Q1","Q1","86.0","89.33","0.001","0.196","0.809","Q1",
"PHYSICAL REVIEW C","PHYS REV C","2469-9985","2469-9993","PHYSICS, NUCLEAR","SCIE","52,052","3.2"," 7/22 ","3","Q1","2.2","0.9","1.4"," 4/22 ","Q1","Q2","70.5","84.09","0.027","5.973","0.678","Q2",
"Journal of Building Engineering","J BUILD ENG","N/A","2352-7102","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","42,234","6.7"," 8/91 ","6.8","Q1","5.7","1.8","1.39"," 9/91 ","Q1","Q1","91.8","90.66","0.046","10.071","1.053","Q1",
"Journal of Building Engineering","J BUILD ENG","N/A","2352-7102","ENGINEERING, CIVIL","SCIE","42,234","6.7"," 9/181 ","6.8","Q1","5.7","1.8","1.39"," 12/181 ","Q1","Q1","95.3","93.65","0.046","10.071","1.053","Q1",
"CLINICA CHIMICA ACTA","CLIN CHIM ACTA","0009-8981","1873-3492","MEDICAL LABORATORY TECHNOLOGY","SCIE","20,671","3.2"," 9/30 ","3.7","Q2","3","0.5","1.39"," 7/30 ","Q1","Q2","71.7","78.33","0.014","3.132","0.826","Q2",
"TRENDS IN IMMUNOLOGY","TRENDS IMMUNOL","1471-4906","1471-4981","IMMUNOLOGY","SCIE","16,454","13.1"," 7/181 ","16","Q1","13","1.8","1.38"," 25/181 ","Q1","Q1","96.4","86.46","0.017","3.672","5.509","Q1",
"Scandinavian Journal of Trauma Resuscitation & Emergency Medicine","SCAND J TRAUMA RESUS","1757-7241","1757-7241","EMERGENCY MEDICINE","SCIE","3,759","3"," 8/54 ","3.5","Q1","2.8","0.5","1.38"," 7/54 ","Q1","Q1","86.1","87.96","0.005","1.058","1.072","Q1",
"MATERIALS & DESIGN","MATER DESIGN","0264-1275","1873-4197","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","88,486","7.6"," 80/438 ","8.4","Q1","7.2","1.8","1.37"," 70/438 ","Q1","Q1","81.8","84.13","0.059","12.823","1.514","Q1",
"JOURNAL OF ENGINEERING EDUCATION","J ENG EDUC","1069-4730","2168-9830","EDUCATION & EDUCATIONAL RESEARCH","SSCI","3,166","3.9"," 38/756 ","4.6","Q1","3","0.4","1.36"," 138/756 ","Q1","Q1","95.0","81.81","0.001","0.297","0.992","Q1",
"JOURNAL OF ENGINEERING EDUCATION","J ENG EDUC","1069-4730","2168-9830","EDUCATION, SCIENTIFIC DISCIPLINES","SCIE","3,166","3.9"," 9/85 ","4.6","Q1","3","0.4","1.36"," 16/85 ","Q1","Q1","90.0","81.76","0.001","0.297","0.992","Q1",
"JOURNAL OF ENGINEERING EDUCATION","J ENG EDUC","1069-4730","2168-9830","ENGINEERING, MULTIDISCIPLINARY","SCIE","3,166","3.9"," 29/179 ","4.6","Q1","3","0.4","1.36"," 24/180 ","Q1","Q1","84.1","86.94","0.001","0.297","0.992","Q1",
"Journal of Insects as Food and Feed","J INSECTS FOOD FEED","N/A","2352-4588","ENTOMOLOGY","SCIE","2,423","4.7"," 4/109 ","4.9","Q1","3.9","1.1","1.33"," 11/109 ","Q1","Q1","96.8","90.37","0.002","0.453","0.751","Q1",
"Journal of Insects as Food and Feed","J INSECTS FOOD FEED","N/A","2352-4588","FOOD SCIENCE & TECHNOLOGY","SCIE","2,423","4.7"," 38/173 ","4.9","Q1","3.9","1.1","1.33"," 18/173 ","Q1","Q1","78.3","89.88","0.002","0.453","0.751","Q1",
"Journal of Lower Genital Tract Disease","J LOW GENIT TRACT DI","1089-2591","1526-0976","OBSTETRICS & GYNECOLOGY","SCIE","1,924","2.4"," 48/136 ","2.9","Q2","2.2","0.6","1.33"," 14/136 ","Q1","Q2","65.1","90.07","0.003","0.565","1.067","Q1",
"JOURNAL OF NEUROLOGY","J NEUROL","0340-5354","1432-1459","CLINICAL NEUROLOGY","SCIE","23,157","4.8"," 38/277 ","4.8","Q1","4.6","0.9","1.32"," 39/278 ","Q1","Q1","86.5","86.15","0.027","5.997","1.448","Q1",
"Mathematical Modelling and Analysis","MATH MODEL ANAL","1392-6292","1648-3510","MATHEMATICS","SCIE","587","1.6"," 50/489 ","1.2","Q1","1.5","0.4","1.31"," 48/489 ","Q1","Q1","89.9","90.29","0.001","0.125","0.346","Q3",
"Biology Direct","BIOL DIRECT","N/A","1745-6150","BIOLOGY","SCIE","2,327","5.7"," 10/109 ","4.5","Q1","5.2","0.8","1.28"," 15/109 ","Q1","Q1","91.3","86.70","0.001","0.259","0.978","Q2",
"IEEE Circuits and Systems Magazine","IEEE CIRC SYST MAG","1531-636X","1558-0830","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","1,218","5.6"," 53/352 ","5.2","Q1","5.5","1","1.28"," 61/354 ","Q1","Q1","85.1","82.91","0.001","0.186","1.37","Q1",
"JOURNAL OF STORED PRODUCTS RESEARCH","J STORED PROD RES","0022-474X","1879-1212","ENTOMOLOGY","SCIE","5,002","2.7"," 16/109 ","2.7","Q1","2.2","0.6","1.28"," 12/109 ","Q1","Q1","85.8","89.45","0.002","0.433","0.389","Q2",
"CSEE Journal of Power and Energy Systems","CSEE J POWER ENERGY","2096-0042","2096-0042","ENERGY & FUELS","SCIE","4,299","6.9"," 44/170 ","6.9","Q1","6.1","1.5","1.26"," 40/173 ","Q1","Q2","74.4","77.17","0.006","1.398","1.604","Q1",
"CSEE Journal of Power and Energy Systems","CSEE J POWER ENERGY","2096-0042","2096-0042","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","4,299","6.9"," 35/352 ","6.9","Q1","6.1","1.5","1.26"," 64/354 ","Q1","Q1","90.2","82.06","0.006","1.398","1.604","Q1",
"Future Foods","FUTURE FOODS","2666-8335","2666-8335","FOOD SCIENCE & TECHNOLOGY","ESCI","1,387","7.2"," 12/173 ","7.2","Q1","7","0.7","1.24"," 24/173 ","Q1","Q1","93.4","86.42","0.002","0.335","1.01","Q1",
"Vaccines","VACCINES-BASEL","N/A","2076-393X","IMMUNOLOGY","SCIE","25,994","5.2"," 45/181 ","4.9","Q2","4.3","1.2","1.23"," 33/181 ","Q1","Q1","75.4","82.04","0.041","8.898","1.053","Q2",
