"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES","INT J ROCK MECH MIN","1365-1609","1873-4545","MINING & MINERAL PROCESSING","SCIE","34,054","7"," 2/31 ","7.7","Q1","6.6","1.6","2.19"," 2/31 ","Q1","Q1","95.2","95.16","0.018","3.846","1.613","Q1",
"Translational Research","TRANSL RES","1931-5244","1878-1810","MEDICAL LABORATORY TECHNOLOGY","SCIE","6,757","6.4"," 3/30 ","7.2","Q1","6.4","2.6","2.17"," 2/30 ","Q1","Q1","91.7","95.00","0.007","1.499","1.717","Q1",
"Translational Research","TRANSL RES","1931-5244","1878-1810","MEDICINE, GENERAL & INTERNAL","SCIE","6,757","6.4"," 27/325 ","7.2","Q1","6.4","2.6","2.17"," 16/329 ","Q1","Q1","91.8","95.29","0.007","1.499","1.717","Q1",
"Translational Research","TRANSL RES","1931-5244","1878-1810","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","6,757","6.4"," 26/189 ","7.2","Q1","6.4","2.6","2.17"," 12/189 ","Q1","Q1","86.5","93.92","0.007","1.499","1.717","Q1",
"Bone & Joint Journal","BONE JOINT J","2049-4394","2049-4394","ORTHOPEDICS","SCIE","11,390","4.9"," 5/136 ","4.8","Q1","4.2","1.1","2.15"," 4/136 ","Q1","Q1","96.7","97.43","0.017","3.66","1.66","Q1",
"Bone & Joint Journal","BONE JOINT J","2049-4394","2049-4394","SURGERY","SCIE","11,390","4.9"," 16/290 ","4.8","Q1","4.2","1.1","2.15"," 12/290 ","Q1","Q1","94.7","96.03","0.017","3.66","1.66","Q1",
"NEW PHYTOLOGIST","NEW PHYTOL","0028-646X","1469-8137","PLANT SCIENCES","SCIE","83,074","8.3"," 11/265 ","10.2","Q1","7.7","1.6","2.13"," 7/265 ","Q1","Q1","96.0","97.55","0.071","15.581","2.704","Q1",
"JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME","J BONE JOINT SURG AM","0021-9355","1535-1386","ORTHOPEDICS","SCIE","45,590","4.4"," 8/136 ","5.4","Q1","4.1","0.7","2.11"," 5/136 ","Q1","Q1","94.5","96.69","0.024","5.246","2.055","Q1",
"JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME","J BONE JOINT SURG AM","0021-9355","1535-1386","SURGERY","SCIE","45,590","4.4"," 21/290 ","5.4","Q1","4.1","0.7","2.11"," 13/290 ","Q1","Q1","92.9","95.69","0.024","5.246","2.055","Q1",
"Social Text","SOC TEXT","0164-2472","1527-1951","CULTURAL STUDIES","ESCI","2,238","1.2"," 17/59 ","3.1","Q1","1.2","0.3","2.08"," 4/59 ","Q1","Q2","72.0","94.07","0.002","0.518","2.323","Q1",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","38,680","7.8"," 33/313 ","8.2","Q1","7.7","1.7","2.03"," 14/313 ","Q1","Q1","89.6","95.69","0.055","11.93","3.727","Q1",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOLOGY","SCIE","38,680","7.8"," 5/109 ","8.2","Q1","7.7","1.7","2.03"," 3/109 ","Q1","Q1","95.9","97.71","0.055","11.93","3.727","Q1",
"MILBANK QUARTERLY","MILBANK Q","0887-378X","1468-0009","HEALTH CARE SCIENCES & SERVICES","SCIE","4,630","4.8"," 17/174 ","7","Q1","4.7","1.1","2.02"," 7/175 ","Q1","Q1","90.5","96.29","0.005","1.106","3.551","Q1",
"MILBANK QUARTERLY","MILBANK Q","0887-378X","1468-0009","HEALTH POLICY & SERVICES","SSCI","4,630","4.8"," 6/118 ","7","Q1","4.7","1.1","2.02"," 3/119 ","Q1","Q1","95.3","97.90","0.005","1.106","3.551","Q1",
"Campus Virtuales","CAMPUS VIRTUALES","2255-1514","2255-1514","EDUCATION & EDUCATIONAL RESEARCH","ESCI","328","2"," 193/756 ","2.4","Q2","1.7","0.3","2.02"," 49/756 ","Q1","Q2","74.5","93.58","0","0.081","0.372","Q3",
"Comprehensive Physiology","COMPR PHYSIOL","2040-4603","2040-4603","PHYSIOLOGY","SCIE","7,903","4.2"," 12/85 ","9","Q1","4.2","1.4","2"," 4/85 ","Q1","Q1","86.5","95.88","0.005","0.986","2.429","Q1",
"Current Obesity Reports","CURR OBES REP","2162-4968","2162-4968","ENDOCRINOLOGY & METABOLISM","SCIE","3,471","9.5"," 10/186 ","10.9","Q1","9.2","1.6","1.94"," 11/186 ","Q1","Q1","94.9","94.35","0.005","1.073","3.31","Q1",
"Current Obesity Reports","CURR OBES REP","2162-4968","2162-4968","NUTRITION & DIETETICS","SCIE","3,471","9.5"," 3/114 ","10.9","Q1","9.2","1.6","1.94"," 1/114 ","Q1","Q1","97.8","99.56","0.005","1.073","3.31","Q1",
"Boletin de Literatura Oral","BOL LIT ORAL","2173-0695","2173-0695","LITERATURE, ROMANCE","ESCI","26","0.2"," N/A ","0.2","N/A","0.1","<0.1","1.91"," 16/116 ","Q1","N/A","N/A","86.64","0","0.045","0.227","Q2",
"TRENDS IN PLANT SCIENCE","TRENDS PLANT SCI","1360-1385","1878-4372","PLANT SCIENCES","SCIE","30,859","17.3"," 2/265 ","20.1","Q1","17","6.7","1.9"," 12/265 ","Q1","Q1","99.4","95.66","0.018","3.835","4.981","Q1",
"Behavioural Public Policy","BEHAV PUBLIC POLICY","2398-063X","2398-0648","PSYCHOLOGY, APPLIED","ESCI","969","5.1"," 15/113 ","N/A","N/A","4.6","1.5","1.85"," 9/114 ","Q1","Q1","87.2","92.54","0.003","0.589","N/A","N/A",
"Behavioural Public Policy","BEHAV PUBLIC POLICY","2398-063X","2398-0648","PSYCHOLOGY, SOCIAL","ESCI","969","5.1"," 6/76 ","N/A","N/A","4.6","1.5","1.85"," 7/76 ","Q1","Q1","92.8","91.45","0.003","0.589","N/A","N/A",
"Behavioural Public Policy","BEHAV PUBLIC POLICY","2398-063X","2398-0648","PUBLIC ADMINISTRATION","ESCI","969","5.1"," 5/91 ","N/A","N/A","4.6","1.5","1.85"," 6/91 ","Q1","Q1","95.1","93.96","0.003","0.589","N/A","N/A",
"NEPHROLOGY DIALYSIS TRANSPLANTATION","NEPHROL DIAL TRANSPL","0931-0509","1460-2385","TRANSPLANTATION","SCIE","24,967","4.8"," 4/31 ","5","Q1","4.5","1.1","1.84"," 3/31 ","Q1","Q1","88.7","91.94","0.019","4.051","1.583","Q1",
"NEPHROLOGY DIALYSIS TRANSPLANTATION","NEPHROL DIAL TRANSPL","0931-0509","1460-2385","UROLOGY & NEPHROLOGY","SCIE","24,967","4.8"," 14/126 ","5","Q1","4.5","1.1","1.84"," 12/126 ","Q1","Q1","89.3","90.87","0.019","4.051","1.583","Q1",
"AMERICAN JOURNAL OF HEMATOLOGY","AM J HEMATOL","0361-8609","1096-8652","HEMATOLOGY","SCIE","15,828","10.1"," 8/97 ","10.1","Q1","9.5","2.6","1.83"," 10/97 ","Q1","Q1","92.3","90.21","0.023","5.055","3.546","Q1",
"Family Medicine and Community Health","FAM MED COMMUNITY HE","2305-6983","2009-8774","PRIMARY HEALTH CARE","ESCI","980","2.6"," 7/30 ","5.9","Q1","2.5","0.5","1.82"," 3/30 ","Q1","Q1","78.3","91.67","0.002","0.509","1.812","Q1",
"Journal of Mathematics and Computer Science-JMCS","J MATH COMPUT SCI-JM","2008-949X","2008-949X","MATHEMATICS","ESCI","788","2"," 29/489 ","1.6","Q1","2","0.7","1.8"," 23/489 ","Q1","Q1","94.2","95.40","0.001","0.16","0.281","Q3",
"Grotiana","GROTIANA","0167-3831","1876-0759","HUMANITIES, MULTIDISCIPLINARY","ESCI","112","1.4"," N/A ","0.8","N/A","0.3","0.3","1.74"," 33/406 ","Q1","N/A","N/A","92.00","0","0.025","0.23","Q2",
"RELIABILITY ENGINEERING & SYSTEM SAFETY","RELIAB ENG SYST SAFE","0951-8320","1879-0836","ENGINEERING, INDUSTRIAL","SCIE","33,263","9.4"," 7/69 ","8.1","Q1","6","2.3","1.71"," 6/69 ","Q1","Q1","90.6","92.03","0.027","5.823","1.26","Q1",
"RELIABILITY ENGINEERING & SYSTEM SAFETY","RELIAB ENG SYST SAFE","0951-8320","1879-0836","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","33,263","9.4"," 4/106 ","8.1","Q1","6","2.3","1.71"," 6/106 ","Q1","Q1","96.7","94.81","0.027","5.823","1.26","Q1",
"BULLETIN OF THE WORLD HEALTH ORGANIZATION","B WORLD HEALTH ORGAN","0042-9686","1564-0604","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","16,579","8.4"," 14/403 ","9.9","Q1","8.3","1.6","1.65"," 29/403 ","Q1","Q1","96.7","92.93","0.011","2.317","3.467","Q1",
"Journal of Human Rights and the Environment","J HUM RIGHTS ENVIRON","1759-7188","1759-7196","ENVIRONMENTAL STUDIES","ESCI","297","3"," 76/182 ","2.4","Q3","2.7","0.6","1.65"," 24/184 ","Q1","Q2","58.5","87.23","0.001","0.14","1.086","Q2",
"Journal of Human Rights and the Environment","J HUM RIGHTS ENVIRON","1759-7188","1759-7196","LAW","ESCI","297","3"," 9/421 ","2.4","Q1","2.7","0.6","1.65"," 49/421 ","Q1","Q1","98.0","88.48","0.001","0.14","1.086","Q1",
"RESOURCES CONSERVATION AND RECYCLING","RESOUR CONSERV RECY","0921-3449","1879-0658","ENGINEERING, ENVIRONMENTAL","SCIE","47,249","11.2"," 6/81 ","12.1","Q1","10.7","1.6","1.63"," 5/81 ","Q1","Q1","93.2","94.44","0.048","10.511","2.147","Q1",
"RESOURCES CONSERVATION AND RECYCLING","RESOUR CONSERV RECY","0921-3449","1879-0658","ENVIRONMENTAL SCIENCES","SCIE","47,249","11.2"," 15/358 ","12.1","Q1","10.7","1.6","1.63"," 27/359 ","Q1","Q1","95.9","92.62","0.048","10.511","2.147","Q1",
"Energy","ENERGY","0360-5442","1873-6785","ENERGY & FUELS","SCIE","171,282","9"," 24/170 ","8.2","Q1","7.5","2.3","1.59"," 23/173 ","Q1","Q1","86.2","86.99","0.152","33.142","1.334","Q1",
"Energy","ENERGY","0360-5442","1873-6785","THERMODYNAMICS","SCIE","171,282","9"," 3/76 ","8.2","Q1","7.5","2.3","1.59"," 4/76 ","Q1","Q1","96.7","95.39","0.152","33.142","1.334","Q1",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","76,536","8.1"," 32/313 ","9.8","Q1","7.8","2.2","1.58"," 26/313 ","Q1","Q1","89.9","91.85","0.092","20.064","4.38","Q1",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOLOGY","SCIE","76,536","8.1"," 3/109 ","9.8","Q1","7.8","2.2","1.58"," 9/109 ","Q1","Q1","97.7","92.20","0.092","20.064","4.38","Q1",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","CELL BIOLOGY","SCIE","76,536","8.1"," 33/205 ","9.8","Q1","7.8","2.2","1.58"," 24/205 ","Q1","Q1","84.1","88.54","0.092","20.064","4.38","Q1",
"AMERICAN JOURNAL OF CLINICAL NUTRITION","AM J CLIN NUTR","0002-9165","1938-3207","NUTRITION & DIETETICS","SCIE","54,430","6.5"," 11/114 ","7","Q1","6.2","1.9","1.56"," 7/114 ","Q1","Q1","90.8","94.30","0.025","5.432","2.116","Q1",
"INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES","INT J INFECT DIS","1201-9712","1878-3511","INFECTIOUS DISEASES","SCIE","20,984","4.8"," 17/132 ","5","Q1","4.7","1.7","1.56"," 15/132 ","Q1","Q1","87.5","89.02","0.032","7.098","1.311","Q1",
"REVIEWS IN ENDOCRINE & METABOLIC DISORDERS","REV ENDOCR METAB DIS","1389-9155","1573-2606","ENDOCRINOLOGY & METABOLISM","SCIE","4,661","6.9"," 17/186 ","8.4","Q1","6.7","1.3","1.53"," 22/186 ","Q1","Q1","91.1","88.44","0.006","1.209","2.232","Q1",
"Journal of NeuroEngineering and Rehabilitation","J NEUROENG REHABIL","N/A","1743-0003","ENGINEERING, BIOMEDICAL","SCIE","9,306","5.2"," 25/122 ","5.6","Q1","4.9","0.9","1.44"," 17/122 ","Q1","Q1","79.9","86.48","0.008","1.843","1.367","Q1",
"Journal of NeuroEngineering and Rehabilitation","J NEUROENG REHABIL","N/A","1743-0003","NEUROSCIENCES","SCIE","9,306","5.2"," 46/310 ","5.6","Q1","4.9","0.9","1.44"," 37/310 ","Q1","Q1","85.3","88.23","0.008","1.843","1.367","Q2",
"Journal of NeuroEngineering and Rehabilitation","J NEUROENG REHABIL","N/A","1743-0003","REHABILITATION","SCIE","9,306","5.2"," 4/169 ","5.6","Q1","4.9","0.9","1.44"," 17/169 ","Q1","Q1","97.9","90.24","0.008","1.843","1.367","Q1",
"JOURNAL OF MICROPALAEONTOLOGY","J MICROPALAEONTOL","0262-821X","2041-4978","PALEONTOLOGY","SCIE","546","4.1"," 1/56 ","2.1","Q1","3.6","0.2","1.44"," 1/56 ","Q1","Q1","99.1","99.11","0","0.102","0.737","Q1",
"TREE PHYSIOLOGY","TREE PHYSIOL","0829-318X","1758-4469","FORESTRY","SCIE","12,497","3.5"," 8/89 ","4.1","Q1","3.3","0.8","1.42"," 6/89 ","Q1","Q1","91.6","93.82","0.006","1.351","0.888","Q1",
"Biology of Sex Differences","BIOL SEX DIFFER","N/A","2042-6410","ENDOCRINOLOGY & METABOLISM","SCIE","3,131","4.9"," 32/186 ","6","Q1","4.8","0.8","1.41"," 23/186 ","Q1","Q1","83.1","87.90","0.005","1.034","1.812","Q1",
"Biology of Sex Differences","BIOL SEX DIFFER","N/A","2042-6410","GENETICS & HEREDITY","SCIE","3,131","4.9"," 27/191 ","6","Q1","4.8","0.8","1.41"," 20/191 ","Q1","Q1","86.1","89.79","0.005","1.034","1.812","Q1",
"EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS","EUR J PHARM BIOPHARM","0939-6411","1873-3441","PHARMACOLOGY & PHARMACY","SCIE","18,796","4.4"," 65/354 ","4.8","Q1","4.3","1","1.41"," 32/354 ","Q1","Q1","81.8","91.10","0.008","1.693","0.713","Q2",
"npj 2D Materials and Applications","NPJ 2D MATER APPL","N/A","2397-7132","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","3,863","9.1"," 61/438 ","10.8","Q1","9.1","2","1.39"," 65/438 ","Q1","Q1","86.2","85.27","0.007","1.492","2.666","Q1",
"npj 2D Materials and Applications","NPJ 2D MATER APPL","N/A","2397-7132","NANOSCIENCE & NANOTECHNOLOGY","SCIE","3,863","9.1"," 26/140 ","10.8","Q1","9.1","2","1.39"," 23/140 ","Q1","Q1","81.8","83.93","0.007","1.492","2.666","Q1",
"npj 2D Materials and Applications","NPJ 2D MATER APPL","N/A","2397-7132","PHYSICS, APPLIED","SCIE","3,863","9.1"," 21/179 ","10.8","Q1","9.1","2","1.39"," 22/179 ","Q1","Q1","88.5","87.99","0.007","1.492","2.666","Q1",
"International Journal of Fatigue","INT J FATIGUE","0142-1123","1879-3452","ENGINEERING, MECHANICAL","SCIE","28,296","5.7"," 14/180 ","5.6","Q1","4.6","1.3","1.39"," 13/180 ","Q1","Q1","92.5","93.06","0.019","4.251","0.933","Q1",
"International Journal of Fatigue","INT J FATIGUE","0142-1123","1879-3452","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","28,296","5.7"," 111/438 ","5.6","Q2","4.6","1.3","1.39"," 65/438 ","Q1","Q2","74.8","85.27","0.019","4.251","0.933","Q2",
"MATHEMATICAL METHODS IN THE APPLIED SCIENCES","MATH METHOD APPL SCI","0170-4214","1099-1476","MATHEMATICS, APPLIED","SCIE","12,357","2.1"," 53/331 ","2","Q1","1.9","0.6","1.38"," 42/331 ","Q1","Q1","84.1","87.46","0.016","3.505","0.469","Q3",
"Journal of Surgical Education","J SURG EDUC","1931-7204","1878-7452","EDUCATION, SCIENTIFIC DISCIPLINES","SCIE","5,528","2.6"," 20/85 ","2.7","Q2","2.3","0.4","1.37"," 15/85 ","Q1","Q1","77.1","82.94","0.009","1.97","0.912","Q1",
"Journal of Surgical Education","J SURG EDUC","1931-7204","1878-7452","SURGERY","SCIE","5,528","2.6"," 61/290 ","2.7","Q2","2.3","0.4","1.37"," 34/290 ","Q1","Q1","79.1","88.45","0.009","1.97","0.912","Q1",
"Samuel Beckett Today/Aujourd'hui","SAMUEL BECKETT TODAY","0927-3131","1875-7405","LITERARY THEORY & CRITICISM","ESCI","108","0.3"," N/A ","N/A","N/A","0.2","<0.1","1.37"," 15/51 ","Q1","N/A","N/A","71.57","0","0.063","N/A","N/A",
"Samuel Beckett Today/Aujourd'hui","SAMUEL BECKETT TODAY","0927-3131","1875-7405","LITERATURE","ESCI","108","0.3"," N/A ","N/A","N/A","0.2","<0.1","1.37"," 36/199 ","Q1","N/A","N/A","82.16","0","0.063","N/A","N/A",
"Samuel Beckett Today/Aujourd'hui","SAMUEL BECKETT TODAY","0927-3131","1875-7405","THEATER","ESCI","108","0.3"," N/A ","N/A","N/A","0.2","<0.1","1.37"," 14/48 ","Q1","N/A","N/A","71.88","0","0.063","N/A","N/A",
"Computer Science Review","COMPUT SCI REV","1574-0137","1876-7745","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","3,805","13.3"," 2/249 ","13.3","Q1","13.1","1.9","1.35"," 40/251 ","Q1","Q1","99.4","84.26","0.005","1.088","2.719","Q1",
"Computer Science Review","COMPUT SCI REV","1574-0137","1876-7745","COMPUTER SCIENCE, SOFTWARE ENGINEERING","SCIE","3,805","13.3"," 2/131 ","13.3","Q1","13.1","1.9","1.35"," 17/131 ","Q1","Q1","98.9","87.40","0.005","1.088","2.719","Q1",
"Computer Science Review","COMPUT SCI REV","1574-0137","1876-7745","COMPUTER SCIENCE, THEORY & METHODS","SCIE","3,805","13.3"," 3/143 ","13.3","Q1","13.1","1.9","1.35"," 18/143 ","Q1","Q1","98.3","87.76","0.005","1.088","2.719","Q1",
"LIVER TRANSPLANTATION","LIVER TRANSPLANT","1527-6465","1527-6473","GASTROENTEROLOGY & HEPATOLOGY","SCIE","10,570","4.7"," 26/143 ","5.1","Q1","4","1.2","1.33"," 22/143 ","Q1","Q1","82.2","84.97","0.011","2.343","1.996","Q1",
"LIVER TRANSPLANTATION","LIVER TRANSPLANT","1527-6465","1527-6473","SURGERY","SCIE","10,570","4.7"," 18/290 ","5.1","Q1","4","1.2","1.33"," 36/290 ","Q1","Q1","94.0","87.76","0.011","2.343","1.996","Q1",
