"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"PHYSICS OF FLUIDS","PHYS FLUIDS","1070-6631","1089-7666","PHYSICS, FLUIDS & PLASMAS","SCIE","65,891","4.1","Q1","1.31"," 2/40 ","4.1","Q1","2.3","1.6"," 4/40 ","Q1","91.25","0.042","9.101","0.722","96.3","Q2",
"NATURE REVIEWS CANCER","NAT REV CANCER","1474-175X","1474-1768","ONCOLOGY","SCIE","59,496","72.5","Q1","9.96"," 3/322 ","77.2","Q1","72","7.6"," 3/322 ","Q1","99.22","0.052","11.426","26.955","99.2","Q1",
"Foods","FOODS","N/A","2304-8158","FOOD SCIENCE & TECHNOLOGY","SCIE","57,120","4.7","Q1","1"," 38/173 ","5.1","Q1","4","1.1"," 40/173 ","Q1","77.17","0.055","12.06","0.674","78.3","Q2",
"IEEE SENSORS JOURNAL","IEEE SENS J","1530-437X","1558-1748","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","55,795","4.3","Q1","1.02"," 83/352 ","4.2","Q2","3.5","0.8"," 99/354 ","Q1","72.18","0.056","12.331","0.73","76.6","Q2",
"IEEE SENSORS JOURNAL","IEEE SENS J","1530-437X","1558-1748","INSTRUMENTS & INSTRUMENTATION","SCIE","55,795","4.3","Q1","1.02"," 15/76 ","4.2","Q1","3.5","0.8"," 15/76 ","Q1","80.92","0.056","12.331","0.73","80.9","Q1",
"IEEE SENSORS JOURNAL","IEEE SENS J","1530-437X","1558-1748","PHYSICS, APPLIED","SCIE","55,795","4.3","Q2","1.02"," 48/179 ","4.2","Q2","3.5","0.8"," 39/179 ","Q1","78.49","0.056","12.331","0.73","73.5","Q2",
"SOIL BIOLOGY & BIOCHEMISTRY","SOIL BIOL BIOCHEM","0038-0717","1879-3428","SOIL SCIENCE","SCIE","55,045","9.8","Q1","2.29"," 2/49 ","10.4","Q1","9.1","1.3"," 2/49 ","Q1","96.94","0.031","6.798","2.328","96.9","Q1",
"JOURNAL OF ETHNOPHARMACOLOGY","J ETHNOPHARMACOL","0378-8741","1872-7573","CHEMISTRY, MEDICINAL","SCIE","52,832","4.8","Q1","1.42"," 15/72 ","4.8","Q1","4.3","0.9"," 7/72 ","Q1","90.97","0.024","5.205","0.656","79.9","Q2",
"JOURNAL OF ETHNOPHARMACOLOGY","J ETHNOPHARMACOL","0378-8741","1872-7573","INTEGRATIVE & COMPLEMENTARY MEDICINE","SCIE","52,832","4.8","Q1","1.42"," 4/43 ","4.8","Q1","4.3","0.9"," 6/43 ","Q1","87.21","0.024","5.205","0.656","91.9","Q1",
"JOURNAL OF ETHNOPHARMACOLOGY","J ETHNOPHARMACOL","0378-8741","1872-7573","PHARMACOLOGY & PHARMACY","SCIE","52,832","4.8","Q1","1.42"," 50/354 ","4.8","Q1","4.3","0.9"," 30/354 ","Q1","91.67","0.024","5.205","0.656","86.0","Q2",
"JOURNAL OF ETHNOPHARMACOLOGY","J ETHNOPHARMACOL","0378-8741","1872-7573","PLANT SCIENCES","SCIE","52,832","4.8","Q1","1.42"," 31/265 ","4.8","Q1","4.3","0.9"," 23/265 ","Q1","91.51","0.024","5.205","0.656","88.5","Q2",
"JOURNAL OF PHYSIOLOGY-LONDON","J PHYSIOL-LONDON","0022-3751","1469-7793","NEUROSCIENCES","SCIE","47,742","4.7","Q1","1.32"," 63/310 ","5.4","Q1","4.4","1.4"," 51/310 ","Q1","83.71","0.022","4.756","1.732","79.8","Q1",
"JOURNAL OF PHYSIOLOGY-LONDON","J PHYSIOL-LONDON","0022-3751","1469-7793","PHYSIOLOGY","SCIE","47,742","4.7","Q1","1.32"," 10/85 ","5.4","Q1","4.4","1.4"," 11/85 ","Q1","87.65","0.022","4.756","1.732","88.8","Q1",
"JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION","J AM STAT ASSOC","0162-1459","1537-274X","STATISTICS & PROBABILITY","SCIE","45,232","3","Q1","1.51"," 16/168 ","4.9","Q1","2.8","0.6"," 11/168 ","Q1","93.75","0.035","7.657","4.497","90.8","Q1",
"ANNALS OF THE NEW YORK ACADEMY OF SCIENCES","ANN NY ACAD SCI","0077-8923","1749-6632","MULTIDISCIPLINARY SCIENCES","SCIE","44,441","4.1","Q1","0.95"," 24/134 ","6.3","Q1","3.9","1"," 28/135 ","Q1","79.63","0.017","3.662","1.918","82.5","Q1",
"JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS","J MAGN MAGN MATER","0304-8853","1873-4766","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","43,152","2.5","Q3","0.46"," 257/438 ","2.5","Q3","2.2","1.1"," 264/438 ","Q3","39.84","0.022","4.708","0.414","41.4","Q3",
"JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS","J MAGN MAGN MATER","0304-8853","1873-4766","PHYSICS, CONDENSED MATTER","SCIE","43,152","2.5","Q3","0.46"," 42/79 ","2.5","Q3","2.2","1.1"," 41/79 ","Q3","48.73","0.022","4.708","0.414","47.5","Q2",
"AMERICAN JOURNAL OF EPIDEMIOLOGY","AM J EPIDEMIOL","0002-9262","1476-6256","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","36,711","5","Q1","1.29"," 33/403 ","5.1","Q1","4.9","0.9"," 48/403 ","Q1","88.21","0.023","4.99","2.489","91.9","Q1",
"SCIENTIA HORTICULTURAE","SCI HORTIC-AMSTERDAM","0304-4238","1879-1018","HORTICULTURE","SCIE","35,509","3.9","Q1","1.36"," 6/38 ","4.3","Q1","3.5","0.8"," 5/38 ","Q1","88.16","0.02","4.305","0.578","85.5","Q1",
"SOLAR ENERGY MATERIALS AND SOLAR CELLS","SOL ENERG MAT SOL C","0927-0248","1879-3398","ENERGY & FUELS","SCIE","34,234","6.3","Q2","1.27"," 50/170 ","6","Q2","5.8","1.4"," 38/173 ","Q1","78.32","0.023","5.054","1.047","70.9","Q2",
"SOLAR ENERGY MATERIALS AND SOLAR CELLS","SOL ENERG MAT SOL C","0927-0248","1879-3398","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","34,234","6.3","Q1","1.27"," 101/438 ","6","Q1","5.8","1.4"," 80/438 ","Q1","81.85","0.023","5.054","1.047","77.1","Q2",
"SOLAR ENERGY MATERIALS AND SOLAR CELLS","SOL ENERG MAT SOL C","0927-0248","1879-3398","PHYSICS, APPLIED","SCIE","34,234","6.3","Q1","1.27"," 29/179 ","6","Q1","5.8","1.4"," 27/179 ","Q1","85.20","0.023","5.054","1.047","84.1","Q1",
"ANALYTICAL BIOCHEMISTRY","ANAL BIOCHEM","0003-2697","1096-0309","BIOCHEMICAL RESEARCH METHODS","SCIE","33,894","2.6","Q2","0.68"," 42/85 ","2.7","Q3","2.5","0.6"," 40/85 ","Q2","53.53","0.006","1.417","0.522","51.2","Q3",
"ANALYTICAL BIOCHEMISTRY","ANAL BIOCHEM","0003-2697","1096-0309","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","33,894","2.6","Q3","0.68"," 204/313 ","2.7","Q3","2.5","0.6"," 150/313 ","Q2","52.24","0.006","1.417","0.522","35.0","Q3",
"ANALYTICAL BIOCHEMISTRY","ANAL BIOCHEM","0003-2697","1096-0309","CHEMISTRY, ANALYTICAL","SCIE","33,894","2.6","Q2","0.68"," 53/106 ","2.7","Q2","2.5","0.6"," 44/106 ","Q2","58.96","0.006","1.417","0.522","50.5","Q2",
"Frontiers in Bioengineering and Biotechnology","FRONT BIOENG BIOTECH","2296-4185","2296-4185","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","33,446","4.3","Q1","0.83"," 41/174 ","5.1","Q1","4.1","0.9"," 56/174 ","Q2","68.10","0.045","9.83","0.927","76.7","Q1",
"Frontiers in Bioengineering and Biotechnology","FRONT BIOENG BIOTECH","2296-4185","2296-4185","ENGINEERING, BIOMEDICAL","SCIE","33,446","4.3","Q2","0.83"," 39/122 ","5.1","Q2","4.1","0.9"," 41/122 ","Q2","66.80","0.045","9.83","0.927","68.4","Q2",
"IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS","IEEE T IND APPL","0093-9994","1939-9367","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","31,830","4.2","Q2","1.31"," 89/352 ","4.5","Q1","3.7","1"," 56/354 ","Q1","84.32","0.032","7.05","1.162","74.9","Q1",
"IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS","IEEE T IND APPL","0093-9994","1939-9367","ENGINEERING, MULTIDISCIPLINARY","SCIE","31,830","4.2","Q1","1.31"," 24/179 ","4.5","Q1","3.7","1"," 25/180 ","Q1","86.39","0.032","7.05","1.162","86.9","Q1",
"JOURNAL OF VASCULAR SURGERY","J VASC SURG","0741-5214","1097-6809","PERIPHERAL VASCULAR DISEASE","SCIE","30,173","3.9","Q1","1.39"," 17/96 ","4.3","Q1","3.2","1.2"," 11/96 ","Q1","89.06","0.025","5.358","1.322","82.8","Q1",
"JOURNAL OF VASCULAR SURGERY","J VASC SURG","0741-5214","1097-6809","SURGERY","SCIE","30,173","3.9","Q1","1.39"," 25/290 ","4.3","Q1","3.2","1.2"," 31/290 ","Q1","89.48","0.025","5.358","1.322","91.6","Q1",
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","J R STAT SOC B","1369-7412","1467-9868","STATISTICS & PROBABILITY","SCIE","29,988","3.1","Q1","2.2"," 15/168 ","6.4","Q1","2.9","0.6"," 4/168 ","Q1","97.92","0.012","2.654","6.316","91.4","Q1",
"OECOLOGIA","OECOLOGIA","0029-8549","1432-1939","ECOLOGY","SCIE","29,926","2.3","Q2","0.73"," 87/195 ","2.8","Q2","2.3","0.5"," 85/195 ","Q2","56.67","0.009","1.968","0.873","55.6","Q2",
"JOURNAL OF CELLULAR AND MOLECULAR MEDICINE","J CELL MOL MED","1582-1838","1582-4934","CELL BIOLOGY","SCIE","29,006","4.3","Q2","0.87"," 81/205 ","5","Q2","4.3","0.7"," 75/205 ","Q2","63.66","0.033","7.203","1.03","60.7","Q3",
"JOURNAL OF CELLULAR AND MOLECULAR MEDICINE","J CELL MOL MED","1582-1838","1582-4934","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","29,006","4.3","Q2","0.87"," 58/189 ","5","Q2","4.3","0.7"," 62/189 ","Q2","67.46","0.033","7.203","1.03","69.6","Q2",
"AGRICULTURAL AND FOREST METEOROLOGY","AGR FOREST METEOROL","0168-1923","1873-2240","AGRONOMY","SCIE","28,380","5.6","Q1","1.88"," 8/125 ","6.3","Q1","5","1"," 5/125 ","Q1","96.40","0.022","4.904","1.412","94.0","Q1",
"AGRICULTURAL AND FOREST METEOROLOGY","AGR FOREST METEOROL","0168-1923","1873-2240","FORESTRY","SCIE","28,380","5.6","Q1","1.88"," 3/89 ","6.3","Q1","5","1"," 2/89 ","Q1","98.31","0.022","4.904","1.412","97.2","Q1",
"AGRICULTURAL AND FOREST METEOROLOGY","AGR FOREST METEOROL","0168-1923","1873-2240","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","28,380","5.6","Q1","1.88"," 14/110 ","6.3","Q1","5","1"," 4/110 ","Q1","96.82","0.022","4.904","1.412","87.7","Q1",
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","0169-2046","1872-6062","ECOLOGY","SCIE","28,158","7.9","Q1","2.37"," 7/195 ","8.7","Q1","7.4","1.7"," 4/195 ","Q1","98.21","0.017","3.686","1.835","96.7","Q1",
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","0169-2046","1872-6062","ENVIRONMENTAL STUDIES","SSCI","28,158","7.9","Q1","2.37"," 15/182 ","8.7","Q1","7.4","1.7"," 7/184 ","Q1","96.47","0.017","3.686","1.835","92.0","Q1",
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","0169-2046","1872-6062","GEOGRAPHY","SSCI","28,158","7.9","Q1","2.37"," 3/171 ","8.7","Q1","7.4","1.7"," 3/172 ","Q1","98.55","0.017","3.686","1.835","98.5","Q1",
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","0169-2046","1872-6062","GEOGRAPHY, PHYSICAL","SCIE","28,158","7.9","Q1","2.37"," 3/65 ","8.7","Q1","7.4","1.7"," 2/65 ","Q1","97.69","0.017","3.686","1.835","96.2","Q1",
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","0169-2046","1872-6062","REGIONAL & URBAN PLANNING","SSCI","28,158","7.9","Q1","2.37"," 3/54 ","8.7","Q1","7.4","1.7"," 3/54 ","Q1","95.37","0.017","3.686","1.835","95.4","Q1",
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","0169-2046","1872-6062","URBAN STUDIES","SSCI","28,158","7.9","Q1","2.37"," 2/77 ","8.7","Q1","7.4","1.7"," 1/77 ","Q1","99.35","0.017","3.686","1.835","98.1","Q1",
"LARYNGOSCOPE","LARYNGOSCOPE","0023-852X","1531-4995","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","28,078","2.2","Q3","0.89"," 113/189 ","2.6","Q3","2","0.3"," 58/189 ","Q2","69.58","0.019","4.197","0.727","40.5","Q3",
"LARYNGOSCOPE","LARYNGOSCOPE","0023-852X","1531-4995","OTORHINOLARYNGOLOGY","SCIE","28,078","2.2","Q1","0.89"," 16/65 ","2.6","Q1","2","0.3"," 24/65 ","Q2","63.85","0.019","4.197","0.727","76.2","Q1",
"JOURNAL OF STRUCTURAL ENGINEERING","J STRUCT ENG","0733-9445","1943-541X","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","26,665","3.7","Q1","0.8"," 20/91 ","3.9","Q1","3.4","1.6"," 23/91 ","Q2","75.27","0.01","2.198","0.807","78.6","Q1",
"JOURNAL OF STRUCTURAL ENGINEERING","J STRUCT ENG","0733-9445","1943-541X","ENGINEERING, CIVIL","SCIE","26,665","3.7","Q1","0.8"," 40/181 ","3.9","Q1","3.4","1.6"," 48/181 ","Q2","73.76","0.01","2.198","0.807","78.2","Q1",
"MEAT SCIENCE","MEAT SCI","0309-1740","1873-4138","FOOD SCIENCE & TECHNOLOGY","SCIE","25,870","5.7","Q1","1.36"," 22/173 ","5.9","Q1","5","1.2"," 15/173 ","Q1","91.62","0.009","1.955","0.799","87.6","Q1",
"Symmetry-Basel","SYMMETRY-BASEL","N/A","2073-8994","MULTIDISCIPLINARY SCIENCES","SCIE","25,421","2.2","Q2","0.86"," 49/134 ","2.3","Q2","1.9","1.1"," 34/135 ","Q2","75.19","0.031","6.758","0.395","63.8","Q2",
"IEEE TRANSACTIONS ON MAGNETICS","IEEE T MAGN","0018-9464","1941-0069","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","25,205","2.1","Q3","0.47"," 192/352 ","2","Q3","1.8","0.3"," 200/354 ","Q3","43.64","0.012","2.687","0.482","45.6","Q3",
"IEEE TRANSACTIONS ON MAGNETICS","IEEE T MAGN","0018-9464","1941-0069","PHYSICS, APPLIED","SCIE","25,205","2.1","Q3","0.47"," 109/179 ","2","Q3","1.8","0.3"," 106/179 ","Q3","41.06","0.012","2.687","0.482","39.4","Q2",
"BRITISH JOURNAL OF OPHTHALMOLOGY","BRIT J OPHTHALMOL","0007-1161","1468-2079","OPHTHALMOLOGY","SCIE","23,818","3.7","Q1","1.94"," 13/95 ","3.9","Q1","3.7","0.6"," 7/95 ","Q1","93.16","0.019","4.205","1.302","86.8","Q1",
"ACS Photonics","ACS PHOTONICS","2330-4022","N/A","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","22,372","6.5","Q1","1.36"," 95/438 ","6.6","Q1","6.2","1.2"," 71/438 ","Q1","83.90","0.036","7.774","1.804","78.4","Q1",
"ACS Photonics","ACS PHOTONICS","2330-4022","N/A","NANOSCIENCE & NANOTECHNOLOGY","SCIE","22,372","6.5","Q2","1.36"," 36/140 ","6.6","Q2","6.2","1.2"," 25/140 ","Q1","82.50","0.036","7.774","1.804","74.6","Q1",
"ACS Photonics","ACS PHOTONICS","2330-4022","N/A","OPTICS","SCIE","22,372","6.5","Q1","1.36"," 14/119 ","6.6","Q1","6.2","1.2"," 15/120 ","Q1","87.92","0.036","7.774","1.804","88.7","Q1",
"ACS Photonics","ACS PHOTONICS","2330-4022","N/A","PHYSICS, APPLIED","SCIE","22,372","6.5","Q1","1.36"," 27/179 ","6.6","Q1","6.2","1.2"," 24/179 ","Q1","86.87","0.036","7.774","1.804","85.2","Q1",
"ACS Photonics","ACS PHOTONICS","2330-4022","N/A","PHYSICS, CONDENSED MATTER","SCIE","22,372","6.5","Q1","1.36"," 16/79 ","6.6","Q1","6.2","1.2"," 10/79 ","Q1","87.97","0.036","7.774","1.804","80.4","Q1",
"PHYTOMEDICINE","PHYTOMEDICINE","0944-7113","1618-095X","CHEMISTRY, MEDICINAL","SCIE","22,347","6.7","Q1","2.03"," 6/72 ","6.2","Q1","6.4","1.5"," 2/72 ","Q1","97.92","0.017","3.626","0.948","92.4","Q1",
"PHYTOMEDICINE","PHYTOMEDICINE","0944-7113","1618-095X","INTEGRATIVE & COMPLEMENTARY MEDICINE","SCIE","22,347","6.7","Q1","2.03"," 2/43 ","6.2","Q1","6.4","1.5"," 1/43 ","Q1","98.84","0.017","3.626","0.948","96.5","Q1",
"PHYTOMEDICINE","PHYTOMEDICINE","0944-7113","1618-095X","PHARMACOLOGY & PHARMACY","SCIE","22,347","6.7","Q1","2.03"," 19/354 ","6.2","Q1","6.4","1.5"," 14/354 ","Q1","96.19","0.017","3.626","0.948","94.8","Q1",
"PHYTOMEDICINE","PHYTOMEDICINE","0944-7113","1618-095X","PLANT SCIENCES","SCIE","22,347","6.7","Q1","2.03"," 17/265 ","6.2","Q1","6.4","1.5"," 8/265 ","Q1","97.17","0.017","3.626","0.948","93.8","Q1",
"ECOLOGICAL APPLICATIONS","ECOL APPL","1051-0761","1939-5582","ECOLOGY","SCIE","22,067","4.3","Q1","1.12"," 33/195 ","5.1","Q1","4.2","1.3"," 36/195 ","Q1","81.79","0.013","2.735","1.576","83.3","Q1",
"ECOLOGICAL APPLICATIONS","ECOL APPL","1051-0761","1939-5582","ENVIRONMENTAL SCIENCES","SCIE","22,067","4.3","Q2","1.12"," 105/358 ","5.1","Q2","4.2","1.3"," 69/359 ","Q1","80.92","0.013","2.735","1.576","70.8","Q1",
"Frontiers in Cardiovascular Medicine","FRONT CARDIOVASC MED","2297-055X","2297-055X","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","21,848","2.8","Q2","0.73"," 79/220 ","3.1","Q2","2.6","0.5"," 80/220 ","Q2","63.86","0.043","9.328","0.802","64.3","Q2",
"JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM","J CEREBR BLOOD F MET","0271-678X","1559-7016","ENDOCRINOLOGY & METABOLISM","SCIE","20,684","4.9","Q1","1.34"," 32/186 ","6.1","Q1","4.4","0.8"," 31/186 ","Q1","83.60","0.015","3.273","1.802","83.1","Q1",
"JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM","J CEREBR BLOOD F MET","0271-678X","1559-7016","HEMATOLOGY","SCIE","20,684","4.9","Q1","1.34"," 20/97 ","6.1","Q1","4.4","0.8"," 14/97 ","Q1","86.08","0.015","3.273","1.802","79.9","Q1",
"JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM","J CEREBR BLOOD F MET","0271-678X","1559-7016","NEUROSCIENCES","SCIE","20,684","4.9","Q1","1.34"," 54/310 ","6.1","Q1","4.4","0.8"," 49/310 ","Q1","84.35","0.015","3.273","1.802","82.7","Q1",
"INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED","INJURY","0020-1383","1879-0267","CRITICAL CARE MEDICINE","SCIE","20,306","2.2","Q3","0.9"," 28/54 ","2.5","Q3","2","0.5"," 17/55 ","Q2","70.00","0.015","3.183","0.682","49.1","Q3",
"INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED","INJURY","0020-1383","1879-0267","EMERGENCY MEDICINE","SCIE","20,306","2.2","Q2","0.9"," 14/54 ","2.5","Q1","2","0.5"," 19/54 ","Q2","65.74","0.015","3.183","0.682","75.0","Q2",
"INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED","INJURY","0020-1383","1879-0267","ORTHOPEDICS","SCIE","20,306","2.2","Q2","0.9"," 42/136 ","2.5","Q2","2","0.5"," 42/136 ","Q2","69.49","0.015","3.183","0.682","69.5","Q2",
"INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED","INJURY","0020-1383","1879-0267","SURGERY","SCIE","20,306","2.2","Q2","0.9"," 90/290 ","2.5","Q2","2","0.5"," 84/290 ","Q2","71.21","0.015","3.183","0.682","69.1","Q2",
"ADDICTION","ADDICTION","0965-2140","1360-0443","PSYCHIATRY","SCIE, SSCI","20,047","5.2","Q1","1.36"," 32/276 ","5.9","Q1","4.9","1.2"," 37/276 ","Q1","86.78","0.021","4.644","2.251","88.6","Q1",
